Packet, Sample offset, Latency (ms), Sample
-1, 0, 0.0, 0111 1110 1111 1110 
-1, 1, 0.001, 0000 0001 1000 0001 
-1, 21, 0.021, 0000 0001 0000 0001 
-1, 89, 0.089, 0111 1110 0111 1110 
-1, 335, 0.335, 0111 1110 1111 1110 
-1, 675, 0.675, 0111 1110 0111 1110 
-1, 1251, 1.251, 0111 1110 1111 1110 
-1, 1525, 1.525, 0111 1110 0111 1110 
-1, 2120, 2.12, 0111 1110 1111 1110 
-1, 2345, 2.345, 0111 1110 0111 1110 
-1, 2963, 2.963, 0111 1110 1111 1110 
-1, 3150, 3.15, 0111 1110 0111 1110 
-1, 3757, 3.757, 0111 1110 1111 1110 
-1, 3950, 3.95, 0111 1110 0111 1110 
-2, 0, 0.0, 0111 1110 0111 1110 
-2, 1, 0.001, 0000 0001 0000 0001 
-2, 21, 0.021, 0000 0001 1000 0001 
-2, 145, 0.145, 0111 1110 1111 1110 
-2, 531, 0.531, 0111 1110 0111 1110 
-2, 819, 0.819, 0111 1110 1111 1110 
-2, 1445, 1.445, 0111 1110 0111 1110 
-2, 1698, 1.698, 0111 1110 1111 1110 
-2, 2432, 2.432, 0111 1110 0111 1110 
-2, 2630, 2.63, 0111 1110 1111 1110 
-2, 3397, 3.397, 0111 1110 0111 1110 
-2, 3537, 3.537, 0111 1110 1111 1110 
-2, 4067, 4.067, 0111 1110 0111 1110 
-2, 4097, 4.097, 0000 0001 0000 0001 
-2, 4117, 4.117, 0000 0001 1000 0001 
-2, 4241, 4.241, 0111 1110 1111 1110 
-3, 0, 0.0, 0111 1110 1111 1110 
-3, 1, 0.001, 0000 0001 1000 0001 
-3, 21, 0.021, 0000 0001 0000 0001 
-3, 78, 0.078, 0111 1110 0111 1110 
-3, 347, 0.347, 0111 1110 1111 1110 
-3, 665, 0.665, 0111 1110 0111 1110 
-3, 1222, 1.222, 0111 1110 1111 1110 
-3, 1494, 1.494, 0111 1110 0111 1110 
-3, 2148, 2.148, 0111 1110 1111 1110 
-3, 2374, 2.374, 0111 1110 0111 1110 
-3, 3063, 3.063, 0111 1110 1111 1110 
-3, 3248, 3.248, 0111 1110 0111 1110 
-3, 3768, 3.768, 0111 1110 1111 1110 
-3, 4097, 4.097, 0000 0001 1000 0001 
-3, 4117, 4.117, 0000 0001 0000 0001 
-3, 4135, 4.135, 0111 1110 0111 1110 
-4, 0, 0.0, 0111 1110 0111 1110 
-4, 1, 0.001, 0000 0001 0000 0001 
-4, 21, 0.021, 0000 0001 1000 0001 
-4, 104, 0.104, 0111 1110 1111 1110 
-4, 321, 0.321, 0111 1110 0111 1110 
-4, 634, 0.634, 0111 1110 1111 1110 
-4, 1273, 1.273, 0111 1110 0111 1110 
-4, 1513, 1.513, 0111 1110 1111 1110 
-4, 2167, 2.167, 0111 1110 0111 1110 
-4, 2370, 2.37, 0111 1110 1111 1110 
-4, 3057, 3.057, 0111 1110 0111 1110 
-4, 3225, 3.225, 0111 1110 1111 1110 
-4, 3702, 3.702, 0111 1110 0111 1110 
-4, 4024, 4.024, 0111 1110 1111 1110 
-5, 0, 0.0, 0111 1110 1111 1110 
-5, 1, 0.001, 0000 0001 1000 0001 
-5, 21, 0.021, 0000 0001 0000 0001 
-5, 216, 0.216, 0111 1110 0111 1110 
-5, 563, 0.563, 0111 1110 1111 1110 
-5, 914, 0.914, 0111 1110 0111 1110 
-5, 1644, 1.644, 0111 1110 1111 1110 
-5, 1886, 1.886, 0111 1110 0111 1110 
-5, 2579, 2.579, 0111 1110 1111 1110 
-5, 2784, 2.784, 0111 1110 0111 1110 
-5, 3534, 3.534, 0111 1110 1111 1110 
-5, 3681, 3.681, 0111 1110 0111 1110 
-5, 4225, 4.225, 0000 0001 0000 0001 
-5, 4312, 4.312, 0111 1110 0111 1110 
-6, 0, 0.0, 0111 1110 0111 1110 
-6, 1, 0.001, 0000 0001 0000 0001 
-6, 20, 0.02, 0000 0001 1000 0001 
-6, 61, 0.061, 0111 1110 1111 1110 
-6, 327, 0.327, 0111 1110 0111 1110 
-6, 628, 0.628, 0111 1110 1111 1110 
-6, 1223, 1.223, 0111 1110 0111 1110 
-6, 1489, 1.489, 0111 1110 1111 1110 
-6, 2198, 2.198, 0111 1110 0111 1110 
-6, 2421, 2.421, 0111 1110 1111 1110 
-6, 3111, 3.111, 0111 1110 0111 1110 
-6, 3312, 3.312, 0111 1110 1111 1110 
-6, 3854, 3.854, 0111 1110 0111 1110 
-6, 4097, 4.097, 0000 0001 0000 0001 
-6, 4116, 4.116, 0000 0001 1000 0001 
-6, 4157, 4.157, 0111 1110 1111 1110 
-6, 510431, 510.431, 0000 0000 0000 0000 
-6, 514527, 514.527, 0111 1110 1111 1110 
-6, 514609, 514.609, 0000 0000 0000 0000 
-6, 518705, 518.705, 0111 1110 1111 1110 
-7, 0, 0.0, 0111 1110 1111 1110 
-7, 1, 0.001, 0000 0001 1000 0001 
-7, 20, 0.02, 0000 0001 0000 0001 
-7, 71, 0.071, 0111 1110 0111 1110 
-7, 303, 0.303, 0111 1110 1111 1110 
-7, 608, 0.608, 0111 1110 0111 1110 
-7, 1188, 1.188, 0111 1110 1111 1110 
-7, 1459, 1.459, 0111 1110 0111 1110 
-7, 2070, 2.07, 0111 1110 1111 1110 
-7, 2300, 2.3, 0111 1110 0111 1110 
-7, 2960, 2.96, 0111 1110 1111 1110 
-7, 3151, 3.151, 0111 1110 0111 1110 
-7, 3768, 3.768, 0111 1110 1111 1110 
-7, 4023, 4.023, 0111 1110 0111 1110 
