Packet, Sample offset, Latency (ms), Sample
-1, 0, 0.0, 0111 1110 0111 1110 
-1, 1, 0.001, 0000 0000 0000 0001 
-1, 86, 0.086, 0111 1110 0111 1110 
-1, 330, 0.33, 0111 1110 1111 1110 
-1, 331, 0.331, 1111 1110 1111 1110 
-1, 640, 0.64, 0111 1110 0111 1110 
-1, 1269, 1.269, 1111 1110 1111 1110 
-1, 1523, 1.523, 0111 1110 0111 1110 
-1, 2174, 2.174, 1111 1110 1111 1110 
-1, 2385, 2.385, 0111 1110 0111 1110 
-1, 3100, 3.1, 1111 1110 1111 1110 
-1, 3260, 3.26, 0111 1110 0111 1110 
-1, 4097, 4.097, 0000 0000 0000 0001 
-1, 4101, 4.101, 0111 1110 0111 1110 
