Packet, Sample offset, Latency (ms), Sample
-1, 0, 0.0, 0111 1110 1111 1110 
-1, 1, 0.001, 0000 0000 1000 0001 
-1, 104, 0.104, 0111 1110 1111 1110 
-1, 398, 0.398, 0000 0000 0010 0000 
-1, 731, 0.731, 0111 1110 1111 1110 
-1, 1397, 1.397, 0000 0000 0010 0000 
-1, 1606, 1.606, 0000 0000 0000 0000 
-1, 1637, 1.637, 0111 1110 1111 1110 
-1, 2232, 2.232, 0000 0000 0000 0000 
-1, 2430, 2.43, 0111 1110 1111 1110 
-1, 3122, 3.122, 0000 0000 0000 0000 
-1, 3285, 3.285, 0111 1110 1111 1110 
-1, 4097, 4.097, 0000 0000 1000 0001 
-1, 4138, 4.138, 0111 1110 1111 1110 
-2, 0, 0.0, 0111 1110 1111 1110 
-2, 1, 0.001, 0000 0000 1000 0001 
-2, 74, 0.074, 0111 1110 1111 1110 
-2, 4097, 4.097, 0000 0000 1000 0001 
-2, 4170, 4.17, 0111 1110 1111 1110 
-3, 0, 0.0, 0111 1110 1111 1110 
-3, 1, 0.001, 0000 0000 1000 0001 
-3, 99, 0.099, 0111 1110 1111 1110 
-4, 0, 0.0, 0111 1110 1111 1110 
-4, 1, 0.001, 0000 0000 1000 0001 
-4, 81, 0.081, 0111 1110 1111 1110 
-4, 4097, 4.097, 0000 0000 1000 0001 
-4, 4177, 4.177, 0111 1110 1111 1110 
-5, 0, 0.0, 0111 1110 1111 1110 
-5, 1, 0.001, 0000 0000 1000 0001 
-5, 63, 0.063, 0111 1110 1111 1110 
-6, 0, 0.0, 0111 1110 1111 1110 
-6, 1, 0.001, 0000 0000 1000 0001 
-6, 64, 0.064, 0111 1110 1111 1110 
-7, 0, 0.0, 0111 1110 1111 1110 
-7, 1, 0.001, 0000 0000 1000 0001 
-7, 90, 0.09, 0111 1110 1111 1110 
-7, 4138, 4.138, 0000 0000 1000 0001 
-7, 4186, 4.186, 0111 1110 1111 1110 
-8, 0, 0.0, 0111 1110 1111 1110 
-8, 1, 0.001, 0000 0000 1000 0001 
-8, 63, 0.063, 0111 1110 1111 1110 
-9, 0, 0.0, 0111 1110 1111 1110 
-9, 1, 0.001, 0000 0000 1000 0001 
-9, 465, 0.465, 0111 1110 1111 1110 
-9, 4434, 4.434, 0000 0000 1000 0001 
-9, 4561, 4.561, 0111 1110 1111 1110 
-10, 0, 0.0, 0111 1110 1111 1110 
-10, 1, 0.001, 0000 0000 1000 0001 
-10, 74, 0.074, 0111 1110 1111 1110 
11, 0, 0.0, 0111 1110 1111 1110 
11, 1, 0.001, 0000 0000 1000 0001 
11, 141, 0.141, 0111 1110 1111 1110 
11, 4097, 4.097, 0000 0000 1000 0001 
11, 4237, 4.237, 0111 1110 1111 1110 
11, 1112500, 1112.5, 1111 1110 1111 1110 
11, 1113225, 1113.225, 0111 1110 1111 1110 
11, 1113377, 1113.377, 0000 0000 0000 0000 
12, 0, 0.0, 1111 1110 1111 1110 
12, 1, 0.001, 0000 0000 1000 0001 
12, 74, 0.074, 1111 1110 1111 1110 
12, 332, 0.332, 0111 1110 1111 1110 
12, 645, 0.645, 1111 1110 1111 1110 
12, 1283, 1.283, 0111 1110 1111 1110 
12, 1577, 1.577, 0000 0000 0000 0000 
13, 0, 0.0, 0111 1110 1111 1110 
13, 1, 0.001, 0000 0000 1000 0001 
13, 76, 0.076, 0111 1110 1111 1110 
13, 1374, 1.374, 1111 1110 1111 1110 
13, 1558, 1.558, 0111 1110 1111 1110 
13, 4097, 4.097, 0000 0000 1000 0001 
13, 4104, 4.104, 0111 1110 1111 1110 
13, 6286, 6.286, 1111 1110 1111 1110 
13, 6306, 6.306, 0111 1110 1111 1110 
13, 6509, 6.509, 1111 1110 1111 1110 
13, 7185, 7.185, 0111 1110 1111 1110 
13, 7343, 7.343, 0000 0000 0000 0000 
14, 0, 0.0, 0000 0000 1000 0001 
14, 61, 0.061, 0111 1110 1111 1110 
14, 306, 0.306, 1111 1110 1111 1110 
14, 607, 0.607, 0111 1110 1111 1110 
14, 2306, 2.306, 1111 1110 1111 1110 
14, 2325, 2.325, 0111 1110 1111 1110 
14, 2985, 2.985, 1111 1110 1111 1110 
14, 3164, 3.164, 0111 1110 1111 1110 
14, 8917, 8.917, 1111 1110 1111 1110 
14, 9473, 9.473, 0111 1110 1111 1110 
14, 9732, 9.732, 0000 0000 0000 0000 
15, 0, 0.0, 1111 1110 1111 1110 
15, 1, 0.001, 0000 0000 1000 0001 
15, 114, 0.114, 1111 1110 1111 1110 
15, 523, 0.523, 0111 1110 1111 1110 
15, 801, 0.801, 1111 1110 1111 1110 
15, 1414, 1.414, 0111 1110 1111 1110 
15, 1668, 1.668, 1111 1110 1111 1110 
15, 2342, 2.342, 0111 1110 1111 1110 
15, 2539, 2.539, 1111 1110 1111 1110 
15, 3269, 3.269, 0111 1110 1111 1110 
15, 3416, 3.416, 1111 1110 1111 1110 
15, 4097, 4.097, 0000 0000 1000 0001 
15, 4210, 4.21, 1111 1110 1111 1110 
15, 5038, 5.038, 0111 1110 1111 1110 
15, 5591, 5.591, 1111 1110 1111 1110 
15, 5824, 5.824, 0000 0000 0000 0000 
16, 0, 0.0, 0111 1110 1111 1110 
16, 1, 0.001, 0000 0000 1000 0001 
16, 137, 0.137, 0111 1110 1111 1110 
16, 2660, 2.66, 1111 1110 1111 1110 
16, 3228, 3.228, 0111 1110 1111 1110 
16, 3387, 3.387, 0000 0000 0000 0000 
17, 0, 0.0, 0111 1110 1111 1110 
17, 1, 0.001, 0000 0000 1000 0001 
17, 73, 0.073, 0111 1110 1111 1110 
17, 424, 0.424, 1111 1110 1111 1110 
17, 445, 0.445, 0111 1110 1111 1110 
17, 446, 0.446, 1111 1110 1111 1110 
17, 460, 0.46, 0111 1110 1111 1110 
17, 462, 0.462, 1111 1110 1111 1110 
17, 473, 0.473, 0111 1110 1111 1110 
17, 479, 0.479, 1111 1110 1111 1110 
17, 484, 0.484, 0111 1110 1111 1110 
17, 492, 0.492, 1111 1110 1111 1110 
