Packet, Sample offset, Latency (ms), Sample
-1, 0, 0.0, 0111 1110 1111 1110 
-1, 1, 0.001, 0000 0000 1000 0001 
-1, 191, 0.191, 0111 1110 1111 1110 
-1, 4097, 4.097, 0000 0000 1000 0001 
-1, 4269, 4.269, 0111 1110 1111 1110 
-2, 0, 0.0, 0000 0001 1000 0001 
-2, 1, 0.001, 0000 0000 1000 0001 
-2, 86, 0.086, 0111 1110 1111 1110 
-2, 4096, 4.096, 0000 0001 1000 0001 
-2, 4097, 4.097, 0000 0000 1000 0001 
-2, 4111, 4.111, 0111 1110 1111 1110 
-3, 0, 0.0, 0111 1110 1111 1110 
-3, 1, 0.001, 0000 0000 1000 0001 
-3, 89, 0.089, 0111 1110 1111 1110 
-4, 0, 0.0, 0111 1110 1111 1110 
-4, 1, 0.001, 0000 0000 1000 0001 
-4, 175, 0.175, 0111 1110 1111 1110 
-4, 4097, 4.097, 0000 0000 1000 0001 
-4, 4148, 4.148, 0111 1110 1111 1110 
-5, 0, 0.0, 0111 1110 1111 1110 
-5, 1, 0.001, 0000 0000 1000 0001 
-5, 64, 0.064, 0111 1110 1111 1110 
-5, 4097, 4.097, 0000 0000 1000 0001 
-5, 4127, 4.127, 0111 1110 1111 1110 
-5, 1316583, 1316.583, 0000 0000 0000 0000 
-5, 1320679, 1320.679, 0111 1110 1111 1110 
-5, 1327200, 1327.2, 0000 0000 0000 0000 
-5, 1331296, 1331.296, 0111 1110 1111 1110 
-6, 0, 0.0, 0111 1110 1111 1110 
-6, 1, 0.001, 0000 0000 1000 0001 
-6, 91, 0.091, 0111 1110 1111 1110 
-6, 4097, 4.097, 0000 0000 1000 0001 
-6, 4175, 4.175, 0111 1110 1111 1110 
-7, 0, 0.0, 0000 0001 1000 0001 
-7, 1, 0.001, 0000 0000 1000 0001 
-7, 66, 0.066, 0111 1110 1111 1110 
