missed packet number, sample offset, latency (ms), sample
-8481, 0, 0.0, 0111 1110 1111 1110
-8481, 1, 0.001, 0000 0001 1000 0001
-8481, 21, 0.021, 0000 0001 0000 0001
-8481, 115, 0.115, 0111 1110 0111 1110
-8481, 373, 0.373, 0111 1110 1111 1110
-8481, 708, 0.708, 0111 1110 0111 1110
-8481, 1501, 1.501, 0111 1110 1111 1110
-8481, 1872, 1.872, 0111 1110 0111 1110
-8481, 2752, 2.752, 0111 1110 1111 1110
-8481, 3059, 3.059, 0111 1110 0111 1110
-8481, 3784, 3.784, 0111 1110 1111 1110
-8481, 4097, 4.097, 0000 0001 1000 0001
-8481, 4117, 4.117, 0000 0001 0000 0001
-8481, 4172, 4.172, 0111 1110 0111 1110
-9061, 0, 0.0, 0111 1110 0111 1110
-9061, 1, 0.001, 0000 0001 0000 0001
-9061, 20, 0.02, 0000 0001 1000 0001
-9061, 301, 0.301, 0111 1110 1111 1110
-9061, 992, 0.992, 0111 1110 0111 1110
-9061, 1311, 1.311, 0111 1110 1111 1110
-9061, 2264, 2.264, 0111 1110 0111 1110
-9061, 2552, 2.552, 0111 1110 1111 1110
-9061, 3146, 3.146, 0111 1110 0111 1110
-9061, 3390, 3.39, 0111 1110 1111 1110
-9061, 4073, 4.073, 0111 1110 0111 1110
-9061, 4097, 4.097, 0000 0001 0000 0001
-9061, 4116, 4.116, 0000 0001 1000 0001
-9061, 4275, 4.275, 0111 1110 1111 1110
-9382, 0, 0.0, 0111 1110 0111 1110
-9382, 1, 0.001, 0000 0001 0000 0001
-9382, 20, 0.02, 0000 0001 1000 0001
-9382, 85, 0.085, 0111 1110 1111 1110
-9382, 348, 0.348, 0111 1110 0111 1110
-9382, 647, 0.647, 0111 1110 1111 1110
-9382, 1262, 1.262, 0111 1110 0111 1110
-9382, 1529, 1.529, 0111 1110 1111 1110
-9382, 2258, 2.258, 0111 1110 0111 1110
-9382, 2517, 2.517, 0111 1110 1111 1110
-9382, 3258, 3.258, 0111 1110 0111 1110
-9382, 3403, 3.403, 0111 1110 1111 1110
-9382, 3934, 3.934, 0111 1110 0111 1110
-9382, 4097, 4.097, 0000 0001 0000 0001
-9382, 4116, 4.116, 0000 0001 1000 0001
-9382, 4181, 4.181, 0111 1110 1111 1110
-18569, 0, 0.0, 0111 1110 0111 1110
-18569, 1, 0.001, 0000 0001 0000 0001
-18569, 21, 0.021, 0000 0001 1000 0001
-18569, 146, 0.146, 0111 1110 1111 1110
-18569, 505, 0.505, 0111 1110 0111 1110
-18569, 806, 0.806, 0111 1110 1111 1110
-18569, 1538, 1.538, 0111 1110 0111 1110
-18569, 1773, 1.773, 0111 1110 1111 1110
-18569, 2451, 2.451, 0111 1110 0111 1110
-18569, 2659, 2.659, 0111 1110 1111 1110
-18569, 3406, 3.406, 0111 1110 0111 1110
-18569, 3574, 3.574, 0111 1110 1111 1110
-18569, 4153, 4.153, 0000 0001 1000 0001
-18569, 4242, 4.242, 0111 1110 1111 1110
-21960, 0, 0.0, 1111 1110 0111 1110
-21960, 1, 0.001, 1000 0001 0000 0001
-21960, 21, 0.021, 1000 0001 1000 0001
-21960, 86, 0.086, 1111 1110 1111 1110
-21960, 325, 0.325, 1111 1110 0111 1110
-21960, 636, 0.636, 1111 1110 1111 1110
-21960, 1335, 1.335, 1111 1110 0111 1110
-21960, 1584, 1.584, 1111 1110 1111 1110
-21960, 2194, 2.194, 1111 1110 0111 1110
-21960, 2408, 2.408, 1111 1110 1111 1110
-21960, 3061, 3.061, 1111 1110 0111 1110
-21960, 3249, 3.249, 1111 1110 1111 1110
-21960, 3778, 3.778, 1111 1110 0111 1110
-21960, 4093, 4.093, 1111 1110 1111 1110
-26218, 0, 0.0, 0111 1110 1111 1110
-26218, 1, 0.001, 0000 0001 1000 0001
-26218, 20, 0.02, 0000 0001 0000 0001
-26218, 78, 0.078, 0111 1110 0111 1110
-26218, 312, 0.312, 0111 1110 1111 1110
-26218, 632, 0.632, 0111 1110 0111 1110
-26218, 1255, 1.255, 0111 1110 1111 1110
-26218, 1545, 1.545, 0111 1110 0111 1110
-26218, 2171, 2.171, 0111 1110 1111 1110
-26218, 2394, 2.394, 0111 1110 0111 1110
-26218, 3084, 3.084, 0111 1110 1111 1110
-26218, 3269, 3.269, 0111 1110 0111 1110
-26218, 3766, 3.766, 0111 1110 1111 1110
-26218, 4097, 4.097, 0000 0001 1000 0001
-26218, 4104, 4.104, 0111 1110 0111 1110
-29900, 0, 0.0, 1111 1110 0111 1110
-29900, 1, 0.001, 1000 0001 0000 0001
-29900, 20, 0.02, 1000 0001 1000 0001
-29900, 312, 0.312, 1111 1110 1111 1110
-29900, 889, 0.889, 1111 1110 0111 1110
-29900, 1272, 1.272, 1111 1110 1111 1110
-29900, 2019, 2.019, 1111 1110 0111 1110
-29900, 2242, 2.242, 1111 1110 1111 1110
-29900, 2951, 2.951, 1111 1110 0111 1110
-29900, 3137, 3.137, 1111 1110 1111 1110
-29900, 4145, 4.145, 1000 0001 1000 0001
-29900, 4408, 4.408, 1111 1110 1111 1110
-32063, 0, 0.0, 1111 1110 0111 1110
-32063, 1, 0.001, 1000 0001 0000 0001
-32063, 20, 0.02, 1000 0001 1000 0001
-32063, 72, 0.072, 1111 1110 1111 1110
-32063, 323, 0.323, 1111 1110 0111 1110
-32063, 633, 0.633, 1111 1110 1111 1110
-32063, 1242, 1.242, 1111 1110 0111 1110
-32063, 1525, 1.525, 1111 1110 1111 1110
-32063, 2155, 2.155, 1111 1110 0111 1110
-32063, 2378, 2.378, 1111 1110 1111 1110
-32063, 3129, 3.129, 1111 1110 0111 1110
-32063, 3332, 3.332, 1111 1110 1111 1110
-32063, 3862, 3.862, 1111 1110 0111 1110
-32063, 4097, 4.097, 1000 0001 0000 0001
-32063, 4116, 4.116, 1000 0001 1000 0001
-32063, 4168, 4.168, 1111 1110 1111 1110
-32111, 0, 0.0, 1111 1110 0111 1110
-32111, 1, 0.001, 1000 0001 0000 0001
-32111, 21, 0.021, 1000 0001 1000 0001
-32111, 128, 0.128, 1111 1110 1111 1110
-32111, 475, 0.475, 1111 1110 0111 1110
-32111, 809, 0.809, 1111 1110 1111 1110
-32111, 1576, 1.576, 1111 1110 0111 1110
-32111, 1826, 1.826, 1111 1110 1111 1110
-32111, 2515, 2.515, 1111 1110 0111 1110
-32111, 2718, 2.718, 1111 1110 1111 1110
-32111, 3405, 3.405, 1111 1110 0111 1110
-32111, 3563, 3.563, 1111 1110 1111 1110
-32111, 4120, 4.12, 1000 0001 1000 0001
-32111, 4224, 4.224, 1111 1110 1111 1110
-35701, 0, 0.0, 1111 1110 1111 1110
-35701, 1, 0.001, 1000 0001 1000 0001
-35701, 20, 0.02, 1000 0001 0000 0001
-35701, 62, 0.062, 1111 1110 0111 1110
-35701, 266, 0.266, 1111 1110 1111 1110
-35701, 584, 0.584, 1111 1110 0111 1110
-35701, 1157, 1.157, 1111 1110 1111 1110
-35701, 1416, 1.416, 1111 1110 0111 1110
-35701, 2026, 2.026, 1111 1110 1111 1110
-35701, 2254, 2.254, 1111 1110 0111 1110
-35701, 2894, 2.894, 1111 1110 1111 1110
-35701, 3084, 3.084, 1111 1110 0111 1110
-35701, 3761, 3.761, 1111 1110 1111 1110
