Packet, Sample offset, Latency (ms), Sample
1, 0, 0.0, 0111 1110 0111 1110 
1, 1, 0.001, 0000 0001 0000 0001 
1, 20, 0.02, 0000 0001 1000 0001 
1, 61, 0.061, 0111 1110 1111 1110 
1, 1204, 1.204, 1111 1110 0111 1110 
1, 1374, 1.374, 0111 1110 1111 1110 
1, 3786, 3.786, 0111 1110 0111 1110 
1, 4097, 4.097, 0000 0001 0000 0001 
1, 4116, 4.116, 0000 0001 1000 0001 
1, 4123, 4.123, 0111 1110 1111 1110 
1, 23126, 23.126, 0111 1110 0111 1110 
1, 23127, 23.127, 1111 1110 0111 1110 
1, 23466, 23.466, 0111 1110 1111 1110 
1, 23666, 23.666, 1111 1110 0111 1110 
1, 24202, 24.202, 0111 1110 1111 1110 
1, 24502, 24.502, 0000 0000 0000 0000 
2, 0, 0.0, 0111 1110 1111 1110 
2, 1, 0.001, 0000 0001 1000 0001 
2, 20, 0.02, 0000 0001 0000 0001 
2, 171, 0.171, 0111 1110 0111 1110 
2, 566, 0.566, 1111 1110 0111 1110 
2, 958, 0.958, 0111 1110 0111 1110 
2, 1989, 1.989, 1111 1110 0111 1110 
2, 2107, 2.107, 1111 1110 1111 1110 
2, 2111, 2.111, 0111 1110 1111 1110 
2, 2227, 2.227, 0111 1110 0111 1110 
2, 3186, 3.186, 0111 1110 1111 1110 
2, 3368, 3.368, 0111 1110 0111 1110 
2, 3953, 3.953, 0111 1110 1111 1110 
2, 4097, 4.097, 0000 0001 1000 0001 
2, 4116, 4.116, 0000 0001 0000 0001 
2, 4267, 4.267, 0111 1110 0111 1110 
2, 106839, 106.839, 1111 1110 1111 1110 
2, 107416, 107.416, 0111 1110 0111 1110 
2, 107692, 107.692, 0000 0000 0000 0000 
3, 0, 0.0, 1111 1110 1111 1110 
3, 1, 0.001, 1000 0001 1000 0001 
3, 104, 0.104, 1111 1110 0111 1110 
3, 560, 0.56, 1111 1110 1111 1110 
3, 941, 0.941, 1111 1110 0111 1110 
3, 1742, 1.742, 1111 1110 1111 1110 
3, 1982, 1.982, 1111 1110 0111 1110 
3, 2655, 2.655, 1111 1110 1111 1110 
3, 2845, 2.845, 1111 1110 0111 1110 
3, 3545, 3.545, 1111 1110 1111 1110 
3, 3686, 3.686, 1111 1110 0111 1110 
3, 4172, 4.172, 1000 0001 1000 0001 
3, 4200, 4.2, 1111 1110 0111 1110 
3, 25457, 25.457, 0111 1110 1111 1110 
3, 26055, 26.055, 1111 1110 0111 1110 
3, 26309, 26.309, 0000 0000 0000 0000 
4, 0, 0.0, 0111 1110 1111 1110 
4, 1, 0.001, 0000 0001 1000 0001 
4, 20, 0.02, 0000 0001 0000 0001 
4, 74, 0.074, 0111 1110 0111 1110 
4, 374, 0.374, 0111 1110 1111 1110 
4, 764, 0.764, 0111 1110 0111 1110 
4, 1553, 1.553, 0111 1110 1111 1110 
4, 1798, 1.798, 0111 1110 0111 1110 
4, 2400, 2.4, 0111 1110 1111 1110 
4, 2598, 2.598, 0111 1110 0111 1110 
4, 3240, 3.24, 0111 1110 1111 1110 
4, 3417, 3.417, 0111 1110 0111 1110 
4, 3900, 3.9, 0111 1110 1111 1110 
4, 4097, 4.097, 0000 0001 1000 0001 
4, 4116, 4.116, 0000 0001 0000 0001 
4, 4170, 4.17, 0111 1110 0111 1110 
4, 41476, 41.476, 0111 1110 1111 1110 
4, 41480, 41.48, 1111 1110 1111 1110 
4, 41658, 41.658, 0111 1110 0111 1110 
4, 41974, 41.974, 1111 1110 1111 1110 
4, 42574, 42.574, 0111 1110 0111 1110 
4, 42809, 42.809, 0000 0000 0000 0000 
5, 0, 0.0, 0111 1110 0111 1110 
5, 1, 0.001, 0000 0001 0000 0001 
5, 21, 0.021, 0000 0001 1000 0001 
5, 61, 0.061, 0111 1110 1111 1110 
5, 285, 0.285, 0111 1110 0111 1110 
5, 716, 0.716, 0111 1110 1111 1110 
5, 1516, 1.516, 0111 1110 0111 1110 
5, 1788, 1.788, 0111 1110 1111 1110 
5, 2411, 2.411, 0111 1110 0111 1110 
5, 2606, 2.606, 0111 1110 1111 1110 
5, 3289, 3.289, 0111 1110 0111 1110 
5, 3438, 3.438, 0111 1110 1111 1110 
5, 3940, 3.94, 0111 1110 0111 1110 
5, 4097, 4.097, 0000 0001 0000 0001 
5, 4117, 4.117, 0000 0001 1000 0001 
5, 4157, 4.157, 0111 1110 1111 1110 
5, 101166, 101.166, 0111 1110 0111 1110 
5, 101168, 101.168, 1111 1110 0111 1110 
5, 101336, 101.336, 0111 1110 1111 1110 
5, 101502, 101.502, 1111 1110 0111 1110 
5, 102041, 102.041, 0111 1110 1111 1110 
5, 102404, 102.404, 0000 0000 0000 0000 
6, 0, 0.0, 1111 1110 0111 1110 
6, 1, 0.001, 1000 0001 0000 0001 
6, 20, 0.02, 1000 0001 1000 0001 
6, 74, 0.074, 1111 1110 1111 1110 
6, 314, 0.314, 1111 1110 0111 1110 
6, 725, 0.725, 1111 1110 1111 1110 
6, 1520, 1.52, 1111 1110 0111 1110 
6, 1848, 1.848, 1111 1110 1111 1110 
6, 2461, 2.461, 1111 1110 0111 1110 
6, 2659, 2.659, 1111 1110 1111 1110 
6, 3329, 3.329, 1111 1110 0111 1110 
6, 3486, 3.486, 1111 1110 1111 1110 
6, 3953, 3.953, 1111 1110 0111 1110 
6, 4097, 4.097, 1000 0001 0000 0001 
6, 4116, 4.116, 1000 0001 1000 0001 
6, 4170, 4.17, 1111 1110 1111 1110 
6, 199083, 199.083, 0111 1110 0111 1110 
6, 199785, 199.785, 1111 1110 1111 1110 
6, 199996, 199.996, 0000 0000 0000 0000 
7, 0, 0.0, 1111 1110 1111 1110 
7, 1, 0.001, 1000 0001 1000 0001 
7, 33, 0.033, 1000 0001 0000 0001 
7, 61, 0.061, 1111 1110 0111 1110 
7, 368, 0.368, 1111 1110 1111 1110 
7, 695, 0.695, 1111 1110 0111 1110 
7, 1526, 1.526, 1111 1110 1111 1110 
7, 1770, 1.77, 1111 1110 0111 1110 
7, 2367, 2.367, 1111 1110 1111 1110 
7, 2594, 2.594, 1111 1110 0111 1110 
7, 3299, 3.299, 1111 1110 1111 1110 
7, 3452, 3.452, 1111 1110 0111 1110 
7, 4017, 4.017, 1111 1110 1111 1110 
7, 4097, 4.097, 1000 0001 1000 0001 
7, 4129, 4.129, 1000 0001 0000 0001 
7, 4157, 4.157, 1111 1110 0111 1110 
7, 62638, 62.638, 1111 1110 1111 1110 
7, 62640, 62.64, 0111 1110 1111 1110 
7, 62949, 62.949, 1111 1110 0111 1110 
7, 63201, 63.201, 0000 0000 0000 0000 
8, 0, 0.0, 0111 1110 1111 1110 
8, 1, 0.001, 0000 0001 1000 0001 
8, 20, 0.02, 0000 0001 0000 0001 
8, 74, 0.074, 0111 1110 0111 1110 
8, 311, 0.311, 0111 1110 1111 1110 
8, 707, 0.707, 0111 1110 0111 1110 
8, 1575, 1.575, 0111 1110 1111 1110 
8, 1845, 1.845, 0111 1110 0111 1110 
8, 2469, 2.469, 0111 1110 1111 1110 
8, 2665, 2.665, 0111 1110 0111 1110 
8, 3335, 3.335, 0111 1110 1111 1110 
8, 3491, 3.491, 0111 1110 0111 1110 
8, 3960, 3.96, 0111 1110 1111 1110 
8, 4097, 4.097, 0000 0001 1000 0001 
8, 4116, 4.116, 0000 0001 0000 0001 
8, 4170, 4.17, 0111 1110 0111 1110 
8, 30313, 30.313, 1111 1110 1111 1110 
8, 30960, 30.96, 0111 1110 0111 1110 
8, 31178, 31.178, 0000 0000 0000 0000 
9, 0, 0.0, 1111 1110 1111 1110 
9, 1, 0.001, 1000 0001 1000 0001 
9, 20, 0.02, 1000 0001 0000 0001 
9, 60, 0.06, 1111 1110 0111 1110 
9, 393, 0.393, 1111 1110 1111 1110 
9, 775, 0.775, 1111 1110 0111 1110 
9, 1549, 1.549, 1111 1110 1111 1110 
9, 1790, 1.79, 1111 1110 0111 1110 
9, 2393, 2.393, 1111 1110 1111 1110 
9, 2595, 2.595, 1111 1110 0111 1110 
9, 3252, 3.252, 1111 1110 1111 1110 
9, 3416, 3.416, 1111 1110 0111 1110 
9, 3947, 3.947, 1111 1110 1111 1110 
9, 4097, 4.097, 1000 0001 1000 0001 
9, 4116, 4.116, 1000 0001 0000 0001 
9, 4156, 4.156, 1111 1110 0111 1110 
9, 158838, 158.838, 1111 1110 1111 1110 
9, 158840, 158.84, 0111 1110 1111 1110 
9, 159231, 159.231, 1111 1110 0111 1110 
9, 159382, 159.382, 0111 1110 1111 1110 
9, 159932, 159.932, 1111 1110 0111 1110 
9, 160260, 160.26, 0000 0000 0000 0000 
10, 0, 0.0, 0111 1110 1111 1110 
10, 1, 0.001, 0000 0001 1000 0001 
10, 21, 0.021, 0000 0001 0000 0001 
10, 74, 0.074, 0111 1110 0111 1110 
10, 268, 0.268, 0111 1110 1111 1110 
10, 652, 0.652, 0111 1110 0111 1110 
10, 1414, 1.414, 0111 1110 1111 1110 
10, 1741, 1.741, 0111 1110 0111 1110 
10, 2364, 2.364, 0111 1110 1111 1110 
10, 2559, 2.559, 0111 1110 0111 1110 
10, 3224, 3.224, 0111 1110 1111 1110 
10, 3389, 3.389, 0111 1110 0111 1110 
10, 3852, 3.852, 0111 1110 1111 1110 
10, 4097, 4.097, 0000 0001 1000 0001 
10, 4117, 4.117, 0000 0001 0000 0001 
10, 4170, 4.17, 0111 1110 0111 1110 
10, 67385, 67.385, 1111 1110 1111 1110 
10, 68056, 68.056, 0111 1110 0111 1110 
10, 68252, 68.252, 0000 0000 0000 0000 
11, 0, 0.0, 1111 1110 1111 1110 
11, 1, 0.001, 1000 0001 1000 0001 
11, 20, 0.02, 1000 0001 0000 0001 
11, 73, 0.073, 1111 1110 0111 1110 
11, 373, 0.373, 1111 1110 1111 1110 
11, 754, 0.754, 1111 1110 0111 1110 
11, 1618, 1.618, 1111 1110 1111 1110 
11, 1863, 1.863, 1111 1110 0111 1110 
11, 2484, 2.484, 1111 1110 1111 1110 
11, 2678, 2.678, 1111 1110 0111 1110 
11, 3350, 3.35, 1111 1110 1111 1110 
11, 3498, 3.498, 1111 1110 0111 1110 
11, 3968, 3.968, 1111 1110 1111 1110 
11, 4097, 4.097, 1000 0001 1000 0001 
11, 4116, 4.116, 1000 0001 0000 0001 
11, 4169, 4.169, 1111 1110 0111 1110 
11, 33490, 33.49, 1111 1110 1111 1110 
11, 33492, 33.492, 0111 1110 1111 1110 
11, 33869, 33.869, 1111 1110 0111 1110 
11, 34136, 34.136, 0000 0000 0000 0000 
12, 0, 0.0, 0111 1110 1111 1110 
12, 1, 0.001, 0000 0001 1000 0001 
12, 20, 0.02, 0000 0001 0000 0001 
12, 60, 0.06, 0111 1110 0111 1110 
12, 327, 0.327, 0111 1110 1111 1110 
12, 720, 0.72, 0111 1110 0111 1110 
12, 1482, 1.482, 0111 1110 1111 1110 
12, 1748, 1.748, 0111 1110 0111 1110 
12, 2357, 2.357, 0111 1110 1111 1110 
12, 2571, 2.571, 0111 1110 0111 1110 
12, 3244, 3.244, 0111 1110 1111 1110 
12, 3407, 3.407, 0111 1110 0111 1110 
12, 3862, 3.862, 0111 1110 1111 1110 
12, 4097, 4.097, 0000 0001 1000 0001 
12, 4116, 4.116, 0000 0001 0000 0001 
12, 4156, 4.156, 0111 1110 0111 1110 
12, 50688, 50.688, 0111 1110 1111 1110 
12, 50691, 50.691, 1111 1110 1111 1110 
12, 50772, 50.772, 0111 1110 0111 1110 
12, 51022, 51.022, 1111 1110 1111 1110 
12, 51677, 51.677, 0111 1110 0111 1110 
12, 51886, 51.886, 0000 0000 0000 0000 
13, 0, 0.0, 1111 1110 1111 1110 
13, 1, 0.001, 1000 0001 1000 0001 
13, 62, 0.062, 1111 1110 1111 1110 
13, 76, 0.076, 1111 1110 0111 1110 
13, 283, 0.283, 1111 1110 1111 1110 
13, 665, 0.665, 1111 1110 0111 1110 
13, 1524, 1.524, 1111 1110 1111 1110 
13, 1764, 1.764, 1111 1110 0111 1110 
13, 2360, 2.36, 1111 1110 1111 1110 
13, 2561, 2.561, 1111 1110 0111 1110 
13, 3271, 3.271, 1111 1110 1111 1110 
13, 3422, 3.422, 1111 1110 0111 1110 
13, 3914, 3.914, 1111 1110 1111 1110 
13, 4097, 4.097, 1000 0001 1000 0001 
13, 4158, 4.158, 1111 1110 1111 1110 
13, 4172, 4.172, 1111 1110 0111 1110 
13, 36433, 36.433, 1111 1110 1111 1110 
13, 36436, 36.436, 0111 1110 1111 1110 
13, 36772, 36.772, 1111 1110 0111 1110 
13, 37107, 37.107, 0000 0000 0000 0000 
14, 0, 0.0, 0111 1110 1111 1110 
14, 1, 0.001, 0000 0001 1000 0001 
14, 20, 0.02, 0000 0001 0000 0001 
14, 75, 0.075, 0111 1110 0111 1110 
14, 319, 0.319, 0111 1110 1111 1110 
14, 723, 0.723, 0111 1110 0111 1110 
14, 1527, 1.527, 0111 1110 1111 1110 
14, 1833, 1.833, 0111 1110 0111 1110 
14, 2427, 2.427, 0111 1110 1111 1110 
14, 2642, 2.642, 0111 1110 0111 1110 
14, 3380, 3.38, 0111 1110 1111 1110 
14, 3528, 3.528, 0111 1110 0111 1110 
14, 3999, 3.999, 0111 1110 1111 1110 
14, 4097, 4.097, 0000 0001 1000 0001 
14, 4116, 4.116, 0000 0001 0000 0001 
14, 4171, 4.171, 0111 1110 0111 1110 
14, 102222, 102.222, 0111 1110 1111 1110 
14, 102225, 102.225, 1111 1110 1111 1110 
14, 102725, 102.725, 0111 1110 0111 1110 
14, 103040, 103.04, 0000 0000 0000 0000 
15, 0, 0.0, 1111 1110 1111 1110 
15, 1, 0.001, 1000 0001 1000 0001 
15, 20, 0.02, 1000 0001 0000 0001 
15, 137, 0.137, 1111 1110 0111 1110 
15, 460, 0.46, 1111 1110 1111 1110 
15, 824, 0.824, 1111 1110 0111 1110 
15, 1573, 1.573, 1111 1110 1111 1110 
15, 1837, 1.837, 1111 1110 0111 1110 
15, 2475, 2.475, 1111 1110 1111 1110 
15, 2683, 2.683, 1111 1110 0111 1110 
15, 3334, 3.334, 1111 1110 1111 1110 
15, 3483, 3.483, 1111 1110 0111 1110 
15, 3957, 3.957, 1111 1110 1111 1110 
15, 4097, 4.097, 1000 0001 1000 0001 
15, 4116, 4.116, 1000 0001 0000 0001 
15, 4233, 4.233, 1111 1110 0111 1110 
15, 8468, 8.468, 1111 1110 1111 1110 
15, 8471, 8.471, 0111 1110 1111 1110 
15, 8891, 8.891, 1111 1110 0111 1110 
15, 9189, 9.189, 0000 0000 0000 0000 
16, 0, 0.0, 0111 1110 1111 1110 
16, 1, 0.001, 0000 0001 1000 0001 
