Packet, Sample offset, Latency (ms), [packet_received_bit][packet_created_bit][button_press_mirror_bit]
1, 0, 0.0, 1111 1110 1111 1110 
1, 1, 0.001, 1000 0001 1000 0001 
1, 20, 0.02, 1000 0001 0000 0001 
1, 151, 0.151, 1111 1110 0111 1110 
1, 529, 0.529, 0111 1110 1111 1110 
1, 912, 0.912, 1111 1110 0111 1110 
1, 1766, 1.766, 1111 1110 1111 1110 
1, 2034, 2.034, 1111 1110 0111 1110 
1, 2934, 2.934, 0111 1110 1111 1110 
1, 3196, 3.196, 0000 0000 0000 0000 
2, 0, 0.0, 0111 1110 0111 1110 
2, 1, 0.001, 0000 0001 0000 0001 
2, 20, 0.02, 0000 0001 1000 0001 
2, 97, 0.097, 0111 1110 1111 1110 
2, 395, 0.395, 1111 1110 0111 1110 
2, 748, 0.748, 0111 1110 1111 1110 
2, 1524, 1.524, 1111 1110 0111 1110 
2, 1871, 1.871, 0111 1110 1111 1110 
2, 2679, 2.679, 1111 1110 0111 1110 
2, 2924, 2.924, 0111 1110 1111 1110 
2, 3634, 3.634, 0111 1110 0111 1110 
2, 4077, 4.077, 0111 1110 1111 1110 
2, 103970, 103.97, 0000 0000 0000 0000 
3, 0, 0.0, 1111 1110 1111 1110 
3, 1, 0.001, 1000 0001 1000 0001 
3, 20, 0.02, 1000 0001 0000 0001 
3, 214, 0.214, 1111 1110 0111 1110 
3, 695, 0.695, 0111 1110 1111 1110 
3, 1043, 1.043, 1111 1110 0111 1110 
3, 1935, 1.935, 1111 1110 1111 1110 
3, 2163, 2.163, 0111 1110 1111 1110 
3, 2271, 2.271, 1111 1110 0111 1110 
3, 3197, 3.197, 0111 1110 1111 1110 
3, 3477, 3.477, 1111 1110 0111 1110 
3, 4251, 4.251, 1000 0001 0000 0001 
3, 4310, 4.31, 1111 1110 0111 1110 
3, 33359, 33.359, 0000 0000 0000 0000 
3, 37455, 37.455, 1111 1110 0111 1110 
3, 71209, 71.209, 0000 0000 0000 0000 
3, 79401, 79.401, 1111 1110 0111 1110 
3, 186316, 186.316, 0111 1110 0111 1110 
3, 186482, 186.482, 1111 1110 0111 1110 
3, 186720, 186.72, 0000 0000 0000 0000 
4, 0, 0.0, 0111 1110 0111 1110 
4, 1, 0.001, 0000 0001 0000 0001 
4, 20, 0.02, 0000 0001 1000 0001 
4, 210, 0.21, 0111 1110 1111 1110 
4, 661, 0.661, 1111 1110 0111 1110 
4, 1089, 1.089, 0111 1110 1111 1110 
4, 1956, 1.956, 0111 1110 0111 1110 
4, 2260, 2.26, 0111 1110 1111 1110 
4, 3231, 3.231, 1111 1110 0111 1110 
4, 3480, 3.48, 0111 1110 1111 1110 
4, 38417, 38.417, 0000 0000 0000 0000 
4, 42513, 42.513, 0111 1110 1111 1110 
4, 50583, 50.583, 1111 1110 1111 1110 
4, 50707, 50.707, 0111 1110 1111 1110 
