Packet, Sample offset, Latency (ms), Sample
1, 0, 0.0, 0111 1110 0111 1110 
1, 1, 0.001, 0000 0001 0000 0001 
1, 20, 0.02, 0000 0001 1000 0001 
1, 67, 0.067, 0111 1110 1111 1110 
1, 3772, 3.772, 0111 1110 0111 1110 
1, 3932, 3.932, 0111 1110 1111 1110 
1, 51856, 51.856, 1111 1110 1111 1110 
1, 51858, 51.858, 1111 1110 0111 1110 
1, 52494, 52.494, 0111 1110 1111 1110 
1, 52648, 52.648, 0000 0000 0000 0000 
2, 0, 0.0, 0000 0001 1000 0001 
2, 20, 0.02, 0000 0001 0000 0001 
2, 61, 0.061, 0111 1110 0111 1110 
2, 262, 0.262, 0111 1110 1111 1110 
2, 565, 0.565, 0111 1110 0111 1110 
2, 1094, 1.094, 0111 1110 1111 1110 
2, 1374, 1.374, 0111 1110 0111 1110 
2, 2033, 2.033, 0111 1110 1111 1110 
2, 2278, 2.278, 0111 1110 0111 1110 
2, 3136, 3.136, 0111 1110 1111 1110 
2, 3304, 3.304, 0111 1110 0111 1110 
2, 3789, 3.789, 0111 1110 1111 1110 
2, 4096, 4.096, 0000 0001 1000 0001 
2, 4116, 4.116, 0000 0001 0000 0001 
2, 4122, 4.122, 0111 1110 0111 1110 
2, 95125, 95.125, 0111 1110 1111 1110 
2, 95129, 95.129, 1111 1110 1111 1110 
2, 95297, 95.297, 0111 1110 0111 1110 
2, 95575, 95.575, 1111 1110 1111 1110 
2, 96222, 96.222, 0111 1110 0111 1110 
2, 96457, 96.457, 0000 0000 0000 0000 
3, 0, 0.0, 1111 1110 1111 1110 
3, 1, 0.001, 1000 0001 1000 0001 
3, 20, 0.02, 1000 0001 0000 0001 
3, 62, 0.062, 1111 1110 0111 1110 
3, 269, 0.269, 1111 1110 1111 1110 
3, 585, 0.585, 1111 1110 0111 1110 
3, 1144, 1.144, 1111 1110 1111 1110 
3, 1526, 1.526, 1111 1110 0111 1110 
3, 2329, 2.329, 1111 1110 1111 1110 
3, 2541, 2.541, 1111 1110 0111 1110 
3, 3196, 3.196, 1111 1110 1111 1110 
3, 3357, 3.357, 1111 1110 0111 1110 
3, 3821, 3.821, 1111 1110 1111 1110 
3, 4097, 4.097, 1000 0001 1000 0001 
3, 4116, 4.116, 1000 0001 0000 0001 
3, 4158, 4.158, 1111 1110 0111 1110 
3, 49168, 49.168, 0111 1110 1111 1110 
3, 49681, 49.681, 1111 1110 0111 1110 
3, 49976, 49.976, 0000 0000 0000 0000 
4, 0, 0.0, 0111 1110 1111 1110 
4, 1, 0.001, 0000 0001 1000 0001 
4, 20, 0.02, 0000 0001 0000 0001 
4, 62, 0.062, 0111 1110 0111 1110 
4, 294, 0.294, 0111 1110 1111 1110 
4, 602, 0.602, 0111 1110 0111 1110 
4, 1155, 1.155, 0111 1110 1111 1110 
4, 1415, 1.415, 0111 1110 0111 1110 
4, 2226, 2.226, 0111 1110 1111 1110 
4, 2572, 2.572, 0111 1110 0111 1110 
4, 3226, 3.226, 0111 1110 1111 1110 
4, 3393, 3.393, 0111 1110 0111 1110 
4, 3868, 3.868, 0111 1110 1111 1110 
4, 4097, 4.097, 0000 0001 1000 0001 
4, 4116, 4.116, 0000 0001 0000 0001 
4, 4158, 4.158, 0111 1110 0111 1110 
4, 18487, 18.487, 0111 1110 1111 1110 
4, 18491, 18.491, 1111 1110 1111 1110 
4, 19053, 19.053, 0111 1110 0111 1110 
4, 19259, 19.259, 0000 0000 0000 0000 
5, 0, 0.0, 1111 1110 1111 1110 
5, 1, 0.001, 1000 0001 1000 0001 
5, 20, 0.02, 1000 0001 0000 0001 
5, 62, 0.062, 1111 1110 0111 1110 
5, 308, 0.308, 1111 1110 1111 1110 
5, 620, 0.62, 1111 1110 0111 1110 
5, 1229, 1.229, 1111 1110 1111 1110 
5, 1483, 1.483, 1111 1110 0111 1110 
5, 2132, 2.132, 1111 1110 1111 1110 
5, 2342, 2.342, 1111 1110 0111 1110 
5, 3013, 3.013, 1111 1110 1111 1110 
5, 3184, 3.184, 1111 1110 0111 1110 
5, 3681, 3.681, 1111 1110 1111 1110 
5, 4014, 4.014, 1111 1110 0111 1110 
5, 82509, 82.509, 1111 1110 1111 1110 
5, 82512, 82.512, 0111 1110 1111 1110 
5, 82565, 82.565, 1111 1110 0111 1110 
5, 82844, 82.844, 0111 1110 1111 1110 
5, 83430, 83.43, 1111 1110 0111 1110 
5, 83669, 83.669, 0000 0000 0000 0000 
6, 0, 0.0, 0000 0001 1000 0001 
6, 20, 0.02, 0000 0001 0000 0001 
6, 78, 0.078, 0111 1110 0111 1110 
6, 342, 0.342, 0111 1110 1111 1110 
6, 657, 0.657, 0111 1110 0111 1110 
6, 1253, 1.253, 0111 1110 1111 1110 
6, 1507, 1.507, 0111 1110 0111 1110 
6, 2290, 2.29, 0111 1110 1111 1110 
6, 2616, 2.616, 0111 1110 0111 1110 
6, 3617, 3.617, 0111 1110 1111 1110 
6, 3857, 3.857, 0111 1110 0111 1110 
6, 68107, 68.107, 1111 1110 1111 1110 
6, 68866, 68.866, 0111 1110 0111 1110 
6, 69035, 69.035, 0000 0000 0000 0000 
7, 0, 0.0, 1111 1110 1111 1110 
7, 1, 0.001, 1000 0001 1000 0001 
7, 20, 0.02, 1000 0001 0000 0001 
7, 76, 0.076, 1111 1110 0111 1110 
7, 304, 0.304, 1111 1110 1111 1110 
7, 629, 0.629, 1111 1110 0111 1110 
7, 1247, 1.247, 1111 1110 1111 1110 
7, 1529, 1.529, 1111 1110 0111 1110 
7, 2472, 2.472, 1111 1110 1111 1110 
7, 2707, 2.707, 1111 1110 0111 1110 
7, 3483, 3.483, 1111 1110 1111 1110 
7, 3629, 3.629, 1111 1110 0111 1110 
7, 4120, 4.12, 1000 0001 0000 0001 
7, 4172, 4.172, 1111 1110 0111 1110 
7, 4776, 4.776, 1111 1110 1111 1110 
7, 4780, 4.78, 0111 1110 1111 1110 
7, 5100, 5.1, 1111 1110 0111 1110 
7, 5379, 5.379, 0111 1110 1111 1110 
7, 6039, 6.039, 1111 1110 0111 1110 
7, 6263, 6.263, 0000 0000 0000 0000 
8, 0, 0.0, 0111 1110 1111 1110 
8, 1, 0.001, 0000 0001 1000 0001 
8, 20, 0.02, 0000 0001 0000 0001 
8, 66, 0.066, 0000 1111 0111 0001 
8, 67, 0.067, 0111 1110 0111 1110 
8, 299, 0.299, 0111 1110 1111 1110 
8, 624, 0.624, 0111 1110 0111 1110 
8, 1172, 1.172, 0111 1110 1111 1110 
8, 1487, 1.487, 0111 1110 0111 1110 
8, 2253, 2.253, 0111 1110 1111 1110 
8, 2517, 2.517, 0111 1110 0111 1110 
8, 3192, 3.192, 0111 1110 1111 1110 
8, 3362, 3.362, 0111 1110 0111 1110 
8, 3835, 3.835, 0111 1110 1111 1110 
8, 4097, 4.097, 0000 0001 1000 0001 
8, 4116, 4.116, 0000 0001 0000 0001 
8, 4157, 4.157, 0111 1110 0111 1110 
8, 36913, 36.913, 0111 1110 1111 1110 
8, 36916, 36.916, 1111 1110 1111 1110 
8, 37259, 37.259, 0111 1110 0111 1110 
8, 37556, 37.556, 0000 0000 0000 0000 
9, 0, 0.0, 0000 0001 0000 0001 
9, 20, 0.02, 0000 0001 1000 0001 
9, 89, 0.089, 0111 1110 1111 1110 
9, 320, 0.32, 0111 1110 0111 1110 
9, 654, 0.654, 0111 1110 1111 1110 
9, 1236, 1.236, 0111 1110 0111 1110 
9, 1495, 1.495, 0111 1110 1111 1110 
9, 2441, 2.441, 0111 1110 0111 1110 
9, 2729, 2.729, 0111 1110 1111 1110 
9, 3440, 3.44, 0111 1110 0111 1110 
9, 3619, 3.619, 0111 1110 1111 1110 
9, 4122, 4.122, 0111 1110 1000 0001 
9, 4123, 4.123, 0000 0001 1000 0001 
9, 4185, 4.185, 0111 1110 1111 1110 
9, 101625, 101.625, 0111 1110 0111 1110 
9, 101629, 101.629, 1111 1110 0111 1110 
9, 102206, 102.206, 0111 1110 1111 1110 
9, 102550, 102.55, 0000 0000 0000 0000 
10, 0, 0.0, 0111 1110 1111 1110 
10, 1, 0.001, 0000 0001 1000 0001 
10, 20, 0.02, 0000 0001 0000 0001 
10, 62, 0.062, 0111 1110 0111 1110 
10, 272, 0.272, 0111 1110 1111 1110 
10, 583, 0.583, 0111 1110 0111 1110 
10, 1130, 1.13, 0111 1110 1111 1110 
10, 1424, 1.424, 0111 1110 0111 1110 
10, 2364, 2.364, 0111 1110 1111 1110 
10, 2632, 2.632, 0111 1110 0111 1110 
10, 3431, 3.431, 0111 1110 1111 1110 
10, 3580, 3.58, 0111 1110 0111 1110 
10, 4053, 4.053, 0111 1110 1111 1110 
10, 4097, 4.097, 0000 0001 1000 0001 
10, 4116, 4.116, 0000 0001 0000 0001 
10, 4158, 4.158, 0111 1110 0111 1110 
10, 180679, 180.679, 0111 1110 1111 1110 
10, 180684, 180.684, 1111 1110 1111 1110 
10, 180990, 180.99, 0111 1110 0111 1110 
10, 181294, 181.294, 0000 0000 0000 0000 
11, 0, 0.0, 1111 1110 1111 1110 
11, 1, 0.001, 1000 0001 1000 0001 
11, 21, 0.021, 1000 0001 0000 0001 
11, 69, 0.069, 1111 1110 0111 1110 
11, 309, 0.309, 1111 1110 1111 1110 
11, 642, 0.642, 1111 1110 0111 1110 
11, 1189, 1.189, 1111 1110 1111 1110 
11, 1501, 1.501, 1111 1110 0111 1110 
11, 2249, 2.249, 1111 1110 1111 1110 
11, 2584, 2.584, 1111 1110 0111 1110 
11, 3511, 3.511, 1111 1110 1111 1110 
11, 3671, 3.671, 1111 1110 0111 1110 
11, 89700, 89.7, 1111 1110 1111 1110 
11, 89704, 89.704, 0111 1110 1111 1110 
11, 89784, 89.784, 1111 1110 0111 1110 
11, 90094, 90.094, 0111 1110 1111 1110 
11, 90682, 90.682, 1111 1110 0111 1110 
11, 91015, 91.015, 0000 0000 0000 0000 
12, 0, 0.0, 0111 1110 1111 1110 
12, 1, 0.001, 0000 0001 1000 0001 
12, 20, 0.02, 0000 0001 0000 0001 
12, 67, 0.067, 0111 1110 0111 1110 
12, 289, 0.289, 0111 1110 1111 1110 
12, 612, 0.612, 0111 1110 0111 1110 
12, 1162, 1.162, 0111 1110 1111 1110 
12, 1430, 1.43, 0111 1110 0111 1110 
12, 2205, 2.205, 0111 1110 1111 1110 
12, 2536, 2.536, 0111 1110 0111 1110 
12, 3270, 3.27, 0111 1110 1111 1110 
12, 3430, 3.43, 0111 1110 0111 1110 
12, 3913, 3.913, 0111 1110 1111 1110 
12, 4097, 4.097, 0000 0001 1000 0001 
12, 4116, 4.116, 0000 0001 0000 0001 
12, 4163, 4.163, 0111 1110 0111 1110 
12, 11110, 11.11, 0111 1110 1111 1110 
12, 11187, 11.187, 1111 1110 1111 1110 
12, 11568, 11.568, 0111 1110 0111 1110 
12, 11727, 11.727, 1111 1110 1111 1110 
12, 12220, 12.22, 0111 1110 0111 1110 
12, 12558, 12.558, 0000 0000 0000 0000 
13, 0, 0.0, 1111 1110 1111 1110 
13, 1, 0.001, 1000 0001 1000 0001 
13, 20, 0.02, 1000 0001 0000 0001 
13, 75, 0.075, 1111 1110 0111 1110 
13, 300, 0.3, 1111 1110 1111 1110 
13, 617, 0.617, 1111 1110 0111 1110 
13, 1265, 1.265, 1111 1110 1111 1110 
13, 1536, 1.536, 1111 1110 0111 1110 
13, 2203, 2.203, 1111 1110 1111 1110 
13, 2533, 2.533, 1111 1110 0111 1110 
13, 3476, 3.476, 1111 1110 1111 1110 
13, 3734, 3.734, 1111 1110 0111 1110 
13, 91264, 91.264, 1111 1110 1111 1110 
13, 91267, 91.267, 0111 1110 1111 1110 
13, 91484, 91.484, 1111 1110 0111 1110 
13, 91792, 91.792, 0111 1110 1111 1110 
13, 92517, 92.517, 0111 1110 0111 1110 
13, 92518, 92.518, 1111 1110 0111 1110 
13, 92519, 92.519, 0111 1110 1111 1110 
13, 92520, 92.52, 1111 1110 0111 1110 
13, 92747, 92.747, 0000 0000 0000 0000 
14, 0, 0.0, 0111 1110 1111 1110 
14, 1, 0.001, 0000 0001 1000 0001 
14, 20, 0.02, 0000 0001 0000 0001 
14, 95, 0.095, 0111 1110 0111 1110 
14, 332, 0.332, 0111 1110 1111 1110 
14, 640, 0.64, 0111 1110 0111 1110 
14, 1249, 1.249, 0111 1110 1111 1110 
14, 1515, 1.515, 0111 1110 0111 1110 
14, 2180, 2.18, 0111 1110 1111 1110 
14, 2401, 2.401, 0111 1110 0111 1110 
14, 3593, 3.593, 0111 1110 1111 1110 
14, 3822, 3.822, 0111 1110 0111 1110 
14, 61922, 61.922, 0111 1110 1111 1110 
14, 61926, 61.926, 1111 1110 1111 1110 
14, 61969, 61.969, 0111 1110 0111 1110 
14, 62251, 62.251, 1111 1110 1111 1110 
14, 62811, 62.811, 0111 1110 0111 1110 
14, 63070, 63.07, 0000 0000 0000 0000 
15, 0, 0.0, 1111 1110 1111 1110 
15, 1, 0.001, 1000 0001 1000 0001 
15, 20, 0.02, 1000 0001 0000 0001 
15, 90, 0.09, 1111 1110 0111 1110 
15, 353, 0.353, 1111 1110 1111 1110 
15, 673, 0.673, 1111 1110 0111 1110 
15, 1247, 1.247, 1111 1110 1111 1110 
15, 1522, 1.522, 1111 1110 0111 1110 
15, 2142, 2.142, 1111 1110 1111 1110 
15, 2364, 2.364, 1111 1110 0111 1110 
15, 3090, 3.09, 1111 1110 1111 1110 
15, 3253, 3.253, 1111 1110 0111 1110 
15, 3769, 3.769, 1111 1110 1111 1110 
15, 4097, 4.097, 1000 0001 1000 0001 
15, 4116, 4.116, 1000 0001 0000 0001 
15, 4145, 4.145, 1111 1110 0111 1110 
15, 94889, 94.889, 0111 1110 1111 1110 
15, 95450, 95.45, 1111 1110 0111 1110 
15, 95703, 95.703, 0000 0000 0000 0000 
16, 0, 0.0, 0111 1110 1111 1110 
16, 1, 0.001, 0000 0001 1000 0001 
16, 21, 0.021, 0000 0001 0000 0001 
16, 62, 0.062, 0111 1110 0111 1110 
16, 288, 0.288, 0111 1110 1111 1110 
16, 596, 0.596, 0111 1110 0111 1110 
16, 1138, 1.138, 0111 1110 1111 1110 
16, 1474, 1.474, 0111 1110 0111 1110 
16, 2354, 2.354, 0111 1110 1111 1110 
16, 2646, 2.646, 0111 1110 0111 1110 
16, 3328, 3.328, 0111 1110 1111 1110 
16, 3507, 3.507, 0111 1110 0111 1110 
16, 4015, 4.015, 0111 1110 1111 1110 
16, 4097, 4.097, 0000 0001 1000 0001 
16, 4117, 4.117, 0000 0001 0000 0001 
16, 4158, 4.158, 0111 1110 0111 1110 
16, 47666, 47.666, 0111 1110 1111 1110 
16, 47669, 47.669, 1111 1110 1111 1110 
