Packet, Sample offset, Latency (ms), Sample
1, 0, 0.0, 1000 0000 0000 0001 
1, 1, 0.001, 1000 0001 0000 0001 
1, 20, 0.02, 1000 0001 1000 0001 
1, 88, 0.088, 1111 1110 1111 1110 
1, 325, 0.325, 1111 1110 0111 1110 
1, 659, 0.659, 1111 1110 1111 1110 
1, 1246, 1.246, 1111 1110 0111 1110 
1, 1484, 1.484, 1111 1110 1111 1110 
1, 2099, 2.099, 1111 1110 0111 1110 
1, 2300, 2.3, 1111 1110 1111 1110 
1, 2981, 2.981, 1111 1110 0111 1110 
1, 3136, 3.136, 1111 1110 1111 1110 
1, 3625, 3.625, 1111 1110 0111 1110 
1, 3977, 3.977, 1111 1110 1111 1110 
1, 102104, 102.104, 0111 1110 1111 1110 
1, 102751, 102.751, 1111 1110 1111 1110 
1, 103050, 103.05, 0000 0000 0000 0000 
2, 0, 0.0, 1111 1110 1111 1110 
2, 1, 0.001, 1000 0001 1000 0001 
2, 36, 0.036, 1000 0001 0000 0001 
2, 84, 0.084, 1111 1110 0111 1110 
2, 474, 0.474, 1111 1110 1111 1110 
2, 713, 0.713, 1111 1110 0111 1110 
2, 1426, 1.426, 1111 1110 1111 1110 
2, 1598, 1.598, 1111 1110 0111 1110 
2, 2076, 2.076, 1111 1110 1111 1110 
2, 2426, 2.426, 1111 1110 0111 1110 
2, 2925, 2.925, 1111 1110 1111 1110 
2, 3213, 3.213, 1111 1110 0111 1110 
2, 3765, 3.765, 1111 1110 1111 1110 
2, 4017, 4.017, 1111 1110 0111 1110 
2, 61157, 61.157, 0111 1110 0111 1110 
2, 61169, 61.169, 1111 1110 0111 1110 
2, 61417, 61.417, 0111 1110 0111 1110 
2, 62011, 62.011, 1111 1110 0111 1110 
2, 62210, 62.21, 0000 0000 0000 0000 
3, 0, 0.0, 0000 0000 0000 0001 
3, 1, 0.001, 0000 0001 0000 0001 
3, 36, 0.036, 0000 0001 1000 0001 
3, 284, 0.284, 0111 1110 1111 1110 
3, 867, 0.867, 0111 1110 0111 1110 
3, 1114, 1.114, 0111 1110 1111 1110 
3, 1739, 1.739, 0111 1110 0111 1110 
3, 2104, 2.104, 0111 1110 1111 1110 
3, 2635, 2.635, 0111 1110 0111 1110 
3, 2927, 2.927, 0111 1110 1111 1110 
3, 3495, 3.495, 0111 1110 0111 1110 
3, 3735, 3.735, 0111 1110 1111 1110 
3, 4337, 4.337, 0000 0001 1000 0001 
3, 4380, 4.38, 0111 1110 1111 1110 
3, 81255, 81.255, 1111 1110 1111 1110 
3, 81667, 81.667, 0111 1110 1111 1110 
3, 81902, 81.902, 0000 0000 0000 0000 
-4, 0, 0.0, 1111 1110 1111 1110 
-4, 1, 0.001, 1000 0001 1000 0001 
-4, 21, 0.021, 1000 0001 0000 0001 
-4, 295, 0.295, 1111 1110 0111 1110 
-4, 791, 0.791, 1111 1110 1111 1110 
-4, 1020, 1.02, 1111 1110 0111 1110 
-4, 1756, 1.756, 1111 1110 1111 1110 
-4, 1922, 1.922, 1111 1110 0111 1110 
-4, 2479, 2.479, 1111 1110 1111 1110 
-4, 2810, 2.81, 1111 1110 0111 1110 
-4, 3518, 3.518, 1111 1110 1111 1110 
-4, 3817, 3.817, 1111 1110 0111 1110 
5, 0, 0.0, 1111 1110 0111 1110 
5, 1, 0.001, 1000 0001 0000 0001 
5, 21, 0.021, 1000 0001 1000 0001 
5, 62, 0.062, 1111 1110 1111 1110 
5, 347, 0.347, 1111 1110 0111 1110 
5, 665, 0.665, 1111 1110 1111 1110 
5, 1239, 1.239, 1111 1110 0111 1110 
5, 1533, 1.533, 1111 1110 1111 1110 
5, 2262, 2.262, 1111 1110 0111 1110 
5, 2500, 2.5, 1111 1110 1111 1110 
5, 3172, 3.172, 1111 1110 0111 1110 
5, 3346, 3.346, 1111 1110 1111 1110 
5, 3836, 3.836, 1111 1110 0111 1110 
5, 4097, 4.097, 1000 0001 0000 0001 
5, 4117, 4.117, 1000 0001 1000 0001 
5, 4158, 4.158, 1111 1110 1111 1110 
5, 40844, 40.844, 0111 1110 1111 1110 
5, 40918, 40.918, 1111 1110 1111 1110 
5, 41287, 41.287, 0111 1110 1111 1110 
5, 41821, 41.821, 1111 1110 1111 1110 
5, 42109, 42.109, 0000 0000 0000 0000 
6, 0, 0.0, 0111 1110 1000 1110 
6, 1, 0.001, 0000 0001 1000 0001 
6, 20, 0.02, 0000 0001 0000 0001 
6, 311, 0.311, 0111 1110 0111 1110 
6, 860, 0.86, 0111 1110 1111 1110 
6, 1101, 1.101, 0111 1110 0111 1110 
6, 1860, 1.86, 0111 1110 1111 1110 
6, 2034, 2.034, 0111 1110 0111 1110 
6, 2610, 2.61, 0111 1110 1111 1110 
6, 2959, 2.959, 0111 1110 0111 1110 
6, 3596, 3.596, 0111 1110 1111 1110 
6, 3892, 3.892, 0111 1110 0111 1110 
6, 81874, 81.874, 1111 1110 0111 1110 
6, 82580, 82.58, 0111 1110 0111 1110 
6, 83302, 83.302, 0000 0000 0000 0000 
7, 0, 0.0, 1000 0001 0000 0001 
7, 20, 0.02, 1000 0001 1000 0001 
7, 231, 0.231, 1111 1110 1111 1110 
7, 737, 0.737, 1111 1110 0111 1110 
7, 947, 0.947, 1111 1110 1111 1110 
7, 1625, 1.625, 1111 1110 0111 1110 
7, 1802, 1.802, 1111 1110 1111 1110 
7, 2320, 2.32, 1111 1110 0111 1110 
7, 2632, 2.632, 1111 1110 1111 1110 
7, 3183, 3.183, 1111 1110 0111 1110 
7, 3446, 3.446, 1111 1110 1111 1110 
7, 4021, 4.021, 1111 1110 0111 1110 
7, 4096, 4.096, 1000 0001 0000 0001 
7, 4116, 4.116, 1000 0001 1000 0001 
7, 4280, 4.28, 1111 1110 1111 1110 
7, 103731, 103.731, 0111 1110 1111 1110 
7, 104099, 104.099, 1111 1110 1111 1110 
7, 104434, 104.434, 0000 0000 0000 0000 
8, 0, 0.0, 0111 1110 1111 1110 
8, 1, 0.001, 0000 0001 1000 0001 
8, 21, 0.021, 0000 0001 0000 0001 
8, 154, 0.154, 0111 1110 0111 1110 
8, 663, 0.663, 0111 1110 1111 1110 
8, 1101, 1.101, 0111 1110 0111 1110 
8, 1793, 1.793, 0111 1110 1111 1110 
8, 1975, 1.975, 0111 1110 0111 1110 
8, 2494, 2.494, 0111 1110 1111 1110 
8, 2840, 2.84, 0111 1110 0111 1110 
8, 3348, 3.348, 0111 1110 1111 1110 
8, 3638, 3.638, 0111 1110 0111 1110 
8, 81591, 81.591, 1111 1110 0111 1110 
8, 81961, 81.961, 0111 1110 0111 1110 
8, 82216, 82.216, 0000 0000 0000 0000 
9, 0, 0.0, 1111 1110 0111 1110 
9, 1, 0.001, 1000 0001 0000 0001 
9, 21, 0.021, 1000 0001 1000 0001 
9, 147, 0.147, 1111 1110 1111 1110 
9, 485, 0.485, 1111 1110 0111 1110 
9, 709, 0.709, 1111 1110 1111 1110 
9, 1341, 1.341, 1111 1110 0111 1110 
9, 1524, 1.524, 1111 1110 1111 1110 
9, 2207, 2.207, 1111 1110 0111 1110 
9, 2343, 2.343, 1111 1110 1111 1110 
9, 2836, 2.836, 1111 1110 0111 1110 
9, 3139, 3.139, 1111 1110 1111 1110 
9, 3704, 3.704, 1111 1110 0111 1110 
9, 3984, 3.984, 1111 1110 1111 1110 
9, 5269, 5.269, 0111 1110 1111 1110 
9, 5443, 5.443, 1111 1110 1111 1110 
9, 5623, 5.623, 0111 1110 1111 1110 
9, 6299, 6.299, 1111 1110 1111 1110 
9, 6444, 6.444, 0000 0000 0000 0000 
10, 0, 0.0, 0111 1110 1111 1110 
10, 1, 0.001, 0000 0001 1000 0001 
10, 21, 0.021, 0000 0001 0000 0001 
10, 154, 0.154, 0111 1110 0111 1110 
10, 626, 0.626, 0111 1110 1111 1110 
10, 857, 0.857, 0111 1110 0111 1110 
10, 1544, 1.544, 0111 1110 1111 1110 
10, 1720, 1.72, 0111 1110 0111 1110 
10, 2268, 2.268, 0111 1110 1111 1110 
10, 2630, 2.63, 0111 1110 0111 1110 
10, 3203, 3.203, 0111 1110 1111 1110 
10, 3510, 3.51, 0111 1110 0111 1110 
10, 4199, 4.199, 0000 0001 0000 0001 
10, 4250, 4.25, 0111 1110 0111 1110 
10, 113336, 113.336, 1111 1110 0111 1110 
10, 113884, 113.884, 0111 1110 0111 1110 
10, 114151, 114.151, 0000 0000 0000 0000 
11, 0, 0.0, 1111 1110 0111 1110 
11, 1, 0.001, 1000 0001 0000 0001 
11, 21, 0.021, 1000 0001 1000 0001 
11, 232, 0.232, 1111 1110 1111 1110 
11, 635, 0.635, 1111 1110 0111 1110 
11, 901, 0.901, 1111 1110 1111 1110 
11, 1659, 1.659, 1111 1110 0111 1110 
11, 1856, 1.856, 1111 1110 1111 1110 
11, 2399, 2.399, 1111 1110 0111 1110 
11, 2779, 2.779, 1111 1110 1111 1110 
11, 3384, 3.384, 1111 1110 0111 1110 
11, 3674, 3.674, 1111 1110 1111 1110 
11, 4299, 4.299, 1000 0001 1000 0001 
11, 4328, 4.328, 1111 1110 1111 1110 
11, 105288, 105.288, 0111 1110 1111 1110 
11, 105960, 105.96, 1111 1110 1111 1110 
11, 106242, 106.242, 0000 0000 0000 0000 
-12, 0, 0.0, 0111 1110 1111 1110 
-12, 1, 0.001, 0000 0001 1000 0001 
-12, 20, 0.02, 0000 0001 0000 0001 
-12, 334, 0.334, 0111 1110 0111 1110 
-12, 989, 0.989, 0111 1110 1111 1110 
-12, 1273, 1.273, 0111 1110 0111 1110 
-12, 1807, 1.807, 0111 1110 1111 1110 
-12, 2190, 2.19, 0111 1110 0111 1110 
-12, 2751, 2.751, 0111 1110 1111 1110 
-12, 3053, 3.053, 0111 1110 0111 1110 
-12, 3702, 3.702, 0111 1110 1111 1110 
-12, 3941, 3.941, 0111 1110 0111 1110 
13, 0, 0.0, 0111 1110 0111 1110 
13, 1, 0.001, 0000 0001 0000 0001 
13, 21, 0.021, 0000 0001 1000 0001 
13, 62, 0.062, 0111 1110 1111 1110 
13, 322, 0.322, 0111 1110 0111 1110 
13, 638, 0.638, 0111 1110 1111 1110 
13, 1262, 1.262, 0111 1110 0111 1110 
13, 1505, 1.505, 0111 1110 1111 1110 
13, 2167, 2.167, 0111 1110 0111 1110 
13, 2383, 2.383, 0111 1110 1111 1110 
13, 3058, 3.058, 0111 1110 0111 1110 
13, 3212, 3.212, 0111 1110 1111 1110 
13, 3688, 3.688, 0111 1110 0111 1110 
13, 4021, 4.021, 0111 1110 1111 1110 
13, 31607, 31.607, 1111 1110 1111 1110 
