Packet, Sample offset, Latency (ms), Sample
1, 0, 0.0, 0111 1110 0111 1110 
1, 1, 0.001, 0000 0001 0000 0001 
1, 21, 0.021, 0000 0001 1000 0001 
1, 75, 0.075, 0111 1110 1111 1110 
1, 3757, 3.757, 0111 1110 0111 1110 
1, 4097, 4.097, 0000 0001 0000 0001 
1, 4107, 4.107, 0111 1110 1111 1110 
1, 8615, 8.615, 0111 1110 0111 1110 
1, 8618, 8.618, 1111 1110 0111 1110 
1, 9186, 9.186, 0111 1110 1111 1110 
1, 9484, 9.484, 0000 0000 0000 0000 
2, 0, 0.0, 1111 1110 0111 1110 
2, 1, 0.001, 1000 0001 0000 0001 
2, 20, 0.02, 1000 0001 1000 0001 
2, 76, 0.076, 1111 1110 1111 1110 
2, 317, 0.317, 1111 1110 0111 1110 
2, 649, 0.649, 1111 1110 1111 1110 
2, 1246, 1.246, 1111 1110 0111 1110 
2, 1551, 1.551, 1111 1110 1111 1110 
2, 2187, 2.187, 1111 1110 0111 1110 
2, 2415, 2.415, 1111 1110 1111 1110 
2, 3094, 3.094, 1111 1110 0111 1110 
2, 3276, 3.276, 1111 1110 1111 1110 
2, 3774, 3.774, 1111 1110 0111 1110 
2, 4097, 4.097, 1000 0001 0000 0001 
2, 4116, 4.116, 1000 0001 1000 0001 
2, 4118, 4.118, 1111 1110 1111 1110 
2, 101396, 101.396, 1111 1110 0111 1110 
2, 101400, 101.4, 0111 1110 0111 1110 
2, 102072, 102.072, 1111 1110 1111 1110 
2, 102285, 102.285, 0000 0000 0000 0000 
3, 0, 0.0, 0111 1110 0111 1110 
3, 1, 0.001, 0000 0001 0000 0001 
3, 20, 0.02, 0000 0001 1000 0001 
3, 79, 0.079, 0111 1110 1111 1110 
3, 312, 0.312, 0111 1110 0111 1110 
3, 632, 0.632, 0111 1110 1111 1110 
3, 1202, 1.202, 0111 1110 0111 1110 
3, 1461, 1.461, 0111 1110 1111 1110 
3, 2119, 2.119, 0111 1110 0111 1110 
3, 2364, 2.364, 0111 1110 1111 1110 
3, 3047, 3.047, 0111 1110 0111 1110 
3, 3249, 3.249, 0111 1110 1111 1110 
3, 3821, 3.821, 0111 1110 0111 1110 
3, 4097, 4.097, 0000 0001 0000 0001 
3, 4116, 4.116, 0000 0001 1000 0001 
3, 4168, 4.168, 0111 1110 1111 1110 
3, 79239, 79.239, 0111 1110 0111 1110 
3, 79243, 79.243, 1111 1110 0111 1110 
3, 79324, 79.324, 0111 1110 1111 1110 
3, 79608, 79.608, 1111 1110 0111 1110 
3, 80295, 80.295, 0111 1110 1111 1110 
3, 80522, 80.522, 0000 0000 0000 0000 
4, 0, 0.0, 1111 1110 0111 1110 
4, 1, 0.001, 1000 0001 0000 0001 
4, 20, 0.02, 1000 0001 1000 0001 
4, 72, 0.072, 1111 1110 1111 1110 
4, 302, 0.302, 1111 1110 0111 1110 
4, 667, 0.667, 1111 1110 1111 1110 
4, 1269, 1.269, 1111 1110 0111 1110 
4, 1544, 1.544, 1111 1110 1111 1110 
4, 2205, 2.205, 1111 1110 0111 1110 
4, 2432, 2.432, 1111 1110 1111 1110 
4, 3106, 3.106, 1111 1110 0111 1110 
4, 3283, 3.283, 1111 1110 1111 1110 
4, 3779, 3.779, 1111 1110 0111 1110 
4, 4097, 4.097, 1000 0001 0000 0001 
4, 4116, 4.116, 1000 0001 1000 0001 
4, 4132, 4.132, 1111 1110 1111 1110 
4, 271896, 271.896, 1111 1110 0111 1110 
4, 271900, 271.9, 0111 1110 0111 1110 
4, 272068, 272.068, 1111 1110 1111 1110 
4, 272309, 272.309, 0111 1110 0111 1110 
4, 272972, 272.972, 1111 1110 1111 1110 
4, 273158, 273.158, 0000 0000 0000 0000 
5, 0, 0.0, 0111 1110 0111 1110 
5, 1, 0.001, 0000 0001 0000 0001 
5, 20, 0.02, 0000 0001 1000 0001 
5, 74, 0.074, 0111 1110 1111 1110 
5, 339, 0.339, 0111 1110 0111 1110 
5, 657, 0.657, 0111 1110 1111 1110 
5, 1314, 1.314, 0111 1110 0111 1110 
5, 1562, 1.562, 0111 1110 1111 1110 
5, 2301, 2.301, 0111 1110 0111 1110 
5, 2607, 2.607, 0111 1110 1111 1110 
5, 3311, 3.311, 0111 1110 0111 1110 
5, 3466, 3.466, 0111 1110 1111 1110 
5, 3983, 3.983, 0111 1110 0111 1110 
5, 4097, 4.097, 0000 0001 0000 0001 
5, 4116, 4.116, 0000 0001 1000 0001 
5, 4170, 4.17, 0111 1110 1111 1110 
5, 12330, 12.33, 0111 1110 0111 1110 
5, 12333, 12.333, 1111 1110 0111 1110 
5, 12844, 12.844, 0111 1110 1111 1110 
5, 13199, 13.199, 0000 0000 0000 0000 
6, 0, 0.0, 1111 1110 0111 1110 
6, 1, 0.001, 1000 0001 0000 0001 
6, 20, 0.02, 1000 0001 1000 0001 
6, 81, 0.081, 1111 1110 1111 1110 
6, 318, 0.318, 1111 1110 0111 1110 
6, 653, 0.653, 1111 1110 1111 1110 
6, 1304, 1.304, 1111 1110 0111 1110 
6, 1584, 1.584, 1111 1110 1111 1110 
6, 2437, 2.437, 1111 1110 0111 1110 
6, 2719, 2.719, 1111 1110 1111 1110 
6, 3605, 3.605, 1111 1110 0111 1110 
6, 3766, 3.766, 1111 1110 1111 1110 
6, 218423, 218.423, 0111 1110 0111 1110 
6, 219015, 219.015, 1111 1110 1111 1110 
6, 219244, 219.244, 0000 0000 0000 0000 
7, 0, 0.0, 0111 1110 0111 1110 
7, 1, 0.001, 0000 0001 0000 0001 
7, 60, 0.06, 0000 0001 1000 0001 
7, 63, 0.063, 0111 1110 1111 1110 
7, 290, 0.29, 0111 1110 0111 1110 
7, 593, 0.593, 0111 1110 1111 1110 
7, 1204, 1.204, 0111 1110 0111 1110 
7, 1471, 1.471, 0111 1110 1111 1110 
7, 2077, 2.077, 0111 1110 0111 1110 
7, 2295, 2.295, 0111 1110 1111 1110 
7, 2971, 2.971, 0111 1110 0111 1110 
7, 3166, 3.166, 0111 1110 1111 1110 
7, 3737, 3.737, 0111 1110 0111 1110 
7, 4086, 4.086, 0111 1110 1111 1110 
7, 16325, 16.325, 0111 1110 0111 1110 
7, 16327, 16.327, 1111 1110 0111 1110 
7, 16346, 16.346, 0111 1110 1111 1110 
7, 16731, 16.731, 1111 1110 0111 1110 
7, 17367, 17.367, 0111 1110 1111 1110 
7, 17657, 17.657, 0000 0000 0000 0000 
8, 0, 0.0, 1111 1110 0111 1110 
8, 1, 0.001, 1000 0001 0000 0001 
8, 21, 0.021, 1000 0001 1000 0001 
8, 76, 0.076, 1111 1110 1111 1110 
8, 311, 0.311, 1111 1110 0111 1110 
8, 675, 0.675, 1111 1110 1111 1110 
8, 1461, 1.461, 1111 1110 0111 1110 
8, 1862, 1.862, 1111 1110 1111 1110 
8, 2673, 2.673, 1111 1110 0111 1110 
8, 2928, 2.928, 1111 1110 1111 1110 
8, 3724, 3.724, 1111 1110 0111 1110 
8, 3974, 3.974, 1111 1110 1111 1110 
8, 63259, 63.259, 1111 1110 0111 1110 
8, 63263, 63.263, 0111 1110 0111 1110 
8, 63964, 63.964, 1111 1110 1111 1110 
8, 64206, 64.206, 0000 0000 0000 0000 
9, 0, 0.0, 0111 1110 0111 1110 
9, 1, 0.001, 0000 0001 0000 0001 
9, 21, 0.021, 0000 0001 1000 0001 
9, 178, 0.178, 0111 1110 1111 1110 
9, 811, 0.811, 0111 1110 0111 1110 
9, 1099, 1.099, 0111 1110 1111 1110 
9, 1780, 1.78, 0111 1110 0111 1110 
9, 2002, 2.002, 0111 1110 1111 1110 
9, 2768, 2.768, 0111 1110 0111 1110 
9, 2951, 2.951, 0111 1110 1111 1110 
9, 3546, 3.546, 0111 1110 0111 1110 
9, 3923, 3.923, 0111 1110 1111 1110 
9, 49375, 49.375, 0111 1110 0111 1110 
9, 49378, 49.378, 1111 1110 0111 1110 
9, 49855, 49.855, 0111 1110 1111 1110 
9, 50132, 50.132, 0000 0000 0000 0000 
10, 0, 0.0, 1111 1110 0111 1110 
10, 1, 0.001, 1000 0001 0000 0001 
10, 20, 0.02, 1000 0001 1000 0001 
10, 74, 0.074, 1111 1110 1111 1110 
10, 326, 0.326, 1111 1110 0111 1110 
10, 647, 0.647, 1111 1110 1111 1110 
10, 1247, 1.247, 1111 1110 0111 1110 
10, 1523, 1.523, 1111 1110 1111 1110 
10, 2187, 2.187, 1111 1110 0111 1110 
10, 2438, 2.438, 1111 1110 1111 1110 
10, 3136, 3.136, 1111 1110 0111 1110 
10, 3331, 3.331, 1111 1110 1111 1110 
10, 3845, 3.845, 1111 1110 0111 1110 
10, 4097, 4.097, 1000 0001 0000 0001 
10, 4116, 4.116, 1000 0001 1000 0001 
10, 4170, 4.17, 1111 1110 1111 1110 
10, 10583, 10.583, 1111 1110 0111 1110 
10, 10587, 10.587, 0111 1110 0111 1110 
10, 10888, 10.888, 1111 1110 1111 1110 
10, 11088, 11.088, 0111 1110 0111 1110 
10, 11794, 11.794, 1111 1110 1111 1110 
10, 11949, 11.949, 0000 0000 0000 0000 
11, 0, 0.0, 0111 1110 0111 1110 
11, 1, 0.001, 0000 0001 0000 0001 
11, 20, 0.02, 0000 0001 1000 0001 
11, 74, 0.074, 0111 1110 1111 1110 
11, 357, 0.357, 0111 1110 0111 1110 
11, 798, 0.798, 0111 1110 1111 1110 
11, 1377, 1.377, 0111 1110 0111 1110 
11, 1625, 1.625, 0111 1110 1111 1110 
11, 2289, 2.289, 0111 1110 0111 1110 
11, 2296, 2.296, 0111 1110 1111 1110 
11, 2309, 2.309, 0111 1110 0111 1110 
11, 2515, 2.515, 0111 1110 1111 1110 
11, 3237, 3.237, 0111 1110 0111 1110 
11, 3401, 3.401, 0111 1110 1111 1110 
11, 3986, 3.986, 0111 1110 0111 1110 
11, 4097, 4.097, 0000 0001 0000 0001 
11, 4116, 4.116, 0000 0001 1000 0001 
11, 4170, 4.17, 0111 1110 1111 1110 
11, 10441, 10.441, 1111 1110 0111 1110 
11, 11204, 11.204, 0111 1110 1111 1110 
11, 11363, 11.363, 0000 0000 0000 0000 
12, 0, 0.0, 1111 1110 0111 1110 
12, 1, 0.001, 1000 0001 0000 0001 
12, 20, 0.02, 1000 0001 1000 0001 
12, 76, 0.076, 1111 1110 1111 1110 
12, 279, 0.279, 1111 1110 0111 1110 
12, 591, 0.591, 1111 1110 1111 1110 
12, 1181, 1.181, 1111 1110 0111 1110 
12, 1453, 1.453, 1111 1110 1111 1110 
12, 2031, 2.031, 1111 1110 0111 1110 
12, 2252, 2.252, 1111 1110 1111 1110 
12, 2873, 2.873, 1111 1110 0111 1110 
12, 3047, 3.047, 1111 1110 1111 1110 
12, 3774, 3.774, 1111 1110 0111 1110 
12, 3981, 3.981, 1111 1110 1111 1110 
12, 36827, 36.827, 1111 1110 0111 1110 
12, 36831, 36.831, 0111 1110 0111 1110 
12, 37212, 37.212, 1111 1110 1111 1110 
12, 37511, 37.511, 0000 0000 0000 0000 
13, 0, 0.0, 0111 1110 0111 1110 
13, 1, 0.001, 0000 0001 0000 0001 
13, 20, 0.02, 0000 0001 1000 0001 
13, 82, 0.082, 0111 1110 1111 1110 
13, 326, 0.326, 0111 1110 0111 1110 
13, 640, 0.64, 0111 1110 1111 1110 
13, 1222, 1.222, 0111 1110 0111 1110 
13, 1567, 1.567, 0111 1110 1111 1110 
13, 2301, 2.301, 0111 1110 0111 1110 
13, 2522, 2.522, 0111 1110 1111 1110 
13, 3217, 3.217, 0111 1110 0111 1110 
13, 3398, 3.398, 0111 1110 1111 1110 
13, 3912, 3.912, 0111 1110 0111 1110 
13, 4097, 4.097, 0000 0001 0000 0001 
13, 4116, 4.116, 0000 0001 1000 0001 
13, 4178, 4.178, 0111 1110 1111 1110 
13, 100626, 100.626, 0111 1110 0111 1110 
13, 100630, 100.63, 1111 1110 0111 1110 
13, 101252, 101.252, 0111 1110 1111 1110 
13, 101444, 101.444, 0000 0000 0000 0000 
14, 0, 0.0, 1111 1110 0111 1110 
14, 1, 0.001, 1000 0001 0000 0001 
14, 20, 0.02, 1000 0001 1000 0001 
14, 65, 0.065, 1111 1110 1111 1110 
14, 293, 0.293, 1111 1110 0111 1110 
14, 589, 0.589, 1111 1110 1111 1110 
14, 1160, 1.16, 1111 1110 0111 1110 
14, 1424, 1.424, 1111 1110 1111 1110 
14, 2052, 2.052, 1111 1110 0111 1110 
14, 2273, 2.273, 1111 1110 1111 1110 
14, 2933, 2.933, 1111 1110 0111 1110 
14, 3097, 3.097, 1111 1110 1111 1110 
14, 3598, 3.598, 1111 1110 0111 1110 
14, 3912, 3.912, 1111 1110 1111 1110 
14, 60601, 60.601, 1111 1110 0111 1110 
14, 60604, 60.604, 0111 1110 0111 1110 
14, 60846, 60.846, 1111 1110 1111 1110 
14, 60990, 60.99, 0111 1110 0111 1110 
14, 61544, 61.544, 1111 1110 1111 1110 
14, 61845, 61.845, 0000 0000 0000 0000 
15, 0, 0.0, 0111 1110 0111 1110 
15, 1, 0.001, 0000 0001 0000 0001 
15, 23, 0.023, 0000 0001 1000 0001 
15, 76, 0.076, 0111 1110 1111 1110 
15, 335, 0.335, 0111 1110 0111 1110 
15, 635, 0.635, 0111 1110 1111 1110 
15, 1232, 1.232, 0111 1110 0111 1110 
15, 1499, 1.499, 0111 1110 1111 1110 
15, 2204, 2.204, 0111 1110 0111 1110 
15, 2404, 2.404, 0111 1110 1111 1110 
15, 3083, 3.083, 0111 1110 0111 1110 
15, 3244, 3.244, 0111 1110 1111 1110 
15, 3741, 3.741, 0111 1110 0111 1110 
15, 4097, 4.097, 0000 0001 0000 0001 
15, 4099, 4.099, 0111 1110 1111 1110 
15, 52914, 52.914, 0111 1110 0111 1110 
15, 52918, 52.918, 1111 1110 0111 1110 
15, 53001, 53.001, 0111 1110 1111 1110 
15, 53350, 53.35, 1111 1110 0111 1110 
15, 53958, 53.958, 0111 1110 1111 1110 
15, 54261, 54.261, 0000 0000 0000 0000 
16, 0, 0.0, 1111 1110 0111 1110 
16, 1, 0.001, 1000 0001 0000 0001 
16, 20, 0.02, 1000 0001 1000 0001 
16, 63, 0.063, 1111 1110 1111 1110 
16, 287, 0.287, 1111 1110 0111 1110 
16, 655, 0.655, 1111 1110 1111 1110 
16, 1322, 1.322, 1111 1110 0111 1110 
16, 1618, 1.618, 1111 1110 1111 1110 
16, 2500, 2.5, 1111 1110 0111 1110 
16, 2779, 2.779, 1111 1110 1111 1110 
16, 3762, 3.762, 1111 1110 0111 1110 
16, 3907, 3.907, 1111 1110 1111 1110 
16, 60340, 60.34, 0111 1110 0111 1110 
16, 61125, 61.125, 1111 1110 1111 1110 
16, 61282, 61.282, 0000 0000 0000 0000 
