Packet, Sample offset, Latency (ms), Sample
-1, 0, 0.0, 0111 1110 0111 1110 
-1, 1, 0.001, 0000 0001 0000 0001 
-1, 23, 0.023, 0000 0001 1000 0001 
-1, 64, 0.064, 0111 1110 1111 1110 
-1, 3783, 3.783, 0111 1110 0111 1110 
-1, 3848, 3.848, 0111 1110 1111 1110 
2, 0, 0.0, 0111 1110 1111 1110 
2, 1, 0.001, 0000 0001 1000 0001 
2, 20, 0.02, 0000 0001 0000 0001 
2, 126, 0.126, 0111 1110 0111 1110 
2, 719, 0.719, 0111 1110 1111 1110 
2, 1052, 1.052, 0111 1110 0111 1110 
2, 1658, 1.658, 0111 1110 1111 1110 
2, 1887, 1.887, 0111 1110 0111 1110 
2, 2528, 2.528, 0111 1110 1111 1110 
2, 2749, 2.749, 0111 1110 0111 1110 
2, 3455, 3.455, 0111 1110 1111 1110 
2, 3591, 3.591, 0111 1110 0111 1110 
2, 4130, 4.13, 0000 0001 0000 0001 
2, 4222, 4.222, 0111 1110 0111 1110 
2, 16693, 16.693, 0111 1110 1111 1110 
2, 16696, 16.696, 1111 1110 1111 1110 
2, 17203, 17.203, 0111 1110 0111 1110 
2, 17481, 17.481, 0000 0000 0000 0000 
-3, 0, 0.0, 1111 1110 1111 1110 
-3, 1, 0.001, 1000 0001 1000 0001 
-3, 20, 0.02, 1000 0001 0000 0001 
-3, 62, 0.062, 1111 1110 0111 1110 
-3, 317, 0.317, 1111 1110 1111 1110 
-3, 712, 0.712, 1111 1110 0111 1110 
-3, 1447, 1.447, 1111 1110 1111 1110 
-3, 1789, 1.789, 1111 1110 0111 1110 
-3, 2580, 2.58, 1111 1110 1111 1110 
-3, 2836, 2.836, 1111 1110 0111 1110 
-3, 3661, 3.661, 1111 1110 1111 1110 
-3, 3837, 3.837, 1111 1110 0111 1110 
4, 0, 0.0, 1111 1110 0111 1110 
4, 1, 0.001, 1000 0001 0000 0001 
4, 20, 0.02, 1000 0001 1000 0001 
4, 67, 0.067, 1111 1110 1111 1110 
4, 295, 0.295, 1111 1110 0111 1110 
4, 624, 0.624, 1111 1110 1111 1110 
4, 1234, 1.234, 1111 1110 0111 1110 
4, 1503, 1.503, 1111 1110 1111 1110 
4, 2137, 2.137, 1111 1110 0111 1110 
4, 2358, 2.358, 1111 1110 1111 1110 
4, 3019, 3.019, 1111 1110 0111 1110 
4, 3198, 3.198, 1111 1110 1111 1110 
4, 3686, 3.686, 1111 1110 0111 1110 
4, 4051, 4.051, 1111 1110 1111 1110 
4, 102176, 102.176, 0111 1110 0111 1110 
4, 102739, 102.739, 1111 1110 1111 1110 
4, 103087, 103.087, 0000 0000 0000 0000 
5, 0, 0.0, 0000 0001 0000 0001 
5, 20, 0.02, 0000 0001 1000 0001 
5, 110, 0.11, 0111 1110 1111 1110 
5, 421, 0.421, 0111 1110 0111 1110 
5, 768, 0.768, 0111 1110 1111 1110 
5, 1524, 1.524, 0111 1110 0111 1110 
5, 1785, 1.785, 0111 1110 1111 1110 
5, 2443, 2.443, 0111 1110 0111 1110 
5, 2659, 2.659, 0111 1110 1111 1110 
5, 3370, 3.37, 0111 1110 0111 1110 
5, 3553, 3.553, 0111 1110 1111 1110 
5, 4077, 4.077, 0111 1110 0111 1110 
5, 4096, 4.096, 0000 0001 0000 0001 
5, 4116, 4.116, 0000 0001 1000 0001 
5, 4206, 4.206, 0111 1110 1111 1110 
5, 95874, 95.874, 1111 1110 0111 1110 
5, 96562, 96.562, 0111 1110 1111 1110 
5, 96778, 96.778, 0000 0000 0000 0000 
-6, 0, 0.0, 1111 1110 0111 1110 
-6, 1, 0.001, 1000 0001 0000 0001 
-6, 21, 0.021, 1000 0001 1000 0001 
-6, 129, 0.129, 1111 1110 1111 1110 
-6, 512, 0.512, 1111 1110 0111 1110 
-6, 930, 0.93, 1111 1110 1111 1110 
-6, 1654, 1.654, 1111 1110 0111 1110 
-6, 1876, 1.876, 1111 1110 1111 1110 
-6, 2549, 2.549, 1111 1110 0111 1110 
-6, 2734, 2.734, 1111 1110 1111 1110 
-6, 3299, 3.299, 1111 1110 0111 1110 
-6, 3600, 3.6, 1111 1110 1111 1110 
-6, 4190, 4.19, 1000 0001 1000 0001 
-6, 4225, 4.225, 1111 1110 1111 1110 
7, 0, 0.0, 1111 1110 1111 1110 
7, 1, 0.001, 1000 0001 1000 0001 
7, 20, 0.02, 1000 0001 0000 0001 
7, 61, 0.061, 1111 1110 0111 1110 
7, 258, 0.258, 1111 1110 1111 1110 
7, 576, 0.576, 1111 1110 0111 1110 
7, 1149, 1.149, 1111 1110 1111 1110 
7, 1413, 1.413, 1111 1110 0111 1110 
7, 2087, 2.087, 1111 1110 1111 1110 
7, 2309, 2.309, 1111 1110 0111 1110 
7, 2991, 2.991, 1111 1110 1111 1110 
7, 3162, 3.162, 1111 1110 0111 1110 
7, 3801, 3.801, 1111 1110 1111 1110 
7, 3981, 3.981, 1111 1110 0111 1110 
7, 91205, 91.205, 0111 1110 1111 1110 
7, 91871, 91.871, 1111 1110 0111 1110 
7, 92112, 92.112, 0000 0000 0000 0000 
8, 0, 0.0, 0111 1110 1111 1110 
8, 1, 0.001, 0000 0001 1000 0001 
8, 20, 0.02, 0000 0001 0000 0001 
8, 64, 0.064, 0111 1110 0111 1110 
8, 283, 0.283, 0111 1110 1111 1110 
8, 602, 0.602, 0111 1110 0111 1110 
8, 1183, 1.183, 0111 1110 1111 1110 
8, 1439, 1.439, 0111 1110 0111 1110 
8, 2050, 2.05, 0111 1110 1111 1110 
8, 2268, 2.268, 0111 1110 0111 1110 
8, 2892, 2.892, 0111 1110 1111 1110 
8, 3063, 3.063, 0111 1110 0111 1110 
8, 3702, 3.702, 0111 1110 1111 1110 
8, 3909, 3.909, 0111 1110 0111 1110 
8, 80343, 80.343, 0111 1110 1111 1110 
8, 80347, 80.347, 1111 1110 1111 1110 
8, 80402, 80.402, 0111 1110 0111 1110 
8, 80602, 80.602, 1111 1110 1111 1110 
8, 81345, 81.345, 0111 1110 0111 1110 
8, 81492, 81.492, 0000 0000 0000 0000 
-9, 0, 0.0, 1111 1110 1111 1110 
-9, 1, 0.001, 1000 0001 1000 0001 
-9, 20, 0.02, 1000 0001 0000 0001 
-9, 157, 0.157, 1111 1110 0111 1110 
-9, 447, 0.447, 1111 1110 1111 1110 
-9, 762, 0.762, 1111 1110 0111 1110 
-9, 1405, 1.405, 1111 1110 1111 1110 
-9, 1679, 1.679, 1111 1110 0111 1110 
-9, 2392, 2.392, 1111 1110 1111 1110 
-9, 2614, 2.614, 1111 1110 0111 1110 
-9, 3335, 3.335, 1111 1110 1111 1110 
-9, 3531, 3.531, 1111 1110 0111 1110 
-9, 4087, 4.087, 1111 1110 1111 1110 
-9, 4097, 4.097, 1000 0001 1000 0001 
-9, 4099, 4.099, 1111 1110 0111 1110 
-9, 4106, 4.106, 1000 0001 1000 0001 
-9, 4116, 4.116, 1000 0001 0000 0001 
-9, 4253, 4.253, 1111 1110 0111 1110 
10, 0, 0.0, 1111 1110 0111 1110 
10, 1, 0.001, 1000 0001 0000 0001 
10, 20, 0.02, 1000 0001 1000 0001 
10, 63, 0.063, 1111 1110 1111 1110 
10, 284, 0.284, 1111 1110 0111 1110 
10, 599, 0.599, 1111 1110 1111 1110 
10, 1171, 1.171, 1111 1110 0111 1110 
10, 1448, 1.448, 1111 1110 1111 1110 
10, 2063, 2.063, 1111 1110 0111 1110 
10, 2283, 2.283, 1111 1110 1111 1110 
10, 2916, 2.916, 1111 1110 0111 1110 
10, 3089, 3.089, 1111 1110 1111 1110 
10, 3784, 3.784, 1111 1110 0111 1110 
10, 3934, 3.934, 1111 1110 1111 1110 
10, 23704, 23.704, 1111 1110 0111 1110 
10, 23707, 23.707, 0111 1110 0111 1110 
10, 23813, 23.813, 1111 1110 1111 1110 
10, 23992, 23.992, 0111 1110 0111 1110 
10, 24469, 24.469, 1111 1110 1111 1110 
10, 24816, 24.816, 0000 0000 0000 0000 
-11, 0, 0.0, 0111 1110 0111 1110 
-11, 1, 0.001, 0000 0001 0000 0001 
-11, 20, 0.02, 0000 0001 1000 0001 
-11, 73, 0.073, 0111 1110 1111 1110 
-11, 308, 0.308, 0111 1110 0111 1110 
-11, 640, 0.64, 0111 1110 1111 1110 
-11, 1251, 1.251, 0111 1110 0111 1110 
-11, 1535, 1.535, 0111 1110 1111 1110 
-11, 2164, 2.164, 0111 1110 0111 1110 
-11, 2420, 2.42, 0111 1110 1111 1110 
-11, 3112, 3.112, 0111 1110 0111 1110 
-11, 3294, 3.294, 0111 1110 1111 1110 
-11, 3825, 3.825, 0111 1110 0111 1110 
-11, 4097, 4.097, 0000 0001 0000 0001 
-11, 4116, 4.116, 0000 0001 1000 0001 
-11, 4165, 4.165, 0111 1110 1111 1110 
12, 0, 0.0, 0111 1110 1111 1110 
12, 1, 0.001, 0000 0001 1000 0001 
12, 20, 0.02, 0000 0001 0000 0001 
12, 160, 0.16, 0111 1110 0111 1110 
12, 606, 0.606, 0111 1110 1111 1110 
12, 934, 0.934, 0111 1110 0111 1110 
12, 1703, 1.703, 0111 1110 1111 1110 
12, 1949, 1.949, 0111 1110 0111 1110 
12, 2643, 2.643, 0111 1110 1111 1110 
12, 2853, 2.853, 0111 1110 0111 1110 
12, 3594, 3.594, 0111 1110 1111 1110 
12, 3757, 3.757, 0111 1110 0111 1110 
12, 36096, 36.096, 1111 1110 1111 1110 
12, 36567, 36.567, 0111 1110 0111 1110 
12, 36899, 36.899, 0000 0000 0000 0000 
13, 0, 0.0, 1111 1110 1111 1110 
13, 1, 0.001, 1000 0001 1000 0001 
13, 21, 0.021, 1000 0001 0000 0001 
13, 72, 0.072, 1111 1110 0111 1110 
13, 316, 0.316, 1111 1110 1111 1110 
13, 635, 0.635, 1111 1110 0111 1110 
13, 1255, 1.255, 1111 1110 1111 1110 
13, 1521, 1.521, 1111 1110 0111 1110 
13, 2158, 2.158, 1111 1110 1111 1110 
13, 2387, 2.387, 1111 1110 0111 1110 
13, 3064, 3.064, 1111 1110 1111 1110 
13, 3244, 3.244, 1111 1110 0111 1110 
13, 3740, 3.74, 1111 1110 1111 1110 
13, 4085, 4.085, 1111 1110 0111 1110 
13, 69309, 69.309, 1111 1110 1111 1110 
13, 69313, 69.313, 0111 1110 1111 1110 
13, 69758, 69.758, 1111 1110 0111 1110 
13, 70108, 70.108, 0000 0000 0000 0000 
14, 0, 0.0, 0111 1110 1111 1110 
14, 1, 0.001, 0000 0001 1000 0001 
14, 20, 0.02, 0000 0001 0000 0001 
14, 78, 0.078, 0111 1110 0111 1110 
14, 312, 0.312, 0111 1110 1111 1110 
14, 647, 0.647, 0111 1110 0111 1110 
14, 1259, 1.259, 0111 1110 1111 1110 
14, 1545, 1.545, 0111 1110 0111 1110 
14, 2191, 2.191, 0111 1110 1111 1110 
14, 2434, 2.434, 0111 1110 0111 1110 
14, 3168, 3.168, 0111 1110 1111 1110 
14, 3355, 3.355, 0111 1110 0111 1110 
14, 3876, 3.876, 0111 1110 1111 1110 
14, 4097, 4.097, 0000 0001 1000 0001 
14, 4116, 4.116, 0000 0001 0000 0001 
14, 4174, 4.174, 0111 1110 0111 1110 
14, 113224, 113.224, 1111 1110 1111 1110 
14, 113971, 113.971, 0111 1110 0111 1110 
14, 114134, 114.134, 0000 0000 0000 0000 
-15, 0, 0.0, 1111 1110 1111 1110 
-15, 1, 0.001, 1000 0001 1000 0001 
-15, 20, 0.02, 1000 0001 0000 0001 
-15, 77, 0.077, 1111 1110 0111 1110 
-15, 305, 0.305, 1111 1110 1111 1110 
-15, 644, 0.644, 1111 1110 0111 1110 
-15, 1248, 1.248, 1111 1110 1111 1110 
-15, 1519, 1.519, 1111 1110 0111 1110 
-15, 2153, 2.153, 1111 1110 1111 1110 
-15, 2380, 2.38, 1111 1110 0111 1110 
-15, 3071, 3.071, 1111 1110 1111 1110 
-15, 3258, 3.258, 1111 1110 0111 1110 
-15, 3768, 3.768, 1111 1110 1111 1110 
-15, 4097, 4.097, 1000 0001 1000 0001 
-15, 4116, 4.116, 1000 0001 0000 0001 
-15, 4131, 4.131, 1111 1110 0111 1110 
16, 0, 0.0, 1000 0000 0000 0001 
16, 1, 0.001, 1000 0001 0000 0001 
16, 20, 0.02, 1000 0001 1000 0001 
16, 105, 0.105, 1111 1110 1111 1110 
16, 383, 0.383, 1111 1110 0111 1110 
16, 683, 0.683, 1111 1110 1111 1110 
16, 1265, 1.265, 1111 1110 0111 1110 
16, 1534, 1.534, 1111 1110 1111 1110 
16, 2163, 2.163, 1111 1110 0111 1110 
16, 2408, 2.408, 1111 1110 1111 1110 
16, 3144, 3.144, 1111 1110 0111 1110 
16, 3311, 3.311, 1111 1110 1111 1110 
16, 3879, 3.879, 1111 1110 0111 1110 
16, 4096, 4.096, 1000 0000 0000 0001 
16, 4097, 4.097, 1000 0001 0000 0001 
16, 4116, 4.116, 1000 0001 1000 0001 
16, 4201, 4.201, 1111 1110 1111 1110 
16, 29645, 29.645, 0111 1110 0111 1110 
16, 30293, 30.293, 1111 1110 1111 1110 
16, 30532, 30.532, 0000 0000 0000 0000 
17, 0, 0.0, 0111 1110 0111 1110 
17, 1, 0.001, 0000 0001 0000 0001 
17, 20, 0.02, 0000 0001 1000 0001 
17, 61, 0.061, 0111 1110 1111 1110 
17, 290, 0.29, 0111 1110 0111 1110 
17, 586, 0.586, 0111 1110 1111 1110 
17, 1161, 1.161, 0111 1110 0111 1110 
17, 1417, 1.417, 0111 1110 1111 1110 
17, 2009, 2.009, 0111 1110 0111 1110 
17, 2228, 2.228, 0111 1110 1111 1110 
17, 2879, 2.879, 0111 1110 0111 1110 
17, 3042, 3.042, 0111 1110 1111 1110 
17, 3601, 3.601, 0111 1110 0111 1110 
17, 3885, 3.885, 0111 1110 1111 1110 
17, 92726, 92.726, 1111 1110 0111 1110 
17, 93410, 93.41, 0111 1110 1111 1110 
17, 93577, 93.577, 0000 0000 0000 0000 
-18, 0, 0.0, 1000 0001 0000 0001 
-18, 20, 0.02, 1000 0001 1000 0001 
-18, 63, 0.063, 1111 1110 1111 1110 
-18, 290, 0.29, 1111 1110 0111 1110 
-18, 597, 0.597, 1111 1110 1111 1110 
-18, 1177, 1.177, 1111 1110 0111 1110 
-18, 1470, 1.47, 1111 1110 1111 1110 
-18, 2095, 2.095, 1111 1110 0111 1110 
-18, 2324, 2.324, 1111 1110 1111 1110 
-18, 2935, 2.935, 1111 1110 0111 1110 
-18, 3124, 3.124, 1111 1110 1111 1110 
-18, 3784, 3.784, 1111 1110 0111 1110 
-18, 3946, 3.946, 1111 1110 1111 1110 
19, 0, 0.0, 1000 0001 1000 0001 
