Packet, Sample offset, Latency (ms), Sample
1, 0, 0.0, 1111 1110 1111 1110 
1, 1, 0.001, 1000 0001 1000 0001 
1, 20, 0.02, 1000 0001 0000 0001 
1, 73, 0.073, 1111 1110 0111 1110 
1, 347, 0.347, 0111 1110 1111 1110 
1, 684, 0.684, 1111 1110 0111 1110 
1, 1286, 1.286, 0111 1110 1111 1110 
1, 1554, 1.554, 1111 1110 0111 1110 
1, 2173, 2.173, 0111 1110 1111 1110 
1, 2180, 2.18, 1111 1110 0111 1110 
1, 2184, 2.184, 0111 1110 1111 1110 
1, 2427, 2.427, 1111 1110 0111 1110 
1, 3149, 3.149, 0111 1110 1111 1110 
1, 3331, 3.331, 1111 1110 0111 1110 
1, 3805, 3.805, 1111 1110 1111 1110 
1, 4097, 4.097, 1000 0001 1000 0001 
1, 4116, 4.116, 1000 0001 0000 0001 
1, 4147, 4.147, 1111 1110 0111 1110 
1, 69611, 69.611, 1111 1110 1111 1110 
1, 69614, 69.614, 0111 1110 1111 1110 
1, 69810, 69.81, 1111 1110 0111 1110 
1, 70138, 70.138, 0111 1110 1111 1110 
1, 70775, 70.775, 1111 1110 0111 1110 
1, 71083, 71.083, 0000 0000 0000 0000 
2, 0, 0.0, 0000 0001 1000 0001 
2, 36, 0.036, 0000 0001 0000 0001 
2, 64, 0.064, 0111 1110 0111 1110 
2, 274, 0.274, 0111 1110 1111 1110 
2, 590, 0.59, 0111 1110 0111 1110 
2, 1200, 1.2, 0111 1110 1111 1110 
2, 1494, 1.494, 0111 1110 0111 1110 
2, 2084, 2.084, 0111 1110 1111 1110 
2, 2300, 2.3, 0111 1110 0111 1110 
2, 2930, 2.93, 0111 1110 1111 1110 
2, 3111, 3.111, 0111 1110 0111 1110 
2, 3786, 3.786, 0111 1110 1111 1110 
2, 3975, 3.975, 0111 1110 0111 1110 
2, 64889, 64.889, 0111 1110 1111 1110 
2, 64892, 64.892, 1111 1110 1111 1110 
2, 65296, 65.296, 0111 1110 0111 1110 
2, 65652, 65.652, 0000 0000 0000 0000 
3, 0, 0.0, 1111 1110 1111 1110 
3, 1, 0.001, 1000 0001 1000 0001 
3, 20, 0.02, 1000 0001 0000 0001 
3, 108, 0.108, 1111 1110 0111 1110 
3, 454, 0.454, 1111 1110 1111 1110 
3, 867, 0.867, 1111 1110 0111 1110 
3, 1836, 1.836, 1111 1110 1111 1110 
3, 2100, 2.1, 1111 1110 0111 1110 
3, 2920, 2.92, 1111 1110 1111 1110 
3, 3127, 3.127, 1111 1110 0111 1110 
3, 3718, 3.718, 1111 1110 1111 1110 
3, 4097, 4.097, 1000 0001 1000 0001 
3, 4116, 4.116, 1000 0001 0000 0001 
3, 4125, 4.125, 1111 1110 0111 1110 
3, 57046, 57.046, 0111 1110 1111 1110 
3, 57556, 57.556, 1111 1110 0111 1110 
