missed packet number, sample offset, latency (ms), sample
-5, 0, 0.0, 0111 1110 1111 1110
-5, 1, 0.001, 0000 0001 1000 0001
-5, 20, 0.02, 0000 0001 0000 0001
-5, 70, 0.07, 0111 1110 0111 1110
-5, 331, 0.331, 0111 1110 1111 1110
-5, 636, 0.636, 0111 1110 0111 1110
-5, 1251, 1.251, 0111 1110 1111 1110
-5, 1514, 1.514, 0111 1110 0111 1110
-5, 2155, 2.155, 0111 1110 1111 1110
-5, 2376, 2.376, 0111 1110 0111 1110
-5, 3021, 3.021, 0111 1110 1111 1110
-5, 3223, 3.223, 0111 1110 0111 1110
-5, 3799, 3.799, 0111 1110 1111 1110
-5, 4097, 4.097, 0000 0001 1000 0001
-5, 4116, 4.116, 0000 0001 0000 0001
-5, 4135, 4.135, 0111 1110 0111 1110
-36, 0, 0.0, 0111 1110 0111 1110
-36, 1, 0.001, 0000 0001 0000 0001
-36, 20, 0.02, 0000 0001 1000 0001
-36, 61, 0.061, 0111 1110 1111 1110
-36, 275, 0.275, 0111 1110 0111 1110
-36, 579, 0.579, 0111 1110 1111 1110
-36, 1147, 1.147, 0111 1110 0111 1110
-36, 1399, 1.399, 0111 1110 1111 1110
-36, 1990, 1.99, 0111 1110 0111 1110
-36, 2214, 2.214, 0111 1110 1111 1110
-36, 2835, 2.835, 0111 1110 0111 1110
-36, 3014, 3.014, 0111 1110 1111 1110
-36, 3645, 3.645, 0111 1110 0111 1110
-36, 3799, 3.799, 0111 1110 1111 1110
-39, 0, 0.0, 0111 1110 1111 1110
-39, 1, 0.001, 0000 0001 1000 0001
-39, 20, 0.02, 0000 0001 0000 0001
-39, 115, 0.115, 0111 1110 0111 1110
-39, 499, 0.499, 0111 1110 1111 1110
-39, 501, 0.501, 0111 1110 0111 1110
-39, 502, 0.502, 0111 1110 1111 1110
-39, 812, 0.812, 0111 1110 0111 1110
-39, 1530, 1.53, 0111 1110 1111 1110
-39, 1750, 1.75, 0111 1110 0111 1110
-39, 2371, 2.371, 0111 1110 1111 1110
-39, 2552, 2.552, 0111 1110 0111 1110
-39, 3214, 3.214, 0111 1110 1111 1110
-39, 3349, 3.349, 0111 1110 0111 1110
-39, 3855, 3.855, 0111 1110 1111 1110
-39, 4097, 4.097, 0000 0001 1000 0001
-39, 4116, 4.116, 0000 0001 0000 0001
-39, 4157, 4.157, 0111 1110 0111 1110
-40, 0, 0.0, 0111 1110 0111 1110
-40, 1, 0.001, 0000 0001 0000 0001
-40, 20, 0.02, 0000 0001 1000 0001
-40, 131, 0.131, 0111 1110 1111 1110
-40, 485, 0.485, 0111 1110 0111 1110
-40, 824, 0.824, 0111 1110 1111 1110
-40, 1558, 1.558, 0111 1110 0111 1110
-40, 1812, 1.812, 0111 1110 1111 1110
-40, 2476, 2.476, 0111 1110 0111 1110
-40, 2674, 2.674, 0111 1110 1111 1110
-40, 3405, 3.405, 0111 1110 0111 1110
-40, 3559, 3.559, 0111 1110 1111 1110
-40, 4133, 4.133, 0000 0001 1000 0001
-40, 4227, 4.227, 0111 1110 1111 1110
-42, 0, 0.0, 1111 1110 1111 1110
-42, 1, 0.001, 1000 0001 1000 0001
-42, 20, 0.02, 1000 0001 0000 0001
-42, 64, 0.064, 1111 1110 0111 1110
-42, 270, 0.27, 1111 1110 1111 1110
-42, 585, 0.585, 1111 1110 0111 1110
-42, 1134, 1.134, 1111 1110 1111 1110
-42, 1395, 1.395, 1111 1110 0111 1110
-42, 2027, 2.027, 1111 1110 1111 1110
-42, 2260, 2.26, 1111 1110 0111 1110
-42, 2917, 2.917, 1111 1110 1111 1110
-42, 3116, 3.116, 1111 1110 0111 1110
-42, 3713, 3.713, 1111 1110 1111 1110
-42, 3955, 3.955, 1111 1110 0111 1110
-59, 0, 0.0, 1111 1110 0111 1110
-59, 1, 0.001, 1000 0001 0000 0001
-59, 20, 0.02, 1000 0001 1000 0001
-59, 64, 0.064, 1111 1110 1111 1110
-59, 268, 0.268, 1111 1110 0111 1110
-59, 590, 0.59, 1111 1110 1111 1110
-59, 1161, 1.161, 1111 1110 0111 1110
-59, 1435, 1.435, 1111 1110 1111 1110
-59, 2046, 2.046, 1111 1110 0111 1110
-59, 2274, 2.274, 1111 1110 1111 1110
-59, 2925, 2.925, 1111 1110 0111 1110
-59, 3116, 3.116, 1111 1110 1111 1110
-59, 3788, 3.788, 1111 1110 0111 1110
-59, 3929, 3.929, 1111 1110 1111 1110
-62, 0, 0.0, 1111 1110 1111 1110
-62, 1, 0.001, 1000 0001 1000 0001
-62, 20, 0.02, 1000 0001 0000 0001
-62, 71, 0.071, 1111 1110 0111 1110
-62, 305, 0.305, 1111 1110 1111 1110
-62, 610, 0.61, 1111 1110 0111 1110
-62, 1195, 1.195, 1111 1110 1111 1110
-62, 1453, 1.453, 1111 1110 0111 1110
-62, 2047, 2.047, 1111 1110 1111 1110
-62, 2255, 2.255, 1111 1110 0111 1110
-62, 2926, 2.926, 1111 1110 1111 1110
-62, 3106, 3.106, 1111 1110 0111 1110
-62, 3572, 3.572, 1111 1110 1111 1110
-62, 3905, 3.905, 1111 1110 0111 1110
-64, 0, 0.0, 0111 1110 0111 1110
-64, 1, 0.001, 0000 0001 0000 0001
-64, 20, 0.02, 0000 0001 1000 0001
-64, 73, 0.073, 0111 1110 1111 1110
-64, 378, 0.378, 0111 1110 0111 1110
-64, 696, 0.696, 0111 1110 1111 1110
-64, 1330, 1.33, 0111 1110 0111 1110
-64, 1572, 1.572, 0111 1110 1111 1110
-64, 2171, 2.171, 0111 1110 0111 1110
-64, 2370, 2.37, 0111 1110 1111 1110
-64, 3007, 3.007, 0111 1110 0111 1110
-64, 3171, 3.171, 0111 1110 1111 1110
-64, 3734, 3.734, 0111 1110 0111 1110
-64, 4082, 4.082, 0111 1110 1111 1110
-68, 0, 0.0, 1111 1110 1111 1110
-68, 1, 0.001, 1000 0001 1000 0001
-68, 21, 0.021, 1000 0001 0000 0001
-68, 91, 0.091, 1111 1110 0111 1110
-68, 375, 0.375, 1111 1110 1111 1110
-68, 719, 0.719, 1111 1110 0111 1110
-68, 1298, 1.298, 1111 1110 1111 1110
-68, 1557, 1.557, 1111 1110 0111 1110
-68, 2148, 2.148, 1111 1110 1111 1110
-68, 2354, 2.354, 1111 1110 0111 1110
-68, 2979, 2.979, 1111 1110 1111 1110
-68, 3139, 3.139, 1111 1110 0111 1110
-68, 3644, 3.644, 1111 1110 1111 1110
-68, 3947, 3.947, 1111 1110 0111 1110
-83, 0, 0.0, 1000 0000 0000 0001
-83, 1, 0.001, 1000 0001 0000 0001
-83, 20, 0.02, 1000 0001 1000 0001
-83, 85, 0.085, 1111 1110 1111 1110
-83, 341, 0.341, 1111 1110 0111 1110
-83, 632, 0.632, 1111 1110 1111 1110
-83, 1184, 1.184, 1111 1110 0111 1110
-83, 1436, 1.436, 1111 1110 1111 1110
-83, 2019, 2.019, 1111 1110 0111 1110
-83, 2234, 2.234, 1111 1110 1111 1110
-83, 2866, 2.866, 1111 1110 0111 1110
-83, 3050, 3.05, 1111 1110 1111 1110
-83, 3618, 3.618, 1111 1110 0111 1110
-83, 3892, 3.892, 1111 1110 1111 1110
-86, 0, 0.0, 1111 1110 1111 1110
-86, 1, 0.001, 1000 0001 1000 0001
-86, 20, 0.02, 1000 0001 0000 0001
-86, 75, 0.075, 1111 1110 0111 1110
-86, 296, 0.296, 1111 1110 1111 1110
-86, 610, 0.61, 1111 1110 0111 1110
-86, 1252, 1.252, 1111 1110 1111 1110
-86, 1520, 1.52, 1111 1110 0111 1110
-86, 2142, 2.142, 1111 1110 1111 1110
-86, 2357, 2.357, 1111 1110 0111 1110
