Packet, Sample offset, Latency (ms), Sample
1, 0, 0.0, 0111 1110 1111 1110 
1, 1, 0.001, 0000 0001 1000 0001 
1, 20, 0.02, 0000 0001 0000 0001 
1, 64, 0.064, 0111 1110 0111 1110 
1, 266, 0.266, 1111 1110 0111 1110 
1, 586, 0.586, 0111 1110 0111 1110 
1, 1190, 1.19, 1111 1110 0111 1110 
1, 1468, 1.468, 0111 1110 0111 1110 
1, 2072, 2.072, 1111 1110 0111 1110 
1, 2293, 2.293, 0111 1110 0111 1110 
1, 2915, 2.915, 1111 1110 0111 1110 
1, 3087, 3.087, 0111 1110 0111 1110 
1, 3748, 3.748, 1111 1110 0111 1110 
1, 3778, 3.778, 0111 1110 1111 1110 
1, 3897, 3.897, 0111 1110 0111 1110 
1, 68840, 68.84, 1111 1110 1111 1110 
1, 69328, 69.328, 0111 1110 0111 1110 
1, 69665, 69.665, 0000 0000 0000 0000 
2, 0, 0.0, 1111 1110 1111 1110 
2, 1, 0.001, 1000 0001 1000 0001 
2, 20, 0.02, 1000 0001 0000 0001 
2, 61, 0.061, 1111 1110 0111 1110 
2, 257, 0.257, 1111 1110 1111 1110 
2, 568, 0.568, 1111 1110 0111 1110 
2, 1132, 1.132, 1111 1110 1111 1110 
2, 1397, 1.397, 1111 1110 0111 1110 
2, 2065, 2.065, 1111 1110 1111 1110 
2, 2292, 2.292, 1111 1110 0111 1110 
2, 2931, 2.931, 1111 1110 1111 1110 
2, 3125, 3.125, 1111 1110 0111 1110 
2, 3798, 3.798, 1111 1110 1111 1110 
2, 3953, 3.953, 1111 1110 0111 1110 
2, 67985, 67.985, 1111 1110 1111 1110 
2, 67989, 67.989, 0111 1110 1111 1110 
2, 68509, 68.509, 1111 1110 0111 1110 
2, 68730, 68.73, 0000 0000 0000 0000 
3, 0, 0.0, 0111 1110 1111 1110 
3, 1, 0.001, 0000 0001 1000 0001 
3, 20, 0.02, 0000 0001 0000 0001 
3, 64, 0.064, 0111 1110 0111 1110 
3, 278, 0.278, 0111 1110 1111 1110 
3, 594, 0.594, 0111 1110 0111 1110 
3, 1190, 1.19, 0111 1110 1111 1110 
3, 1559, 1.559, 0111 1110 0111 1110 
3, 2226, 2.226, 0111 1110 1111 1110 
3, 2434, 2.434, 0111 1110 0111 1110 
3, 3087, 3.087, 0111 1110 1111 1110 
3, 3263, 3.263, 0111 1110 0111 1110 
3, 3742, 3.742, 0111 1110 1111 1110 
3, 4097, 4.097, 0000 0001 1000 0001 
3, 4098, 4.098, 0111 1110 0111 1110 
3, 73031, 73.031, 1111 1110 1111 1110 
3, 73524, 73.524, 0111 1110 0111 1110 
3, 73871, 73.871, 0000 0000 0000 0000 
4, 0, 0.0, 1111 1110 1111 1110 
4, 1, 0.001, 1000 0001 1000 0001 
4, 20, 0.02, 1000 0001 0000 0001 
4, 68, 0.068, 1111 1110 0111 1110 
4, 273, 0.273, 1111 1110 1111 1110 
4, 587, 0.587, 1111 1110 0111 1110 
4, 1145, 1.145, 1111 1110 1111 1110 
4, 1415, 1.415, 1111 1110 0111 1110 
4, 2011, 2.011, 1111 1110 1111 1110 
4, 2231, 2.231, 1111 1110 0111 1110 
4, 2854, 2.854, 1111 1110 1111 1110 
4, 3034, 3.034, 1111 1110 0111 1110 
4, 3688, 3.688, 1111 1110 1111 1110 
4, 3832, 3.832, 1111 1110 0111 1110 
4, 79541, 79.541, 1111 1110 1111 1110 
4, 79545, 79.545, 0111 1110 1111 1110 
4, 79719, 79.719, 1111 1110 0111 1110 
4, 79960, 79.96, 0111 1110 1111 1110 
4, 80686, 80.686, 1111 1110 0111 1110 
4, 80882, 80.882, 0000 0000 0000 0000 
-5, 0, 0.0, 0111 1110 1111 1110 
-5, 1, 0.001, 0000 0001 1000 0001 
-5, 20, 0.02, 0000 0001 0000 0001 
