Packet, Sample offset, Latency (ms), Sample, ack_missed=1
1, 0, 0.0, 1111 1110 0111 1110 , 0
1, 1, 0.001, 1000 0001 0000 0001 , 0
1, 19, 0.019, 1000 0001 1000 0001 , 0
1, 139, 0.139, 1111 1110 1111 1110 , 0
1, 462, 0.462, 0000 0000 0000 0000 , 0
1, 785, 0.785, 1111 1110 1111 1110 , 0
1, 1503, 1.503, 0000 0000 0000 0000 , 0
1, 1781, 1.781, 1111 1110 1111 1110 , 0
1, 2558, 2.558, 0000 0000 0000 0000 , 0
1, 2798, 2.798, 1111 1110 1111 1110 , 0
1, 3626, 3.626, 1111 1110 0111 1110 , 0
1, 3842, 3.842, 1111 1110 1111 1110 , 0
1, 24450, 24.45, 1111 1110 0111 1110 , 0
1, 24597, 24.597, 1111 1110 1111 1110 , 0
1, 24947, 24.947, 0111 1110 0111 1110 , 0
1, 25720, 25.72, 1111 1110 1111 1110 , 0
1, 26051, 26.051, 0000 0000 0000 0000 , 0
2, 0, 0.0, 0111 1110 0111 1110 , 0
2, 1, 0.001, 0000 0001 0000 0001 , 0
2, 19, 0.019, 0000 0001 1000 0001 , 0
2, 149, 0.149, 0111 1110 1111 1110 , 0
2, 628, 0.628, 0111 1110 0111 1110 , 0
2, 1073, 1.073, 0111 1110 1111 1110 , 0
2, 2067, 2.067, 1111 1110 1111 1110 , 0
2, 2496, 2.496, 0111 1110 1111 1110 , 0
2, 3386, 3.386, 1111 1110 1111 1110 , 0
2, 3519, 3.519, 0111 1110 0111 1110 , 0
2, 3606, 3.606, 0111 1110 1111 1110 , 0
2, 53592, 53.592, 0111 1110 0111 1110 , 0
2, 53756, 53.756, 1111 1110 0111 1110 , 0
2, 54302, 54.302, 0111 1110 1111 1110 , 0
2, 54558, 54.558, 0000 0000 0000 0000 , 0
3, 0, 0.0, 1111 1110 0111 1110 , 0
3, 1, 0.001, 1000 0001 0000 0001 , 0
3, 107, 0.107, 1000 0001 1000 0001 , 0
3, 1506, 1.506, 1111 1110 1111 1110 , 0
3, 3267, 3.267, 1111 1110 0111 1110 , 0
3, 3697, 3.697, 1111 1110 1111 1110 , 0
3, 4688, 4.688, 1000 0001 1000 0001 , 0
3, 5098, 5.098, 1111 1110 1111 1110 , 0
3, 34872, 34.872, 1111 1110 0111 1110 , 0
3, 34988, 34.988, 1111 1110 1111 1110 , 0
3, 35200, 35.2, 0111 1110 0111 1110 , 0
3, 35986, 35.986, 1111 1110 1111 1110 , 0
3, 36176, 36.176, 0000 0000 0000 0000 , 0
4, 0, 0.0, 0111 1110 0111 1110 , 1
4, 1, 0.001, 0000 0001 0000 0001 , 1
4, 20, 0.02, 0000 0001 1000 0001 , 1
4, 323, 0.323, 0111 1110 1111 1110 , 1
4, 1051, 1.051, 1111 1110 1111 1110 , 1
4, 1538, 1.538, 0111 1110 1111 1110 , 1
4, 2861, 2.861, 0111 1110 0111 1110 , 1
4, 3191, 3.191, 0111 1110 1111 1110 , 1
4, 33586, 33.586, 0111 1110 0111 1110 , 1
4, 33874, 33.874, 0111 1110 1111 1110 , 1
4, 34118, 34.118, 0111 1110 0111 1110 , 1
4, 34907, 34.907, 0111 1110 1111 1110 , 1
4, 35111, 35.111, 0111 1110 0111 1110 , 1
4, 35811, 35.811, 0111 1110 1111 1110 , 1
4, 36163, 36.163, 0111 1110 0111 1110 , 1
4, 36900, 36.9, 0111 1110 1111 1110 , 1
4, 37176, 37.176, 0111 1110 0111 1110 , 1
4, 42393, 42.393, 1111 1110 1111 1110 , 1
4, 43162, 43.162, 0111 1110 0111 1110 , 1
4, 43354, 43.354, 0000 0000 0000 0000 , 1
5, 0, 0.0, 1000 0001 1000 0001 , 0
5, 19, 0.019, 1000 0001 0000 0001 , 0
5, 171, 0.171, 1111 1110 0111 1110 , 0
5, 556, 0.556, 0111 1110 0111 1110 , 0
5, 891, 0.891, 1111 1110 0111 1110 , 0
5, 1682, 1.682, 0111 1110 0111 1110 , 0
5, 1825, 1.825, 0111 1110 1111 1110 , 0
5, 1977, 1.977, 1111 1110 0111 1110 , 0
5, 3073, 3.073, 1111 1110 1111 1110 , 0
5, 3176, 3.176, 0111 1110 0111 1110 , 0
5, 3289, 3.289, 1111 1110 0111 1110 , 0
5, 3984, 3.984, 1111 1110 1111 1110 , 0
5, 4096, 4.096, 1000 0001 1000 0001 , 0
5, 4115, 4.115, 1000 0001 0000 0001 , 0
5, 4267, 4.267, 1111 1110 0111 1110 , 0
5, 9962, 9.962, 0000 0000 0000 0000 , 0
5, 14058, 14.058, 1111 1110 0111 1110 , 0
5, 71684, 71.684, 1111 1110 1111 1110 , 0
5, 71887, 71.887, 0111 1110 1111 1110 , 0
5, 72046, 72.046, 1111 1110 0111 1110 , 0
5, 72272, 72.272, 0111 1110 1111 1110 , 0
5, 73130, 73.13, 1111 1110 0111 1110 , 0
5, 73303, 73.303, 0000 0000 0000 0000 , 0
6, 0, 0.0, 0111 1110 1111 1110 , 0
6, 1, 0.001, 0000 0001 1000 0001 , 0
6, 20, 0.02, 0000 0001 0000 0001 , 0
6, 155, 0.155, 0111 1110 0111 1110 , 0
6, 535, 0.535, 1111 1110 0111 1110 , 0
6, 868, 0.868, 0111 1110 0111 1110 , 0
6, 1662, 1.662, 1111 1110 0111 1110 , 0
6, 1920, 1.92, 0111 1110 0111 1110 , 0
6, 2740, 2.74, 0111 1110 1111 1110 , 0
6, 2952, 2.952, 0111 1110 0111 1110 , 0
6, 3658, 3.658, 0111 1110 1111 1110 , 0
6, 4034, 4.034, 0111 1110 0111 1110 , 0
6, 9114, 9.114, 0000 0000 0000 0000 , 0
6, 13210, 13.21, 0111 1110 0111 1110 , 0
6, 63752, 63.752, 0111 1110 1111 1110 , 0
6, 63780, 63.78, 0111 1110 0111 1110 , 0
6, 64009, 64.009, 1111 1110 1111 1110 , 0
6, 64853, 64.853, 0111 1110 0111 1110 , 0
6, 65028, 65.028, 0000 0000 0000 0000 , 0
7, 0, 0.0, 1111 1110 1111 1110 , 0
7, 1, 0.001, 1000 0001 1000 0001 , 0
7, 20, 0.02, 1000 0001 0000 0001 , 0
7, 113, 0.113, 1111 1110 0111 1110 , 0
7, 440, 0.44, 0111 1110 0111 1110 , 0
7, 749, 0.749, 1111 1110 0111 1110 , 0
7, 1510, 1.51, 0111 1110 0111 1110 , 0
7, 1813, 1.813, 1111 1110 0111 1110 , 0
7, 2655, 2.655, 1111 1110 1111 1110 , 0
7, 2947, 2.947, 1111 1110 0111 1110 , 0
7, 3671, 3.671, 1111 1110 1111 1110 , 0
7, 4083, 4.083, 1111 1110 0111 1110 , 0
7, 10102, 10.102, 1111 1110 1111 1110 , 0
7, 10306, 10.306, 0111 1110 1111 1110 , 0
7, 10895, 10.895, 1111 1110 0111 1110 , 0
7, 11125, 11.125, 0000 0000 0000 0000 , 0
8, 0, 0.0, 0111 1110 1111 1110 , 0
8, 1, 0.001, 0000 0001 1000 0001 , 0
8, 20, 0.02, 0000 0001 0000 0001 , 0
8, 121, 0.121, 0111 1110 0111 1110 , 0
8, 465, 0.465, 1111 1110 0111 1110 , 0
8, 829, 0.829, 0111 1110 0111 1110 , 0
8, 1612, 1.612, 1111 1110 0111 1110 , 0
8, 1874, 1.874, 0111 1110 0111 1110 , 0
8, 2711, 2.711, 0111 1110 1111 1110 , 0
8, 2940, 2.94, 0111 1110 0111 1110 , 0
8, 3613, 3.613, 0111 1110 1111 1110 , 0
8, 3989, 3.989, 0111 1110 0111 1110 , 0
8, 16042, 16.042, 0111 1110 1111 1110 , 0
8, 16237, 16.237, 0111 1110 0111 1110 , 0
8, 16566, 16.566, 1111 1110 1111 1110 , 0
