missed packet number, sample offset, latency (ms), sample
-15, 0, 0.0, 0111 1110 1111 1110
-15, 1, 0.001, 0000 0001 1000 0001
-15, 21, 0.021, 0000 0001 0000 0001
-15, 63, 0.063, 0111 1110 0111 1110
-15, 330, 0.33, 0111 1110 1111 1110
-15, 671, 0.671, 0111 1110 0111 1110
-15, 1431, 1.431, 0111 1110 1111 1110
-15, 1813, 1.813, 0111 1110 0111 1110
-15, 2620, 2.62, 0111 1110 1111 1110
-15, 2855, 2.855, 0111 1110 0111 1110
-15, 3707, 3.707, 0111 1110 1111 1110
-15, 4008, 4.008, 0111 1110 0111 1110
-50, 0, 0.0, 0000 0001 0000 0001
-50, 20, 0.02, 0000 0001 1000 0001
-50, 104, 0.104, 0111 1110 1111 1110
-50, 418, 0.418, 0111 1110 0111 1110
-50, 752, 0.752, 0111 1110 1111 1110
-50, 1453, 1.453, 0111 1110 0111 1110
-50, 1725, 1.725, 0111 1110 1111 1110
-50, 2407, 2.407, 0111 1110 0111 1110
-50, 2660, 2.66, 0111 1110 1111 1110
-50, 3355, 3.355, 0111 1110 0111 1110
-50, 3502, 3.502, 0111 1110 1111 1110
-50, 4069, 4.069, 0111 1110 0111 1110
-50, 4096, 4.096, 0000 0001 0000 0001
-50, 4116, 4.116, 0000 0001 1000 0001
-50, 4200, 4.2, 0111 1110 1111 1110
-53, 0, 0.0, 0111 1110 1111 1110
-53, 1, 0.001, 0000 0001 1000 0001
-53, 21, 0.021, 0000 0001 0000 0001
-53, 60, 0.06, 0111 1110 0111 1110
-53, 274, 0.274, 0111 1110 1111 1110
-53, 590, 0.59, 0111 1110 0111 1110
-53, 1137, 1.137, 0111 1110 1111 1110
-53, 1391, 1.391, 0111 1110 0111 1110
-53, 1960, 1.96, 0111 1110 1111 1110
-53, 2176, 2.176, 0111 1110 0111 1110
-53, 2804, 2.804, 0111 1110 1111 1110
-53, 3015, 3.015, 0111 1110 0111 1110
-53, 3662, 3.662, 0111 1110 1111 1110
-53, 3909, 3.909, 0111 1110 0111 1110
-72, 0, 0.0, 0111 1110 0111 1110
-72, 1, 0.001, 0000 0001 0000 0001
-72, 21, 0.021, 0000 0001 1000 0001
-72, 135, 0.135, 0111 1110 1111 1110
-72, 589, 0.589, 0111 1110 0111 1110
-72, 937, 0.937, 0111 1110 1111 1110
-72, 1533, 1.533, 0111 1110 0111 1110
-72, 1776, 1.776, 0111 1110 1111 1110
-72, 2422, 2.422, 0111 1110 0111 1110
-72, 2630, 2.63, 0111 1110 1111 1110
-72, 3323, 3.323, 0111 1110 0111 1110
-72, 3468, 3.468, 0111 1110 1111 1110
-72, 3956, 3.956, 0111 1110 0111 1110
-72, 4097, 4.097, 0000 0001 0000 0001
-72, 4117, 4.117, 0000 0001 1000 0001
-72, 4231, 4.231, 0111 1110 1111 1110
-87, 0, 0.0, 0111 1110 1111 1110
-87, 1, 0.001, 0000 0001 1000 0001
-87, 20, 0.02, 0000 0001 0000 0001
-87, 74, 0.074, 0111 1110 0111 1110
-87, 322, 0.322, 0111 1110 1111 1110
-87, 637, 0.637, 0111 1110 0111 1110
-87, 1206, 1.206, 0111 1110 1111 1110
-87, 1461, 1.461, 0111 1110 0111 1110
-87, 2144, 2.144, 0111 1110 1111 1110
-87, 2357, 2.357, 0111 1110 0111 1110
-87, 3095, 3.095, 0111 1110 1111 1110
-87, 3273, 3.273, 0111 1110 0111 1110
-87, 3819, 3.819, 0111 1110 1111 1110
-87, 4097, 4.097, 0000 0001 1000 0001
-87, 4116, 4.116, 0000 0001 0000 0001
-87, 4156, 4.156, 0111 1110 0111 1110
-87, 1180665, 1180.665, 0000 0000 0000 0000
-87, 1184761, 1184.761, 0111 1110 0111 1110
-87, 1185845, 1185.845, 0000 0000 0000 0000
-87, 1189941, 1189.941, 0111 1110 0111 1110
-88, 0, 0.0, 0111 1110 0111 1110
-88, 1, 0.001, 0000 0001 0000 0001
-88, 21, 0.021, 0000 0001 1000 0001
-88, 91, 0.091, 0111 1110 1111 1110
-88, 403, 0.403, 0111 1110 0111 1110
-88, 755, 0.755, 0111 1110 1111 1110
-88, 1407, 1.407, 0111 1110 0111 1110
-88, 1663, 1.663, 0111 1110 1111 1110
-88, 2296, 2.296, 0111 1110 0111 1110
-88, 2508, 2.508, 0111 1110 1111 1110
-88, 3193, 3.193, 0111 1110 0111 1110
-88, 3353, 3.353, 0111 1110 1111 1110
-88, 3820, 3.82, 0111 1110 0111 1110
-88, 4097, 4.097, 0000 0001 0000 0001
-88, 4117, 4.117, 0000 0001 1000 0001
-88, 4143, 4.143, 0111 1110 1111 1110
-96, 0, 0.0, 1111 1110 1111 1110
-96, 1, 0.001, 1000 0001 1000 0001
-96, 21, 0.021, 1000 0001 0000 0001
-96, 84, 0.084, 1111 1110 0111 1110
-96, 322, 0.322, 1111 1110 1111 1110
-96, 646, 0.646, 1111 1110 0111 1110
-96, 1236, 1.236, 1111 1110 1111 1110
-96, 1521, 1.521, 1111 1110 0111 1110
-96, 2163, 2.163, 1111 1110 1111 1110
-96, 2396, 2.396, 1111 1110 0111 1110
-96, 3069, 3.069, 1111 1110 1111 1110
-96, 3261, 3.261, 1111 1110 0111 1110
-96, 3774, 3.774, 1111 1110 1111 1110
-96, 4097, 4.097, 1000 0001 1000 0001
-96, 4117, 4.117, 1000 0001 0000 0001
-96, 4136, 4.136, 1111 1110 0111 1110
-99, 0, 0.0, 1111 1110 0111 1110
-99, 1, 0.001, 1000 0001 0000 0001
-99, 20, 0.02, 1000 0001 1000 0001
-99, 253, 0.253, 1111 1110 1111 1110
-99, 622, 0.622, 1111 1110 0111 1110
