Packet, Sample offset, Latency (ms), Sample
1, 0, 0.0, 0111 1110 1111 1110 
1, 1, 0.001, 0000 0001 1000 0001 
1, 21, 0.021, 0000 0001 0000 0001 
1, 63, 0.063, 0111 1110 0111 1110 
1, 3774, 3.774, 0111 1110 1111 1110 
1, 3987, 3.987, 0111 1110 0111 1110 
1, 61586, 61.586, 0111 1110 1111 1110 
1, 61593, 61.593, 1111 1110 1111 1110 
1, 61993, 61.993, 0111 1110 0111 1110 
1, 62296, 62.296, 1111 1110 1111 1110 
1, 62934, 62.934, 0111 1110 0111 1110 
1, 63195, 63.195, 0000 0000 0000 0000 
2, 0, 0.0, 1111 1110 1111 1110 
2, 1, 0.001, 1000 0001 1000 0001 
2, 60, 0.06, 1111 1110 1111 1110 
2, 116, 0.116, 1111 1110 0111 1110 
2, 273, 0.273, 1111 1110 1111 1110 
2, 614, 0.614, 1111 1110 0111 1110 
2, 1229, 1.229, 1111 1110 1111 1110 
2, 1496, 1.496, 1111 1110 0111 1110 
2, 2190, 2.19, 1111 1110 1111 1110 
2, 2407, 2.407, 1111 1110 0111 1110 
2, 3118, 3.118, 1111 1110 1111 1110 
2, 3344, 3.344, 1111 1110 0111 1110 
2, 13323, 13.323, 1111 1110 1111 1110 
2, 13330, 13.33, 0111 1110 1111 1110 
2, 13837, 13.837, 1111 1110 0111 1110 
2, 14215, 14.215, 0111 1110 1111 1110 
2, 15047, 15.047, 1111 1110 0111 1110 
2, 15295, 15.295, 0000 0000 0000 0000 
3, 0, 0.0, 0111 1110 1111 1110 
3, 1, 0.001, 0000 0001 1000 0001 
3, 21, 0.021, 0000 0001 0000 0001 
3, 61, 0.061, 0111 1110 0111 1110 
3, 278, 0.278, 0111 1110 1111 1110 
3, 597, 0.597, 0111 1110 0111 1110 
3, 1204, 1.204, 0111 1110 1111 1110 
3, 1504, 1.504, 0111 1110 0111 1110 
3, 2170, 2.17, 0111 1110 1111 1110 
3, 2400, 2.4, 0111 1110 0111 1110 
3, 3100, 3.1, 0111 1110 1111 1110 
3, 3287, 3.287, 0111 1110 0111 1110 
3, 3825, 3.825, 0111 1110 1111 1110 
3, 4097, 4.097, 0000 0001 1000 0001 
3, 4117, 4.117, 0000 0001 0000 0001 
3, 4157, 4.157, 0111 1110 0111 1110 
3, 14955, 14.955, 0111 1110 1111 1110 
3, 14962, 14.962, 1111 1110 1111 1110 
3, 15157, 15.157, 0111 1110 0111 1110 
3, 15330, 15.33, 1111 1110 1111 1110 
3, 15990, 15.99, 0111 1110 0111 1110 
3, 16133, 16.133, 0000 0000 0000 0000 
4, 0, 0.0, 1111 1110 1111 1110 
4, 1, 0.001, 1000 0001 1000 0001 
4, 21, 0.021, 1000 0001 0000 0001 
4, 61, 0.061, 1111 1110 0111 1110 
4, 273, 0.273, 1111 1110 1111 1110 
4, 586, 0.586, 1111 1110 0111 1110 
4, 1116, 1.116, 1111 1110 1111 1110 
4, 1383, 1.383, 1111 1110 0111 1110 
4, 1961, 1.961, 1111 1110 1111 1110 
4, 2186, 2.186, 1111 1110 0111 1110 
4, 2808, 2.808, 1111 1110 1111 1110 
4, 2991, 2.991, 1111 1110 0111 1110 
4, 3666, 3.666, 1111 1110 1111 1110 
4, 3811, 3.811, 1111 1110 0111 1110 
4, 48228, 48.228, 1111 1110 1111 1110 
4, 48236, 48.236, 0111 1110 1111 1110 
4, 48532, 48.532, 1111 1110 0111 1110 
4, 48688, 48.688, 0111 1110 1111 1110 
4, 49168, 49.168, 1111 1110 0111 1110 
4, 49485, 49.485, 0000 0000 0000 0000 
5, 0, 0.0, 0111 1110 1111 1110 
5, 1, 0.001, 0000 0001 1000 0001 
5, 21, 0.021, 0000 0001 0000 0001 
5, 75, 0.075, 0111 1110 0111 1110 
5, 302, 0.302, 0111 1110 1111 1110 
