missed packet number, sample offset, latency (ms), sample
-50, 0, 0.0, 1111 1110 1111 1110
-50, 1, 0.001, 1000 0001 1000 0001
-50, 21, 0.021, 1000 0001 0000 0001
-50, 111, 0.111, 1111 1110 0111 1110
-50, 430, 0.43, 1111 1110 1111 1110
-50, 793, 0.793, 1111 1110 0111 1110
-50, 1521, 1.521, 1111 1110 1111 1110
-50, 1781, 1.781, 1111 1110 0111 1110
-50, 2441, 2.441, 1111 1110 1111 1110
-50, 2626, 2.626, 1111 1110 0111 1110
-50, 3297, 3.297, 1111 1110 1111 1110
-50, 3444, 3.444, 1111 1110 0111 1110
-50, 3916, 3.916, 1111 1110 1111 1110
-50, 4097, 4.097, 1000 0001 1000 0001
-50, 4117, 4.117, 1000 0001 0000 0001
-50, 4207, 4.207, 1111 1110 0111 1110
-67, 0, 0.0, 1111 1110 0111 1110
-67, 1, 0.001, 1000 0001 0000 0001
-67, 21, 0.021, 1000 0001 1000 0001
-67, 91, 0.091, 1111 1110 1111 1110
-67, 341, 0.341, 1111 1110 0111 1110
-67, 645, 0.645, 1111 1110 1111 1110
-67, 1263, 1.263, 1111 1110 0111 1110
-67, 1533, 1.533, 1111 1110 1111 1110
-67, 2255, 2.255, 1111 1110 0111 1110
-67, 2488, 2.488, 1111 1110 1111 1110
-67, 3212, 3.212, 1111 1110 0111 1110
-67, 3383, 3.383, 1111 1110 1111 1110
-67, 3862, 3.862, 1111 1110 0111 1110
-67, 4097, 4.097, 1000 0001 0000 0001
-67, 4117, 4.117, 1000 0001 1000 0001
-67, 4187, 4.187, 1111 1110 1111 1110
-144, 0, 0.0, 1111 1110 1111 1110
-144, 1, 0.001, 1000 0001 1000 0001
-144, 21, 0.021, 1000 0001 0000 0001
-144, 113, 0.113, 1111 1110 0111 1110
-144, 376, 0.376, 1111 1110 1111 1110
-144, 689, 0.689, 1111 1110 0111 1110
-144, 1246, 1.246, 1111 1110 1111 1110
-144, 1560, 1.56, 1111 1110 0111 1110
-144, 2210, 2.21, 1111 1110 1111 1110
-144, 2408, 2.408, 1111 1110 0111 1110
-144, 3056, 3.056, 1111 1110 1111 1110
-144, 3224, 3.224, 1111 1110 0111 1110
-144, 3712, 3.712, 1111 1110 1111 1110
-144, 4066, 4.066, 1111 1110 0111 1110
-147, 0, 0.0, 1111 1110 0111 1110
-147, 1, 0.001, 1000 0001 0000 0001
-147, 21, 0.021, 1000 0001 1000 0001
-147, 73, 0.073, 1111 1110 1111 1110
-147, 298, 0.298, 1111 1110 0111 1110
-147, 602, 0.602, 1111 1110 1111 1110
-147, 1210, 1.21, 1111 1110 0111 1110
-147, 1482, 1.482, 1111 1110 1111 1110
-147, 2127, 2.127, 1111 1110 0111 1110
-147, 2383, 2.383, 1111 1110 1111 1110
-147, 3113, 3.113, 1111 1110 0111 1110
-147, 3306, 3.306, 1111 1110 1111 1110
-147, 3782, 3.782, 1111 1110 0111 1110
-147, 4097, 4.097, 1000 0001 0000 0001
-147, 4113, 4.113, 1111 1110 1111 1110
-147, 416001, 416.001, 1111 1110 0111 1110
-147, 416412, 416.412, 1111 1110 1111 1110
-147, 416604, 416.604, 1111 1110 0111 1110
-147, 417340, 417.34, 1111 1110 1111 1110
-147, 417539, 417.539, 1111 1110 0111 1110
-147, 418089, 418.089, 1111 1110 1111 1110
-147, 418402, 418.402, 1111 1110 0111 1110
-147, 418983, 418.983, 1111 1110 1111 1110
-147, 419236, 419.236, 1111 1110 0111 1110
-147, 419876, 419.876, 1111 1110 1111 1110
-147, 420097, 420.097, 1111 1110 0111 1110
-149, 0, 0.0, 0111 1110 0111 1110
-149, 1, 0.001, 0000 0001 0000 0001
-149, 21, 0.021, 0000 0001 1000 0001
-149, 185, 0.185, 0111 1110 1111 1110
-149, 523, 0.523, 0111 1110 0111 1110
-149, 847, 0.847, 0111 1110 1111 1110
-149, 1633, 1.633, 0111 1110 0111 1110
-149, 1891, 1.891, 0111 1110 1111 1110
-149, 2713, 2.713, 0111 1110 0111 1110
-149, 2916, 2.916, 0111 1110 1111 1110
-149, 3500, 3.5, 0111 1110 0111 1110
-149, 3840, 3.84, 0111 1110 1111 1110
-169, 0, 0.0, 1111 1110 1111 1110
-169, 1, 0.001, 1000 0001 1000 0001
-169, 20, 0.02, 1000 0001 0000 0001
-169, 67, 0.067, 1111 1110 0111 1110
-169, 316, 0.316, 1111 1110 1111 1110
-169, 687, 0.687, 1111 1110 0111 1110
-169, 1286, 1.286, 1111 1110 1111 1110
-169, 1574, 1.574, 1111 1110 0111 1110
-169, 2201, 2.201, 1111 1110 1111 1110
-169, 2431, 2.431, 1111 1110 0111 1110
-169, 3223, 3.223, 1111 1110 1111 1110
-169, 3437, 3.437, 1111 1110 0111 1110
-169, 4081, 4.081, 1111 1110 1111 1110
-169, 4097, 4.097, 1000 0001 1000 0001
-169, 4116, 4.116, 1000 0001 0000 0001
-169, 4163, 4.163, 1111 1110 0111 1110
-244, 0, 0.0, 1111 1110 0111 1110
-244, 1, 0.001, 1000 0001 0000 0001
-244, 21, 0.021, 1000 0001 1000 0001
-244, 123, 0.123, 1111 1110 1111 1110
-244, 481, 0.481, 1111 1110 0111 1110
-244, 815, 0.815, 1111 1110 1111 1110
-244, 1650, 1.65, 1111 1110 0111 1110
-244, 1927, 1.927, 1111 1110 1111 1110
-244, 2634, 2.634, 1111 1110 0111 1110
-244, 2635, 2.635, 1111 1110 1111 1110
-244, 2637, 2.637, 1111 1110 0111 1110
-244, 2822, 2.822, 1111 1110 1111 1110
-244, 3491, 3.491, 1111 1110 0111 1110
-244, 3630, 3.63, 1111 1110 1111 1110
-244, 4131, 4.131, 1000 0001 1000 0001
-244, 4219, 4.219, 1111 1110 1111 1110
-248, 0, 0.0, 0111 1110 1111 1110
-248, 1, 0.001, 0000 0001 1000 0001
-248, 20, 0.02, 0000 0001 0000 0001
-248, 59, 0.059, 0111 1110 0111 1110
-248, 255, 0.255, 0111 1110 1111 1110
-248, 552, 0.552, 0111 1110 0111 1110
-248, 1087, 1.087, 0111 1110 1111 1110
-248, 1356, 1.356, 0111 1110 0111 1110
-248, 2038, 2.038, 0111 1110 1111 1110
-248, 2274, 2.274, 0111 1110 0111 1110
-248, 3013, 3.013, 0111 1110 1111 1110
-248, 3178, 3.178, 0111 1110 0111 1110
-248, 3698, 3.698, 0111 1110 1111 1110
-248, 3990, 3.99, 0111 1110 0111 1110
-251, 0, 0.0, 0111 1110 0111 1110
-251, 1, 0.001, 0000 0001 0000 0001
-251, 21, 0.021, 0000 0001 1000 0001
-251, 60, 0.06, 0111 1110 1111 1110
-251, 258, 0.258, 0111 1110 0111 1110
-251, 566, 0.566, 0111 1110 1111 1110
-251, 1089, 1.089, 0111 1110 0111 1110
-251, 1394, 1.394, 0111 1110 1111 1110
-251, 1965, 1.965, 0111 1110 0111 1110
-251, 2187, 2.187, 0111 1110 1111 1110
-251, 2811, 2.811, 0111 1110 0111 1110
-251, 2984, 2.984, 0111 1110 1111 1110
-251, 3633, 3.633, 0111 1110 0111 1110
-251, 3787, 3.787, 0111 1110 1111 1110
-299, 0, 0.0, 1111 1110 1111 1110
-299, 1, 0.001, 1000 0001 1000 0001
-299, 20, 0.02, 1000 0001 0000 0001
-299, 76, 0.076, 1111 1110 0111 1110
-299, 303, 0.303, 1111 1110 1111 1110
-299, 641, 0.641, 1111 1110 0111 1110
-299, 1273, 1.273, 1111 1110 1111 1110
-299, 1563, 1.563, 1111 1110 0111 1110
-299, 2243, 2.243, 1111 1110 1111 1110
-299, 2526, 2.526, 1111 1110 0111 1110
-299, 3216, 3.216, 1111 1110 1111 1110
-299, 3392, 3.392, 1111 1110 0111 1110
-299, 3907, 3.907, 1111 1110 1111 1110
-299, 4097, 4.097, 1000 0001 1000 0001
-299, 4116, 4.116, 1000 0001 0000 0001
-299, 4172, 4.172, 1111 1110 0111 1110
-299, 671641, 671.641, 0000 0000 0000 0000
-299, 675737, 675.737, 1111 1110 0111 1110
-299, 688253, 688.253, 0000 0000 0000 0000
-299, 692349, 692.349, 1111 1110 0111 1110
-301, 0, 0.0, 0111 1110 0111 1110
-301, 1, 0.001, 0000 0001 0000 0001
-301, 21, 0.021, 0000 0001 1000 0001
-301, 79, 0.079, 0111 1110 1111 1110
-301, 332, 0.332, 0111 1110 0111 1110
-301, 647, 0.647, 0111 1110 1111 1110
-301, 1312, 1.312, 0111 1110 0111 1110
-301, 1591, 1.591, 0111 1110 1111 1110
-301, 2272, 2.272, 0111 1110 0111 1110
-301, 2494, 2.494, 0111 1110 1111 1110
-301, 3209, 3.209, 0111 1110 0111 1110
-301, 3378, 3.378, 0111 1110 1111 1110
-301, 3899, 3.899, 0111 1110 0111 1110
-301, 4097, 4.097, 0000 0001 0000 0001
-301, 4117, 4.117, 0000 0001 1000 0001
-301, 4175, 4.175, 0111 1110 1111 1110
-304, 0, 0.0, 0111 1110 1111 1110
-304, 1, 0.001, 0000 0001 1000 0001
-304, 21, 0.021, 0000 0001 0000 0001
-304, 86, 0.086, 0111 1110 0111 1110
