Packet, Sample offset, Latency (ms), Sample
1, 0, 0.0, 1111 1110 1111 1110 
1, 1, 0.001, 1000 0001 1000 0001 
1, 20, 0.02, 1000 0001 0000 0001 
1, 61, 0.061, 1111 1110 0111 1110 
1, 263, 0.263, 0111 1110 0111 1110 
1, 576, 0.576, 1111 1110 0111 1110 
1, 1099, 1.099, 0111 1110 0111 1110 
1, 1390, 1.39, 1111 1110 0111 1110 
1, 1987, 1.987, 0111 1110 0111 1110 
1, 2238, 2.238, 1111 1110 0111 1110 
1, 2891, 2.891, 0111 1110 0111 1110 
1, 3072, 3.072, 1111 1110 0111 1110 
1, 3758, 3.758, 0111 1110 0111 1110 
1, 3796, 3.796, 1111 1110 1111 1110 
1, 3904, 3.904, 1111 1110 0111 1110 
1, 9383, 9.383, 1111 1110 1111 1110 
1, 9390, 9.39, 0111 1110 1111 1110 
1, 9510, 9.51, 1111 1110 0111 1110 
1, 9776, 9.776, 0111 1110 1111 1110 
1, 10370, 10.37, 1111 1110 0111 1110 
1, 10599, 10.599, 0000 0000 0000 0000 
2, 0, 0.0, 0111 1110 1111 1110 
2, 1, 0.001, 0000 0001 1000 0001 
2, 21, 0.021, 0000 0001 0000 0001 
2, 65, 0.065, 0111 1110 0111 1110 
2, 268, 0.268, 0111 1110 1111 1110 
2, 580, 0.58, 0111 1110 0111 1110 
2, 1179, 1.179, 0111 1110 1111 1110 
2, 1470, 1.47, 0111 1110 0111 1110 
2, 2111, 2.111, 0111 1110 1111 1110 
2, 2331, 2.331, 0111 1110 0111 1110 
2, 2953, 2.953, 0111 1110 1111 1110 
2, 3172, 3.172, 0111 1110 0111 1110 
2, 3775, 3.775, 0111 1110 1111 1110 
2, 4077, 4.077, 0111 1110 0111 1110 
2, 8305, 8.305, 1111 1110 1111 1110 
2, 8818, 8.818, 0111 1110 0111 1110 
2, 9101, 9.101, 0000 0000 0000 0000 
3, 0, 0.0, 1111 1110 1111 1110 
3, 1, 0.001, 1000 0001 1000 0001 
3, 21, 0.021, 1000 0001 0000 0001 
3, 79, 0.079, 1111 1110 0111 1110 
3, 326, 0.326, 1111 1110 1111 1110 
3, 656, 0.656, 1111 1110 0111 1110 
3, 1334, 1.334, 1111 1110 1111 1110 
3, 1609, 1.609, 1111 1110 0111 1110 
3, 2290, 2.29, 1111 1110 1111 1110 
3, 2537, 2.537, 1111 1110 0111 1110 
3, 3287, 3.287, 1111 1110 1111 1110 
3, 3469, 3.469, 1111 1110 0111 1110 
3, 3997, 3.997, 1111 1110 1111 1110 
3, 4097, 4.097, 1000 0001 1000 0001 
3, 4117, 4.117, 1000 0001 0000 0001 
3, 4175, 4.175, 1111 1110 0111 1110 
3, 13042, 13.042, 1111 1110 1111 1110 
3, 13049, 13.049, 0111 1110 1111 1110 
3, 13570, 13.57, 1111 1110 0111 1110 
3, 13839, 13.839, 0000 0000 0000 0000 
