Packet, Sample offset, Latency (ms), [packet_received_bit][packet_created_bit][button_press_mirror_bit]
1, 0, 0.0, 1111 1110 0111 1110 
1, 1, 0.001, 1000 0001 0000 0001 
1, 118, 0.118, 1111 1110 0111 1110 
1, 127, 0.127, 1111 1110 1111 1110 
1, 460, 0.46, 0111 1110 0111 1110 
1, 844, 0.844, 1111 1110 1111 1110 
1, 1717, 1.717, 1111 1110 0111 1110 
1, 2016, 2.016, 1111 1110 1111 1110 
1, 2884, 2.884, 0111 1110 0111 1110 
1, 3112, 3.112, 1111 1110 1111 1110 
1, 3761, 3.761, 1111 1110 0111 1110 
1, 4097, 4.097, 1000 0001 0000 0001 
1, 4170, 4.17, 1111 1110 1111 1110 
1, 37915, 37.915, 0111 1110 1111 1110 
1, 38272, 38.272, 1111 1110 1111 1110 
1, 38647, 38.647, 0000 0000 0000 0000 
2, 0, 0.0, 0111 1110 1111 1110 
2, 1, 0.001, 0000 0001 1000 0001 
2, 19, 0.019, 0000 0001 0000 0001 
2, 109, 0.109, 0111 1110 0111 1110 
2, 416, 0.416, 1111 1110 1111 1110 
2, 752, 0.752, 0111 1110 0111 1110 
2, 1457, 1.457, 0111 1110 1111 1110 
2, 1768, 1.768, 0111 1110 0111 1110 
2, 2524, 2.524, 1111 1110 1111 1110 
2, 2781, 2.781, 0111 1110 0111 1110 
2, 3630, 3.63, 0111 1110 1111 1110 
2, 3842, 3.842, 0111 1110 0111 1110 
2, 11243, 11.243, 0000 0000 0000 0000 
3, 0, 0.0, 1111 1110 0111 1110 
3, 1, 0.001, 1000 0001 0000 0001 
3, 20, 0.02, 1000 0001 1000 0001 
3, 107, 0.107, 1111 1110 1111 1110 
3, 411, 0.411, 0111 1110 0111 1110 
3, 772, 0.772, 1111 1110 1111 1110 
3, 1636, 1.636, 0111 1110 0111 1110 
3, 1954, 1.954, 1111 1110 1111 1110 
3, 2897, 2.897, 0111 1110 0111 1110 
3, 2963, 2.963, 1111 1110 0111 1110 
3, 3144, 3.144, 1111 1110 1111 1110 
3, 3918, 3.918, 1111 1110 0111 1110 
3, 4097, 4.097, 1000 0001 0000 0001 
3, 4116, 4.116, 1000 0001 1000 0001 
3, 4203, 4.203, 1111 1110 1111 1110 
3, 73096, 73.096, 0000 0000 0000 0000 
4, 0, 0.0, 0111 1110 1111 1110 
4, 1, 0.001, 0000 0001 1000 0001 
4, 20, 0.02, 0000 0001 0000 0001 
4, 186, 0.186, 0111 1110 0111 1110 
4, 680, 0.68, 1111 1110 1111 1110 
4, 1098, 1.098, 0111 1110 0111 1110 
4, 2246, 2.246, 1111 1110 1111 1110 
4, 2547, 2.547, 0111 1110 0111 1110 
4, 3455, 3.455, 0111 1110 1111 1110 
4, 3801, 3.801, 0111 1110 0111 1110 
4, 14184, 14.184, 1111 1110 0111 1110 
4, 14501, 14.501, 0111 1110 0111 1110 
4, 14783, 14.783, 0000 0000 0000 0000 
5, 0, 0.0, 1111 1110 0111 1110 
5, 1, 0.001, 1000 0001 0000 0001 
5, 19, 0.019, 1000 0001 1000 0001 
5, 180, 0.18, 1111 1110 1111 1110 
5, 552, 0.552, 0111 1110 0111 1110 
5, 1118, 1.118, 1111 1110 1111 1110 
5, 2410, 2.41, 1111 1110 0111 1110 
5, 2697, 2.697, 1111 1110 1111 1110 
5, 3532, 3.532, 1111 1110 0111 1110 
5, 3900, 3.9, 1111 1110 1111 1110 
5, 9426, 9.426, 0000 0000 0000 0000 
5, 13522, 13.522, 1111 1110 1111 1110 
5, 91758, 91.758, 0000 0000 0000 0000 
6, 0, 0.0, 0111 1110 1111 1110 
6, 1, 0.001, 0000 0001 1000 0001 
6, 20, 0.02, 0000 0001 0000 0001 
6, 163, 0.163, 0111 1110 0111 1110 
6, 678, 0.678, 1111 1110 1111 1110 
6, 1027, 1.027, 0111 1110 0111 1110 
6, 1938, 1.938, 0111 1110 1111 1110 
6, 2229, 2.229, 0111 1110 0111 1110 
6, 3130, 3.13, 1111 1110 1111 1110 
6, 3384, 3.384, 0111 1110 0111 1110 
6, 4195, 4.195, 0000 0001 0000 0001 
6, 4259, 4.259, 0111 1110 0111 1110 
6, 30685, 30.685, 0000 0000 0000 0000 
6, 34781, 34.781, 0111 1110 0111 1110 
6, 48051, 48.051, 0000 0000 0000 0000 
7, 0, 0.0, 1000 0001 0000 0001 
7, 19, 0.019, 1000 0001 1000 0001 
7, 215, 0.215, 1111 1110 1111 1110 
7, 730, 0.73, 0111 1110 0111 1110 
7, 1064, 1.064, 1111 1110 1111 1110 
7, 1927, 1.927, 0111 1110 0111 1110 
7, 2245, 2.245, 1111 1110 1111 1110 
7, 3131, 3.131, 1111 1110 0111 1110 
7, 3423, 3.423, 1111 1110 1111 1110 
7, 4153, 4.153, 1000 0001 1000 0001 
7, 4311, 4.311, 1111 1110 1111 1110 
7, 8427, 8.427, 0000 0000 0000 0000 
8, 0, 0.0, 0111 1110 1111 1110 
8, 1, 0.001, 0000 0001 1000 0001 
8, 20, 0.02, 0000 0001 0000 0001 
8, 143, 0.143, 0111 1110 0111 1110 
8, 563, 0.563, 0111 1110 1111 1110 
8, 1131, 1.131, 0111 1110 0111 1110 
8, 2270, 2.27, 1111 1110 1111 1110 
8, 2697, 2.697, 0111 1110 0111 1110 
8, 3602, 3.602, 0111 1110 1111 1110 
8, 4075, 4.075, 0111 1110 0111 1110 
8, 15261, 15.261, 0000 0000 0000 0000 
8, 19357, 19.357, 0111 1110 0111 1110 
8, 46386, 46.386, 0000 0000 0000 0000 
8, 50482, 50.482, 0111 1110 0111 1110 
8, 56680, 56.68, 0000 0000 0000 0000 
8, 60776, 60.776, 0111 1110 0111 1110 
8, 73913, 73.913, 1111 1110 0111 1110 
8, 74195, 74.195, 0111 1110 0111 1110 
8, 74544, 74.544, 0000 0000 0000 0000 
9, 0, 0.0, 1111 1110 0111 1110 
9, 1, 0.001, 1000 0001 0000 0001 
9, 20, 0.02, 1000 0001 1000 0001 
9, 171, 0.171, 1111 1110 1111 1110 
9, 687, 0.687, 1111 1110 0111 1110 
9, 1125, 1.125, 1111 1110 1111 1110 
9, 2076, 2.076, 0111 1110 0111 1110 
9, 2351, 2.351, 1111 1110 1111 1110 
9, 3283, 3.283, 0111 1110 0111 1110 
9, 3285, 3.285, 1111 1110 1111 1110 
9, 3286, 3.286, 0111 1110 0111 1110 
9, 3479, 3.479, 1111 1110 1111 1110 
9, 12119, 12.119, 0000 0000 0000 0000 
10, 0, 0.0, 0000 0001 1000 0001 
10, 19, 0.019, 0000 0001 0000 0001 
10, 151, 0.151, 0111 1110 0111 1110 
10, 543, 0.543, 1111 1110 1111 1110 
10, 871, 0.871, 0111 1110 0111 1110 
10, 1757, 1.757, 1111 1110 1111 1110 
10, 2062, 2.062, 0111 1110 0111 1110 
10, 3316, 3.316, 1111 1110 1111 1110 
10, 3546, 3.546, 0111 1110 1111 1110 
10, 3556, 3.556, 0111 1110 0111 1110 
10, 11987, 11.987, 0000 0000 0000 0000 
10, 16083, 16.083, 0111 1110 0111 1110 
10, 92772, 92.772, 0000 0000 0000 0000 
11, 0, 0.0, 1111 1110 0111 1110 
11, 1, 0.001, 1000 0001 0000 0001 
11, 62, 0.062, 1000 0001 1000 0001 
11, 153, 0.153, 1111 1110 1111 1110 
11, 562, 0.562, 0111 1110 0111 1110 
11, 948, 0.948, 1111 1110 1111 1110 
11, 1872, 1.872, 0111 1110 0111 1110 
11, 2191, 2.191, 1111 1110 1111 1110 
11, 3087, 3.087, 1111 1110 0111 1110 
11, 3259, 3.259, 0111 1110 0111 1110 
11, 3285, 3.285, 1111 1110 1111 1110 
11, 4063, 4.063, 1111 1110 0111 1110 
11, 4097, 4.097, 1000 0001 0000 0001 
11, 4158, 4.158, 1000 0001 1000 0001 
11, 4249, 4.249, 1111 1110 1111 1110 
11, 18572, 18.572, 0000 0000 0000 0000 
11, 22668, 22.668, 1111 1110 1111 1110 
11, 31031, 31.031, 0000 0000 0000 0000 
11, 35127, 35.127, 1111 1110 1111 1110 
11, 56370, 56.37, 0111 1110 1111 1110 
11, 56430, 56.43, 1111 1110 1111 1110 
11, 56683, 56.683, 0000 0000 0000 0000 
12, 0, 0.0, 0111 1110 1111 1110 
12, 1, 0.001, 0000 0001 1000 0001 
12, 19, 0.019, 0000 0001 0000 0001 
12, 163, 0.163, 0111 1110 0111 1110 
12, 665, 0.665, 1111 1110 1111 1110 
12, 1194, 1.194, 0111 1110 0111 1110 
12, 2571, 2.571, 1111 1110 1111 1110 
12, 2853, 2.853, 0111 1110 0111 1110 
12, 3594, 3.594, 0111 1110 1111 1110 
12, 3974, 3.974, 0111 1110 0111 1110 
12, 8918, 8.918, 0000 0000 0000 0000 
13, 0, 0.0, 1111 1110 0111 1110 
13, 1, 0.001, 1000 0001 0000 0001 
13, 20, 0.02, 1000 0001 1000 0001 
13, 160, 0.16, 1111 1110 1111 1110 
13, 514, 0.514, 1111 1110 0111 1110 
13, 915, 0.915, 1111 1110 1111 1110 
13, 1911, 1.911, 0111 1110 0111 1110 
13, 2264, 2.264, 1111 1110 1111 1110 
13, 3467, 3.467, 0111 1110 0111 1110 
13, 3620, 3.62, 1111 1110 0111 1110 
13, 3753, 3.753, 1111 1110 1111 1110 
13, 14578, 14.578, 0000 0000 0000 0000 
13, 18674, 18.674, 1111 1110 1111 1110 
13, 61901, 61.901, 0111 1110 1111 1110 
13, 62370, 62.37, 1111 1110 1111 1110 
13, 62695, 62.695, 0000 0000 0000 0000 
14, 0, 0.0, 0111 1110 1111 1110 
14, 1, 0.001, 0000 0001 1000 0001 
14, 19, 0.019, 0000 0001 0000 0001 
14, 159, 0.159, 0111 1110 0111 1110 
14, 637, 0.637, 0111 1110 1111 1110 
14, 1243, 1.243, 0111 1110 0111 1110 
14, 2806, 2.806, 1111 1110 1111 1110 
14, 3311, 3.311, 0111 1110 0111 1110 
14, 12139, 12.139, 0000 0000 0000 0000 
15, 0, 0.0, 1111 1110 0111 1110 
15, 1, 0.001, 1000 0001 0000 0001 
15, 19, 0.019, 1000 0001 1000 0001 
15, 225, 0.225, 1111 1110 1111 1110 
15, 644, 0.644, 1111 1110 0111 1110 
15, 987, 0.987, 0111 1110 0111 1110 
15, 996, 0.996, 1111 1110 1111 1110 
15, 1895, 1.895, 0111 1110 0111 1110 
15, 2181, 2.181, 1111 1110 1111 1110 
15, 3056, 3.056, 1111 1110 0111 1110 
15, 3336, 3.336, 1111 1110 1111 1110 
15, 4179, 4.179, 1000 0001 1000 0001 
15, 4321, 4.321, 1111 1110 1111 1110 
15, 4498, 4.498, 0000 0000 0000 0000 
15, 8594, 8.594, 1111 1110 1111 1110 
15, 11993, 11.993, 0000 0000 0000 0000 
15, 16089, 16.089, 1111 1110 1111 1110 
15, 57201, 57.201, 0000 0000 0000 0000 
16, 0, 0.0, 0111 1110 1111 1110 
16, 1, 0.001, 0000 0001 1000 0001 
16, 19, 0.019, 0000 0001 0000 0001 
16, 151, 0.151, 0111 1110 0111 1110 
16, 529, 0.529, 0111 1110 1111 1110 
16, 897, 0.897, 0111 1110 0111 1110 
16, 1764, 1.764, 1111 1110 1111 1110 
16, 2056, 2.056, 0111 1110 0111 1110 
