Packet, Sample offset, Latency (ms), Sample
1, 0, 0.0, 1111 1110 0111 1110 
1, 1, 0.001, 1000 0001 0000 0001 
1, 20, 0.02, 1000 0001 1000 0001 
1, 69, 0.069, 1111 1110 1111 1110 
1, 329, 0.329, 1111 1110 0111 1110 
1, 655, 0.655, 1111 1110 1111 1110 
1, 1330, 1.33, 1111 1110 0111 1110 
1, 1586, 1.586, 1111 1110 1111 1110 
1, 2257, 2.257, 1111 1110 0111 1110 
1, 2476, 2.476, 1111 1110 1111 1110 
1, 3173, 3.173, 1111 1110 0111 1110 
1, 3338, 3.338, 1111 1110 1111 1110 
1, 3889, 3.889, 1111 1110 0111 1110 
1, 4097, 4.097, 1000 0001 0000 0001 
1, 4116, 4.116, 1000 0001 1000 0001 
1, 4165, 4.165, 1111 1110 1111 1110 
1, 286120, 286.12, 1111 1110 0111 1110 
1, 286229, 286.229, 0111 1110 0111 1110 
1, 286474, 286.474, 1111 1110 1111 1110 
1, 286814, 286.814, 0111 1110 0111 1110 
1, 287379, 287.379, 1111 1110 1111 1110 
1, 287697, 287.697, 0000 0000 0000 0000 
2, 0, 0.0, 0111 1110 0111 1110 
2, 1, 0.001, 0000 0001 0000 0001 
2, 20, 0.02, 0000 0001 1000 0001 
2, 131, 0.131, 0111 1110 1111 1110 
2, 364, 0.364, 0111 1110 0111 1110 
2, 680, 0.68, 0111 1110 1111 1110 
2, 1236, 1.236, 0111 1110 0111 1110 
2, 1486, 1.486, 0111 1110 1111 1110 
2, 2079, 2.079, 0111 1110 0111 1110 
2, 2310, 2.31, 0111 1110 1111 1110 
2, 2972, 2.972, 0111 1110 0111 1110 
2, 3133, 3.133, 0111 1110 1111 1110 
2, 3717, 3.717, 0111 1110 0111 1110 
2, 3977, 3.977, 0111 1110 1111 1110 
2, 34350, 34.35, 0111 1110 0111 1110 
2, 34406, 34.406, 1111 1110 0111 1110 
2, 35006, 35.006, 0111 1110 1111 1110 
2, 35220, 35.22, 0000 0000 0000 0000 
3, 0, 0.0, 1111 1110 0111 1110 
3, 1, 0.001, 1000 0001 0000 0001 
3, 21, 0.021, 1000 0001 1000 0001 
3, 63, 0.063, 1111 1110 1111 1110 
3, 312, 0.312, 1111 1110 0111 1110 
3, 607, 0.607, 1111 1110 1111 1110 
3, 1139, 1.139, 1111 1110 0111 1110 
3, 1431, 1.431, 1111 1110 1111 1110 
3, 2033, 2.033, 1111 1110 0111 1110 
3, 2252, 2.252, 1111 1110 1111 1110 
3, 2960, 2.96, 1111 1110 0111 1110 
3, 3130, 3.13, 1111 1110 1111 1110 
3, 3789, 3.789, 1111 1110 0111 1110 
3, 4064, 4.064, 1111 1110 1111 1110 
3, 34726, 34.726, 1111 1110 0111 1110 
3, 34766, 34.766, 0111 1110 0111 1110 
3, 35449, 35.449, 1111 1110 1111 1110 
3, 35640, 35.64, 0000 0000 0000 0000 
4, 0, 0.0, 0111 1110 0111 1110 
4, 1, 0.001, 0000 0001 0000 0001 
4, 20, 0.02, 0000 0001 1000 0001 
4, 66, 0.066, 0111 1110 1111 1110 
4, 287, 0.287, 0111 1110 0111 1110 
4, 587, 0.587, 0111 1110 1111 1110 
4, 1176, 1.176, 0111 1110 0111 1110 
4, 1177, 1.177, 0111 1110 1111 1110 
4, 1179, 1.179, 0111 1110 0111 1110 
4, 1439, 1.439, 0111 1110 1111 1110 
4, 2046, 2.046, 0111 1110 0111 1110 
4, 2275, 2.275, 0111 1110 1111 1110 
4, 2936, 2.936, 0111 1110 0111 1110 
4, 3116, 3.116, 0111 1110 1111 1110 
4, 3735, 3.735, 0111 1110 0111 1110 
4, 3962, 3.962, 0111 1110 1111 1110 
4, 49124, 49.124, 0111 1110 0111 1110 
4, 49133, 49.133, 0111 1110 1111 1110 
4, 49474, 49.474, 1111 1110 0111 1110 
4, 50072, 50.072, 0111 1110 1111 1110 
4, 50396, 50.396, 0000 0000 0000 0000 
5, 0, 0.0, 1111 1110 0111 1110 
5, 1, 0.001, 1000 0001 0000 0001 
5, 20, 0.02, 1000 0001 1000 0001 
5, 154, 0.154, 1111 1110 1111 1110 
5, 581, 0.581, 1111 1110 0111 1110 
5, 982, 0.982, 1111 1110 1111 1110 
5, 1823, 1.823, 1111 1110 0111 1110 
5, 2125, 2.125, 1111 1110 1111 1110 
5, 2879, 2.879, 1111 1110 0111 1110 
5, 3079, 3.079, 1111 1110 1111 1110 
5, 3654, 3.654, 1111 1110 0111 1110 
5, 3993, 3.993, 1111 1110 1111 1110 
5, 88820, 88.82, 1111 1110 0111 1110 
5, 88840, 88.84, 1111 1110 1111 1110 
5, 89043, 89.043, 0111 1110 0111 1110 
5, 89612, 89.612, 1111 1110 1111 1110 
5, 89959, 89.959, 0000 0000 0000 0000 
6, 0, 0.0, 0111 1110 0111 1110 
6, 1, 0.001, 0000 0001 0000 0001 
6, 21, 0.021, 0000 0001 1000 0001 
6, 77, 0.077, 0111 1110 1111 1110 
6, 381, 0.381, 0111 1110 0111 1110 
6, 715, 0.715, 0111 1110 1111 1110 
6, 1317, 1.317, 0111 1110 0111 1110 
6, 1593, 1.593, 0111 1110 1111 1110 
6, 2290, 2.29, 0111 1110 0111 1110 
6, 2495, 2.495, 0111 1110 1111 1110 
6, 3243, 3.243, 0111 1110 0111 1110 
6, 3394, 3.394, 0111 1110 1111 1110 
6, 3908, 3.908, 0111 1110 0111 1110 
6, 4097, 4.097, 0000 0001 0000 0001 
6, 4117, 4.117, 0000 0001 1000 0001 
6, 4173, 4.173, 0111 1110 1111 1110 
6, 197421, 197.421, 0111 1110 0111 1110 
6, 197531, 197.531, 1111 1110 0111 1110 
6, 197811, 197.811, 0111 1110 1111 1110 
6, 198103, 198.103, 1111 1110 0111 1110 
6, 198775, 198.775, 0111 1110 1111 1110 
6, 199010, 199.01, 0000 0000 0000 0000 
7, 0, 0.0, 1111 1110 0111 1110 
7, 1, 0.001, 1000 0001 0000 0001 
7, 20, 0.02, 1000 0001 1000 0001 
7, 71, 0.071, 1111 1110 1111 1110 
7, 301, 0.301, 1111 1110 0111 1110 
7, 607, 0.607, 1111 1110 1111 1110 
7, 1192, 1.192, 1111 1110 0111 1110 
7, 1464, 1.464, 1111 1110 1111 1110 
7, 2093, 2.093, 1111 1110 0111 1110 
7, 2318, 2.318, 1111 1110 1111 1110 
7, 2975, 2.975, 1111 1110 0111 1110 
7, 3162, 3.162, 1111 1110 1111 1110 
7, 3736, 3.736, 1111 1110 0111 1110 
7, 3997, 3.997, 1111 1110 1111 1110 
7, 86834, 86.834, 1111 1110 0111 1110 
7, 86944, 86.944, 0111 1110 0111 1110 
7, 87321, 87.321, 1111 1110 1111 1110 
7, 87621, 87.621, 0111 1110 0111 1110 
7, 88343, 88.343, 1111 1110 1111 1110 
7, 88599, 88.599, 0000 0000 0000 0000 
8, 0, 0.0, 0111 1110 0111 1110 
8, 1, 0.001, 0000 0001 0000 0001 
8, 21, 0.021, 0000 0001 1000 0001 
8, 72, 0.072, 0111 1110 1111 1110 
8, 295, 0.295, 0111 1110 0111 1110 
8, 624, 0.624, 0111 1110 1111 1110 
8, 1211, 1.211, 0111 1110 0111 1110 
8, 1494, 1.494, 0111 1110 1111 1110 
8, 2102, 2.102, 0111 1110 0111 1110 
8, 2345, 2.345, 0111 1110 1111 1110 
8, 3009, 3.009, 0111 1110 0111 1110 
8, 3186, 3.186, 0111 1110 1111 1110 
8, 3754, 3.754, 0111 1110 0111 1110 
8, 4067, 4.067, 0111 1110 1111 1110 
8, 314715, 314.715, 0111 1110 0111 1110 
8, 314738, 314.738, 1111 1110 0111 1110 
8, 315260, 315.26, 0111 1110 1111 1110 
8, 315621, 315.621, 0000 0000 0000 0000 
9, 0, 0.0, 1111 1110 0111 1110 
9, 1, 0.001, 1000 0001 0000 0001 
9, 21, 0.021, 1000 0001 1000 0001 
9, 117, 0.117, 1111 1110 1111 1110 
9, 433, 0.433, 1111 1110 0111 1110 
9, 750, 0.75, 1111 1110 1111 1110 
9, 1322, 1.322, 1111 1110 0111 1110 
9, 1601, 1.601, 1111 1110 1111 1110 
9, 2275, 2.275, 1111 1110 0111 1110 
9, 2498, 2.498, 1111 1110 1111 1110 
9, 3190, 3.19, 1111 1110 0111 1110 
9, 3367, 3.367, 1111 1110 1111 1110 
9, 3862, 3.862, 1111 1110 0111 1110 
9, 4097, 4.097, 1000 0001 0000 0001 
9, 4117, 4.117, 1000 0001 1000 0001 
9, 4184, 4.184, 1111 1110 1111 1110 
9, 55040, 55.04, 0111 1110 0111 1110 
9, 55764, 55.764, 1111 1110 1111 1110 
9, 55959, 55.959, 0000 0000 0000 0000 
10, 0, 0.0, 0111 1110 0111 1110 
10, 1, 0.001, 0000 0001 0000 0001 
10, 20, 0.02, 0000 0001 1000 0001 
10, 81, 0.081, 0111 1110 1111 1110 
10, 300, 0.3, 0111 1110 0111 1110 
10, 604, 0.604, 0111 1110 1111 1110 
10, 1205, 1.205, 0111 1110 0111 1110 
10, 1461, 1.461, 0111 1110 1111 1110 
10, 2122, 2.122, 0111 1110 0111 1110 
10, 2334, 2.334, 0111 1110 1111 1110 
10, 2966, 2.966, 0111 1110 0111 1110 
10, 3123, 3.123, 0111 1110 1111 1110 
10, 3628, 3.628, 0111 1110 0111 1110 
10, 3978, 3.978, 0111 1110 1111 1110 
10, 80430, 80.43, 0111 1110 0111 1110 
10, 80521, 80.521, 0111 1110 1111 1110 
10, 80745, 80.745, 1111 1110 0111 1110 
10, 81391, 81.391, 0111 1110 1111 1110 
10, 81692, 81.692, 0000 0000 0000 0000 
11, 0, 0.0, 1111 1110 0111 1110 
11, 1, 0.001, 1000 0001 0000 0001 
11, 21, 0.021, 1000 0001 1000 0001 
11, 63, 0.063, 1111 1110 1111 1110 
11, 285, 0.285, 1111 1110 0111 1110 
11, 582, 0.582, 1111 1110 1111 1110 
11, 1167, 1.167, 1111 1110 0111 1110 
11, 1445, 1.445, 1111 1110 1111 1110 
11, 2087, 2.087, 1111 1110 0111 1110 
11, 2287, 2.287, 1111 1110 1111 1110 
11, 2969, 2.969, 1111 1110 0111 1110 
11, 3123, 3.123, 1111 1110 1111 1110 
11, 3630, 3.63, 1111 1110 0111 1110 
11, 3966, 3.966, 1111 1110 1111 1110 
11, 33394, 33.394, 0111 1110 0111 1110 
11, 34027, 34.027, 1111 1110 1111 1110 
11, 34301, 34.301, 0000 0000 0000 0000 
12, 0, 0.0, 0111 1110 0111 1110 
12, 1, 0.001, 0000 0001 0000 0001 
12, 21, 0.021, 0000 0001 1000 0001 
12, 146, 0.146, 0111 1110 1111 1110 
12, 505, 0.505, 0111 1110 0111 1110 
12, 931, 0.931, 0111 1110 1111 1110 
12, 1701, 1.701, 0111 1110 0111 1110 
12, 2063, 2.063, 0111 1110 1111 1110 
12, 2745, 2.745, 0111 1110 0111 1110 
12, 3017, 3.017, 0111 1110 1111 1110 
12, 3878, 3.878, 0111 1110 0111 1110 
12, 4097, 4.097, 0000 0001 0000 0001 
12, 4117, 4.117, 0000 0001 1000 0001 
12, 4242, 4.242, 0111 1110 1111 1110 
12, 40367, 40.367, 0111 1110 0111 1110 
12, 40476, 40.476, 1111 1110 0111 1110 
