Packet, Latency (ms)
1, 11.0
2, 8.0
3, 12.5
4, 12.0
5, 11.5
6, 11.5
7, 8.5
8, 16.0
9, 10.5
10, 10.5
11, 16.0
12, 13.0
13, 10.5
14, 17.0
15, 8.0
16, 12.5
17, 13.5
18, 15.0
19, 14.0
20, 15.0
21, 16.5
22, 10.5
23, 15.5
24, 9.5
25, 9.0
26, 16.5
27, 14.5
28, 9.0
29, 13.0
30, 14.5
31, 12.0
32, 8.0
33, 16.5
34, 15.0
35, 15.5
36, 16.0
37, 9.0
38, 17.0
39, 15.0
40, 8.0
41, 12.0
42, 13.0
43, 11.5
44, 11.0
45, 8.0
46, 8.5
47, 11.5
48, 13.5
49, 12.0
50, 14.5
51, 14.5
52, 16.5
53, 13.5
54, 7.5
55, 13.0
56, 16.5
57, 11.5
58, 11.5
59, 15.5
60, 16.0
61, 8.0
62, 12.5
63, 9.0
64, 12.0
65, 10.0
66, 7.5
67, 17.0
68, 9.5
69, 14.5
70, 14.0
71, 16.0
72, 11.5
73, 16.0
74, 17.0
75, 9.0
76, 14.0
77, 12.0
78, 11.5
79, 9.0
80, 13.0
81, 7.0
82, 12.0
83, 7.5
84, 11.0
85, 13.5
86, 16.5
87, 12.5
88, 11.0
89, 15.5
90, 11.0
91, 9.0
92, 11.5
93, 8.0
94, 11.5
95, 16.0
96, 9.5
97, 11.5
98, 8.0
99, 16.5
100, 14.0
101, 10.5
102, 9.0
103, 7.5
104, 11.5
105, 8.0
106, 13.5
107, 10.0
108, 14.0
109, 7.5
110, 13.5
111, 7.0
112, 15.5
113, 8.0
114, 16.0
115, 17.0
116, 13.0
117, 14.5
118, 14.5
119, 16.0
120, 14.0
121, 15.0
122, 14.0
123, 15.0
124, 13.0
125, 13.0
126, 9.5
127, 13.5
128, 8.0
129, 11.0
130, 15.5
131, 13.0
132, 9.0
133, 15.0
134, 13.0
135, 16.5
136, 8.5
137, 15.0
138, 11.5
139, 15.0
140, 14.0
141, 11.0
142, 17.0
143, 16.5
144, 14.0
145, 14.0
146, 10.5
147, 8.5
148, 11.0
149, 14.0
150, 13.5
151, 16.5
152, 16.0
153, 11.5
154, 7.5
155, 7.5
156, 12.5
157, 8.0
158, 14.5
159, 11.0
160, 9.0
161, 13.0
162, 10.0
163, 15.0
164, 8.5
165, 15.5
166, 14.5
167, 12.0
168, 9.5
169, 8.5
170, 8.0
171, 16.5
172, 8.0
173, 12.5
174, 12.5
175, 14.5
176, 16.5
177, 13.0
178, 15.5
179, 10.0
180, 9.5
181, 14.5
182, 11.0
183, 11.0
184, 8.0
185, 12.5
186, 16.5
187, 17.0
188, 9.5
189, 14.0
190, 8.0
191, 9.5
192, 7.5
193, 10.0
194, 12.5
195, 13.0
196, 11.0
197, 9.0
198, 11.5
199, 13.0
200, 15.5
201, 14.5
202, 14.5
203, 13.0
204, 15.0
205, 12.5
206, 10.0
207, 12.0
208, 15.0
209, 15.5
210, 9.0
211, 17.5
212, 12.0
213, 14.5
214, 12.0
215, 14.0
216, 12.0
217, 9.5
218, 15.0
219, 14.5
220, 16.0
221, 13.5
222, 10.5
223, 16.5
224, 13.5
225, 7.5
226, 9.0
227, 14.5
228, 14.0
229, 8.0
230, 15.0
231, 14.0
232, 7.5
233, 13.5
234, 14.5
235, 11.0
236, 15.5
237, 11.5
238, 16.0
239, 8.0
240, 14.0
241, 15.5
242, 9.5
243, 10.0
244, 9.0
245, 9.5
246, 8.5
247, 16.5
248, 8.5
249, 11.5
250, 10.0
251, 9.0
252, 12.0
253, 15.5
254, 8.5
255, 16.0
256, 14.5
257, 13.0
258, 12.5
259, 10.0
260, 13.5
261, 12.5
262, 11.5
263, 14.5
264, 9.5
265, 15.0
266, 11.0
267, 13.0
268, 13.0
269, 8.5
270, 13.0
271, 11.0
272, 12.0
273, 9.5
274, 8.5
275, 17.5
276, 14.5
277, 12.5
278, 10.5
279, 15.0
280, 15.5
281, 11.5
282, 12.5
283, 9.0
284, 15.5
285, 10.0
286, 9.0
287, 9.0
288, 13.0
289, 13.0
290, 12.5
291, 15.0
292, 7.5
293, 10.5
294, 7.5
295, 11.0
296, 13.0
297, 10.0
298, 12.0
299, 7.5
300, 15.5
301, 10.5
302, 9.5
303, 10.5
304, 15.0
305, 11.5
