missed packet number, sample offset, latency (ms), sample
-1462, 0, 0.0, 1111 1110 0111 1110
-1462, 1, 0.001, 1000 0001 0000 0001
-1462, 35, 0.035, 1000 0001 1000 0001
-1462, 245, 0.245, 1111 1110 1111 1110
-1462, 868, 0.868, 1111 1110 0111 1110
-1462, 1280, 1.28, 1111 1110 1111 1110
-1462, 2130, 2.13, 1111 1110 0111 1110
-1462, 2564, 2.564, 1111 1110 1111 1110
-1462, 3519, 3.519, 1111 1110 0111 1110
-1462, 3947, 3.947, 1111 1110 1111 1110
-1462, 22822, 22.822, 0000 0000 0000 0000
-1462, 31014, 31.014, 1111 1110 1111 1110
-1462, 55095, 55.095, 0000 0000 0000 0000
-1462, 67383, 67.383, 1111 1110 1111 1110
-1462, 70824, 70.824, 0000 0000 0000 0000
-1462, 91304, 91.304, 1111 1110 1111 1110
-1462, 95699, 95.699, 0000 0000 0000 0000
-1462, 103891, 103.891, 1111 1110 1111 1110
-1462, 111093, 111.093, 0000 0000 0000 0000
-1462, 115189, 115.189, 1111 1110 1111 1110
-1462, 396318, 396.318, 0000 0000 0000 0000
-1462, 408606, 408.606, 1111 1110 1111 1110
-1462, 413343, 413.343, 0000 0000 0000 0000
-1462, 421535, 421.535, 1111 1110 1111 1110
-3778, 0, 0.0, 1000 0001 1000 0001
-3778, 2361, 2.361, 1111 1110 1111 1110
-3778, 3435, 3.435, 1000 0001 1000 0001
-3778, 4096, 4.096, 0000 0000 0000 0000
-3778, 12037, 12.037, 1111 1110 1111 1110
-3778, 12998, 12.998, 1000 0001 1000 0001
-3778, 14649, 14.649, 1111 1110 1111 1110
-3778, 18197, 18.197, 0000 0000 0000 0000
-3778, 22293, 22.293, 1111 1110 1111 1110
-3778, 25938, 25.938, 0000 0000 0000 0000
-3778, 34130, 34.13, 1111 1110 1111 1110
-3778, 37195, 37.195, 0000 0000 0000 0000
-3778, 61771, 61.771, 1111 1110 1111 1110
-3778, 64566, 64.566, 0000 0000 0000 0000
-3778, 68662, 68.662, 1111 1110 1111 1110
-3778, 72800, 72.8, 0000 0000 0000 0000
-3778, 93280, 93.28, 1111 1110 1111 1110
-3778, 93950, 93.95, 0000 0000 0000 0000
-3778, 110334, 110.334, 1111 1110 1111 1110
-3778, 470674, 470.674, 0000 0000 0000 0000
-3778, 474770, 474.77, 1111 1110 1111 1110
-3778, 477115, 477.115, 0000 0000 0000 0000
-3778, 485307, 485.307, 1111 1110 1111 1110
-3778, 488694, 488.694, 0000 0000 0000 0000
-3778, 496886, 496.886, 1111 1110 1111 1110
-4809, 0, 0.0, 1111 1110 1111 1110
-4809, 1, 0.001, 1000 0001 1000 0001
-4809, 20, 0.02, 1000 0001 0000 0001
-4809, 267, 0.267, 1111 1110 0111 1110
-4809, 1223, 1.223, 1111 1110 1111 1110
-4809, 1638, 1.638, 1111 1110 0111 1110
-4809, 2472, 2.472, 1111 1110 1111 1110
-4809, 2717, 2.717, 1111 1110 0111 1110
-4809, 3544, 3.544, 1111 1110 1111 1110
-4809, 3817, 3.817, 1111 1110 0111 1110
-4809, 25611, 25.611, 0000 0000 0000 0000
-4809, 33803, 33.803, 1111 1110 0111 1110
-4809, 34823, 34.823, 0000 0000 0000 0000
-4809, 43015, 43.015, 1111 1110 0111 1110
-4809, 47068, 47.068, 0000 0000 0000 0000
-4809, 55260, 55.26, 1111 1110 0111 1110
-4809, 61384, 61.384, 0000 0000 0000 0000
-4809, 73672, 73.672, 1111 1110 0111 1110
-4809, 74703, 74.703, 0000 0000 0000 0000
-4809, 86991, 86.991, 1111 1110 0111 1110
-4809, 90448, 90.448, 0000 0000 0000 0000
-4809, 102736, 102.736, 1111 1110 0111 1110
-4809, 257165, 257.165, 0000 0000 0000 0000
-4809, 273549, 273.549, 1111 1110 0111 1110
-4809, 274032, 274.032, 0000 0000 0000 0000
-4809, 282224, 282.224, 1111 1110 0111 1110
-4809, 1109013, 1109.013, 0000 0000 0000 0000
-4809, 1113109, 1113.109, 1111 1110 0111 1110
-4809, 1172999, 1172.999, 0000 0000 0000 0000
-4809, 1177095, 1177.095, 1111 1110 0111 1110
-4809, 1326370, 1326.37, 0000 0000 0000 0000
-4809, 1330466, 1330.466, 1111 1110 0111 1110
-5551, 0, 0.0, 0111 1110 1111 1110
-5551, 1, 0.001, 0000 0001 1000 0001
-5551, 20, 0.02, 0000 0001 0000 0001
-5551, 168, 0.168, 0111 1110 0111 1110
-5551, 623, 0.623, 1111 1110 1111 1110
-5551, 955, 0.955, 0111 1110 0111 1110
-5551, 1932, 1.932, 1111 1110 1111 1110
-5551, 2287, 2.287, 0111 1110 0111 1110
-5551, 3303, 3.303, 1111 1110 1111 1110
-5551, 3504, 3.504, 0111 1110 1111 1110
-5551, 3724, 3.724, 0111 1110 0111 1110
-6023, 0, 0.0, 1111 1110 1111 1110
-6023, 1, 0.001, 1000 0001 1000 0001
-6023, 36, 0.036, 1000 0001 0000 0001
-6023, 232, 0.232, 1111 1110 0111 1110
-6023, 1404, 1.404, 1111 1110 1111 1110
-6023, 1748, 1.748, 1111 1110 0111 1110
-6023, 2593, 2.593, 1111 1110 1111 1110
-6023, 2848, 2.848, 1111 1110 0111 1110
-6023, 3564, 3.564, 1111 1110 1111 1110
-6023, 4013, 4.013, 1111 1110 0111 1110
-6023, 20030, 20.03, 0000 0000 0000 0000
-6023, 28222, 28.222, 1111 1110 0111 1110
-6023, 28642, 28.642, 0000 0000 0000 0000
-6023, 32738, 32.738, 1111 1110 0111 1110
-6023, 34813, 34.813, 0000 0000 0000 0000
-6023, 38909, 38.909, 1111 1110 0111 1110
-6023, 43348, 43.348, 0000 0000 0000 0000
-6023, 51540, 51.54, 1111 1110 0111 1110
-6023, 55366, 55.366, 0000 0000 0000 0000
-6023, 59462, 59.462, 1111 1110 0111 1110
-6023, 59960, 59.96, 0000 0000 0000 0000
-6023, 76344, 76.344, 1111 1110 0111 1110
-6023, 79310, 79.31, 0000 0000 0000 0000
-6023, 87502, 87.502, 1111 1110 0111 1110
-6023, 94097, 94.097, 0000 0000 0000 0000
-6023, 102289, 102.289, 1111 1110 0111 1110
-6023, 105824, 105.824, 0000 0000 0000 0000
-6023, 109920, 109.92, 1111 1110 0111 1110
-6023, 114122, 114.122, 0000 0000 0000 0000
-6023, 126410, 126.41, 1111 1110 0111 1110
-6023, 128698, 128.698, 0000 0000 0000 0000
-6023, 140986, 140.986, 1111 1110 0111 1110
-6023, 343267, 343.267, 0000 0000 0000 0000
-6023, 347363, 347.363, 1111 1110 0111 1110
-87056, 0, 0.0, 0111 1110 0111 1110
-87056, 1, 0.001, 0000 0001 0000 0001
-87056, 20, 0.02, 0000 0001 1000 0001
-87056, 124, 0.124, 0111 1110 1111 1110
-87056, 521, 0.521, 1111 1110 0111 1110
-87056, 870, 0.87, 0111 1110 1111 1110
-87056, 1638, 1.638, 0111 1110 0111 1110
-87056, 1770, 1.77, 1111 1110 0111 1110
-87056, 1898, 1.898, 0111 1110 1111 1110
-87056, 2683, 2.683, 1111 1110 0111 1110
-87056, 2896, 2.896, 0111 1110 1111 1110
-87056, 3610, 3.61, 0111 1110 0111 1110
-87056, 3924, 3.924, 0111 1110 1111 1110
-87057, 0, 0.0, 0111 1110 1111 1110
-87057, 1, 0.001, 0000 0001 1000 0001
-87057, 20, 0.02, 0000 0001 0000 0001
-87057, 158, 0.158, 0111 1110 0111 1110
-87057, 523, 0.523, 0111 1110 1111 1110
-87057, 855, 0.855, 0111 1110 0111 1110
-87057, 1672, 1.672, 0111 1110 1111 1110
-87057, 1954, 1.954, 0111 1110 0111 1110
-87057, 2800, 2.8, 0111 1110 1111 1110
-87057, 3033, 3.033, 0111 1110 0111 1110
-87057, 3740, 3.74, 0111 1110 1111 1110
-87057, 4097, 4.097, 0000 0001 1000 0001
-87057, 4116, 4.116, 0000 0001 0000 0001
-87057, 4135, 4.135, 0111 1110 0111 1110
-87058, 0, 0.0, 0111 1110 0111 1110
-87058, 1, 0.001, 0000 0001 0000 0001
-87058, 20, 0.02, 0000 0001 1000 0001
-87058, 141, 0.141, 0111 1110 1111 1110
-87058, 477, 0.477, 0111 1110 0111 1110
-87058, 792, 0.792, 0111 1110 1111 1110
-87058, 1711, 1.711, 0111 1110 0111 1110
