missed packet number, sample offset, latency (ms), sample
-1586, 0, 0.0, 1111 1110 0111 1110
-1586, 1, 0.001, 1000 0001 0000 0001
-1586, 19, 0.019, 1000 0001 1000 0001
-1586, 1273, 1.273, 1111 1110 1111 1110
-1586, 2877, 2.877, 1111 1110 0111 1110
-1586, 3112, 3.112, 0000 0000 0000 0000
-1586, 7208, 7.208, 1111 1110 1111 1110
-1586, 9811, 9.811, 0000 0000 0000 0000
-1586, 26195, 26.195, 1111 1110 1111 1110
-1586, 27465, 27.465, 0000 0000 0000 0000
-1586, 31561, 31.561, 1111 1110 1111 1110
-1586, 31681, 31.681, 0000 0000 0000 0000
-1586, 39873, 39.873, 1111 1110 1111 1110
-1586, 40947, 40.947, 0000 0000 0000 0000
-1586, 45043, 45.043, 1111 1110 1111 1110
-1586, 47571, 47.571, 0000 0000 0000 0000
-1586, 51667, 51.667, 1111 1110 1111 1110
-1586, 55105, 55.105, 0000 0000 0000 0000
-1586, 63297, 63.297, 1111 1110 1111 1110
-1586, 68580, 68.58, 0000 0000 0000 0000
-1586, 80868, 80.868, 0111 1110 1111 1110
-1586, 83905, 83.905, 1111 1110 1111 1110
-1586, 83908, 83.908, 0111 1110 1111 1110
-1586, 84227, 84.227, 0000 0000 0000 0000
-1586, 88323, 88.323, 1111 1110 1111 1110
-1586, 88486, 88.486, 0000 0000 0000 0000
-1586, 96678, 96.678, 1111 1110 1111 1110
-1586, 101244, 101.244, 0000 0000 0000 0000
-1586, 105340, 105.34, 1111 1110 1111 1110
-1586, 108279, 108.279, 0000 0000 0000 0000
-1586, 112375, 112.375, 1111 1110 1111 1110
-1586, 114261, 114.261, 0000 0000 0000 0000
-1586, 118357, 118.357, 1111 1110 1111 1110
-1586, 121504, 121.504, 0000 0000 0000 0000
-1586, 137888, 137.888, 1111 1110 1111 1110
-1586, 144549, 144.549, 0000 0000 0000 0000
-1586, 148645, 148.645, 1111 1110 1111 1110
-1586, 154395, 154.395, 0000 0000 0000 0000
-1586, 158491, 158.491, 1111 1110 1111 1110
-1586, 160466, 160.466, 0000 0000 0000 0000
-1586, 164562, 164.562, 1111 1110 1111 1110
-1586, 167471, 167.471, 0000 0000 0000 0000
-1586, 179759, 179.759, 1111 1110 1111 1110
-1586, 183383, 183.383, 0000 0000 0000 0000
-1586, 187479, 187.479, 1111 1110 1111 1110
-1586, 192843, 192.843, 0000 0000 0000 0000
-1586, 205131, 205.131, 1111 1110 1111 1110
-1586, 208747, 208.747, 0000 0000 0000 0000
-1586, 216939, 216.939, 1111 1110 1111 1110
-1586, 218476, 218.476, 0000 0000 0000 0000
-1586, 234860, 234.86, 1111 1110 1111 1110
-1586, 239994, 239.994, 0000 0000 0000 0000
-1586, 252282, 252.282, 1111 1110 1111 1110
-1586, 257453, 257.453, 0000 0000 0000 0000
-1586, 265645, 265.645, 1111 1110 1111 1110
-1586, 316272, 316.272, 0000 0000 0000 0000
-1586, 320368, 320.368, 1111 1110 1111 1110
-1586, 321870, 321.87, 0000 0000 0000 0000
-1586, 334158, 334.158, 1111 1110 1111 1110
-1586, 336515, 336.515, 0000 0000 0000 0000
-1586, 340611, 340.611, 1111 1110 1111 1110
-1586, 344628, 344.628, 0000 0000 0000 0000
-1586, 352820, 352.82, 1111 1110 1111 1110
-1586, 916905, 916.905, 0000 0000 0000 0000
-1586, 921001, 921.001, 1111 1110 1111 1110
-1586, 925050, 925.05, 0000 0000 0000 0000
-1586, 933242, 933.242, 1111 1110 1111 1110
-2286, 0, 0.0, 0000 0001 1000 0001
-2286, 955, 0.955, 0111 1110 1111 1110
-2286, 2873, 2.873, 0000 0001 1000 0001
-2286, 4096, 4.096, 0000 0000 0000 0000
-2286, 16229, 16.229, 0111 1110 1111 1110
-2286, 35205, 35.205, 0000 0000 0000 0000
-2286, 43397, 43.397, 0111 1110 1111 1110
-2286, 44499, 44.499, 0000 0000 0000 0000
-2286, 52691, 52.691, 0111 1110 1111 1110
-2286, 56744, 56.744, 0000 0000 0000 0000
-2286, 73128, 73.128, 1111 1110 1111 1110
-2286, 74026, 74.026, 0000 0000 0000 0000
-2286, 78122, 78.122, 0111 1110 1111 1110
-2286, 80691, 80.691, 0000 0000 0000 0000
-2286, 92979, 92.979, 0111 1110 1111 1110
-2286, 95775, 95.775, 0000 0000 0000 0000
-2286, 108063, 108.063, 0111 1110 1111 1110
