missed packet number, sample offset, latency (ms), sample
-2090, 0, 0.0, 0111 1110 1111 1110
-2090, 4096, 4.096, 0000 0000 0000 0000
-2090, 21627, 21.627, 0111 1110 1111 1110
-2090, 24542, 24.542, 0000 0000 0000 0000
-2090, 40926, 40.926, 0111 1110 1111 1110
-2090, 42786, 42.786, 0000 0000 0000 0000
-2090, 46882, 46.882, 0111 1110 1111 1110
-2090, 51784, 51.784, 0000 0000 0000 0000
-2090, 59976, 59.976, 0111 1110 1111 1110
-2090, 68015, 68.015, 0000 0000 0000 0000
-2090, 72111, 72.111, 1111 1110 1111 1110
-2090, 74615, 74.615, 0111 1110 1111 1110
-2090, 74993, 74.993, 1111 1110 1111 1110
-2090, 75075, 75.075, 0000 0000 0000 0000
-2090, 83267, 83.267, 1111 1110 1111 1110
-2090, 83665, 83.665, 0111 1110 1111 1110
-2090, 87317, 87.317, 0000 0000 0000 0000
-2090, 99605, 99.605, 0111 1110 1111 1110
-2090, 100124, 100.124, 0000 0000 0000 0000
-2090, 104220, 104.22, 0111 1110 1111 1110
-2090, 105937, 105.937, 0000 0000 0000 0000
-2090, 126417, 126.417, 0111 1110 1111 1110
-2090, 145878, 145.878, 0000 0000 0000 0000
-2090, 149974, 149.974, 0111 1110 1111 1110
-2090, 150488, 150.488, 0000 0000 0000 0000
-2090, 158680, 158.68, 0111 1110 1111 1110
-2090, 164385, 164.385, 0000 0000 0000 0000
-2090, 168481, 168.481, 0111 1110 1111 1110
-2090, 168559, 168.559, 0000 0000 0000 0000
-2090, 180847, 180.847, 0111 1110 1111 1110
-2090, 182100, 182.1, 0000 0000 0000 0000
-2090, 194388, 194.388, 0111 1110 1111 1110
-2090, 196646, 196.646, 0000 0000 0000 0000
-2090, 208934, 208.934, 0111 1110 1111 1110
-2090, 215164, 215.164, 0000 0000 0000 0000
-2090, 223356, 223.356, 0111 1110 1111 1110
-2090, 582048, 582.048, 0000 0000 0000 0000
-2090, 602528, 602.528, 0111 1110 1111 1110
-2217, 0, 0.0, 0111 1110 0111 1110
-2217, 189, 0.189, 0000 0001 0000 0001
-2217, 965, 0.965, 0111 1110 0111 1110
-2217, 4096, 4.096, 0000 0000 0000 0000
-2217, 9021, 9.021, 0111 1110 0111 1110
-2217, 17663, 17.663, 0000 0000 0000 0000
-2217, 46335, 46.335, 1111 1110 0111 1110
-2217, 50360, 50.36, 0000 0000 0000 0000
-2217, 62648, 62.648, 0111 1110 0111 1110
-2217, 63150, 63.15, 0000 0000 0000 0000
-2217, 79534, 79.534, 0111 1110 0111 1110
-2217, 83133, 83.133, 0000 0000 0000 0000
-2217, 87229, 87.229, 0111 1110 0111 1110
-2217, 91102, 91.102, 0000 0000 0000 0000
-2217, 95198, 95.198, 0111 1110 0111 1110
-2217, 115236, 115.236, 0000 0000 0000 0000
-2217, 119332, 119.332, 0111 1110 0111 1110
-2217, 122367, 122.367, 0000 0000 0000 0000
-2217, 134655, 134.655, 0111 1110 0111 1110
-2217, 135690, 135.69, 0000 0000 0000 0000
-2217, 147978, 147.978, 0111 1110 0111 1110
-2217, 149931, 149.931, 0000 0000 0000 0000
-2217, 158123, 158.123, 0111 1110 0111 1110
-2217, 160531, 160.531, 0000 0000 0000 0000
-2217, 168723, 168.723, 0111 1110 0111 1110
-2217, 170173, 170.173, 0000 0000 0000 0000
-2217, 190653, 190.653, 0111 1110 0111 1110
-2217, 577162, 577.162, 0000 0000 0000 0000
-2217, 589450, 589.45, 0111 1110 0111 1110
-2217, 591803, 591.803, 0000 0000 0000 0000
-2217, 599995, 599.995, 0111 1110 0111 1110
-36300, 0, 0.0, 0111 1110 0111 1110
-36300, 1, 0.001, 0000 0001 0000 0001
-36300, 19, 0.019, 0000 0001 1000 0001
-36300, 159, 0.159, 0111 1110 1111 1110
-36300, 720, 0.72, 0111 1110 0111 1110
-36300, 4096, 4.096, 0000 0000 0000 0000
-36300, 31684, 31.684, 0111 1110 1111 1110
-36300, 33693, 33.693, 0000 0000 0000 0000
-36300, 37789, 37.789, 0111 1110 1111 1110
-36300, 40839, 40.839, 0000 0000 0000 0000
-36300, 49031, 49.031, 0111 1110 1111 1110
-36300, 56318, 56.318, 0000 0000 0000 0000
-36300, 60414, 60.414, 0111 1110 1111 1110
-36300, 64857, 64.857, 0000 0000 0000 0000
-36300, 73049, 73.049, 0111 1110 1111 1110
-36300, 74157, 74.157, 0000 0000 0000 0000
-36300, 94637, 94.637, 0111 1110 1111 1110
-36300, 98550, 98.55, 0000 0000 0000 0000
-36300, 106742, 106.742, 0111 1110 1111 1110
-36300, 113880, 113.88, 0000 0000 0000 0000
-36300, 126168, 126.168, 0111 1110 1111 1110
-36300, 129084, 129.084, 0000 0000 0000 0000
-36300, 149564, 149.564, 0111 1110 1111 1110
-36300, 151715, 151.715, 0000 0000 0000 0000
-36300, 172195, 172.195, 0111 1110 1111 1110
-36300, 174011, 174.011, 0000 0000 0000 0000
-36300, 182203, 182.203, 0111 1110 1111 1110
-36300, 185076, 185.076, 0000 0000 0000 0000
-36300, 201460, 201.46, 0111 1110 1111 1110
-36300, 207375, 207.375, 0000 0000 0000 0000
-36300, 219663, 219.663, 0111 1110 1111 1110
-36300, 219733, 219.733, 0000 0000 0000 0000
-36300, 223829, 223.829, 0111 1110 1111 1110
-36300, 226165, 226.165, 0000 0000 0000 0000
-36300, 234357, 234.357, 0111 1110 1111 1110
-36300, 239217, 239.217, 0000 0000 0000 0000
-36300, 243313, 243.313, 0111 1110 1111 1110
-36300, 245146, 245.146, 0000 0000 0000 0000
-36300, 253338, 253.338, 0111 1110 1111 1110
-36300, 273063, 273.063, 0000 0000 0000 0000
-36300, 285351, 285.351, 0111 1110 1111 1110
-36300, 288697, 288.697, 0000 0000 0000 0000
-36300, 292793, 292.793, 0111 1110 1111 1110
-36300, 293953, 293.953, 0000 0000 0000 0000
-36300, 298049, 298.049, 0111 1110 1111 1110
-36300, 301631, 301.631, 0000 0000 0000 0000
-36300, 309823, 309.823, 0111 1110 1111 1110
-36300, 313986, 313.986, 0000 0000 0000 0000
-36300, 326274, 326.274, 0111 1110 1111 1110
-36300, 329902, 329.902, 0000 0000 0000 0000
-36300, 346286, 346.286, 0111 1110 1111 1110
-36300, 358237, 358.237, 0000 0000 0000 0000
-36300, 362333, 362.333, 0111 1110 1111 1110
-36300, 364194, 364.194, 0000 0000 0000 0000
-36300, 368290, 368.29, 0111 1110 1111 1110
-36300, 547866, 547.866, 0000 0000 0000 0000
-36300, 551962, 551.962, 0111 1110 1111 1110
-36300, 567228, 567.228, 0000 0000 0000 0000
-36300, 579516, 579.516, 0111 1110 1111 1110
-36300, 1148727, 1148.727, 0000 0000 0000 0000
-36300, 1156919, 1156.919, 0111 1110 1111 1110
-36300, 1161439, 1161.439, 0000 0000 0000 0000
-36300, 1169631, 1169.631, 0111 1110 1111 1110
-37916, 0, 0.0, 1111 1110 0111 1110
-37916, 1, 0.001, 1000 0001 0000 0001
-37916, 19, 0.019, 1000 0001 1000 0001
-37916, 181, 0.181, 1111 1110 1111 1110
-37916, 882, 0.882, 1111 1110 0111 1110
-37916, 1167, 1.167, 1111 1110 1111 1110
-37916, 1977, 1.977, 1111 1110 0111 1110
-37916, 2208, 2.208, 1111 1110 1111 1110
-37916, 3033, 3.033, 1111 1110 0111 1110
-37916, 3224, 3.224, 1111 1110 1111 1110
-37916, 3905, 3.905, 1111 1110 0111 1110
-37916, 4097, 4.097, 1000 0001 0000 0001
-37916, 4115, 4.115, 1000 0001 1000 0001
-37916, 4275, 4.275, 1111 1110 1111 1110
-37916, 10337, 10.337, 0000 0000 0000 0000
-37916, 30817, 30.817, 1111 1110 1111 1110
-37916, 33559, 33.559, 0000 0000 0000 0000
-37916, 37655, 37.655, 1111 1110 1111 1110
-37916, 43206, 43.206, 0000 0000 0000 0000
-37916, 51398, 51.398, 1111 1110 1111 1110
-37916, 51868, 51.868, 0111 1110 1111 1110
-37916, 52907, 52.907, 1111 1110 1111 1110
-37916, 55474, 55.474, 0000 0000 0000 0000
-37916, 63666, 63.666, 1111 1110 1111 1110
-37916, 68615, 68.615, 0000 0000 0000 0000
-37916, 80903, 80.903, 1111 1110 1111 1110
-37916, 122260, 122.26, 0000 0000 0000 0000
-37916, 126356, 126.356, 1111 1110 1111 1110
-37916, 138135, 138.135, 0000 0000 0000 0000
-37916, 142231, 142.231, 1111 1110 1111 1110
-37916, 147460, 147.46, 0000 0000 0000 0000
-37916, 159748, 159.748, 1111 1110 1111 1110
-37916, 161869, 161.869, 0000 0000 0000 0000
-37916, 170061, 170.061, 1111 1110 1111 1110
-37916, 912079, 912.079, 0000 0000 0000 0000
-37916, 916175, 916.175, 1111 1110 1111 1110
-37916, 937190, 937.19, 0000 0000 0000 0000
-37916, 941286, 941.286, 1111 1110 1111 1110
-39705, 0, 0.0, 0111 1110 0111 1110
-39705, 73, 0.073, 0000 0001 0000 0001
-39705, 403, 0.403, 0111 1110 0111 1110
-39705, 4096, 4.096, 0000 0000 0000 0000
-39705, 9319, 9.319, 0111 1110 0111 1110
-39705, 12463, 12.463, 0000 0000 0000 0000
-39705, 16559, 16.559, 0111 1110 0111 1110
-39705, 17543, 17.543, 0000 0000 0000 0000
-39705, 21639, 21.639, 0111 1110 0111 1110
-39705, 22014, 22.014, 0000 0000 0000 0000
-39705, 26110, 26.11, 0111 1110 0111 1110
-39705, 28077, 28.077, 0000 0000 0000 0000
-39705, 32173, 32.173, 0111 1110 0111 1110
-39705, 33864, 33.864, 0000 0000 0000 0000
-39705, 37960, 37.96, 0111 1110 0111 1110
-39705, 42793, 42.793, 0000 0000 0000 0000
-39705, 46889, 46.889, 0111 1110 0111 1110
-39705, 49200, 49.2, 0000 0000 0000 0000
-39705, 57392, 57.392, 0111 1110 0111 1110
-39705, 57740, 57.74, 1111 1110 0111 1110
-39705, 57899, 57.899, 0111 1110 0111 1110
-39705, 60234, 60.234, 0000 0000 0000 0000
-39705, 68426, 68.426, 0111 1110 0111 1110
-39705, 71267, 71.267, 1111 1110 0111 1110
-39705, 71729, 71.729, 0111 1110 0111 1110
